Team Name,First Name,Last Name,Player Number,Position,B/T,Ht,Wt,DOB,Career Health ,Seasonal Health,Percent of Reinjury,Status,Base Salary,Spotrac Agent,Spotrac Agency
D-backs,Zac,Gallen,23,Rotation,R/R,"6' 2""",189,08/03/1995,,,,Arb 2,"10,250,000",-,Boras Corporation
D-backs,Merrill,Kelly,29,Rotation,R/R,"6' 2""",202,10/14/1988,,,,-,"8,000,000",-,Apex Baseball
D-backs,Brandon,Pfaadt,32,Rotation,R/R,"6' 4""",220,10/15/1998,,,,Pre-arb,-,-,-
D-backs,Tommy,Henry,47,Rotation,L/L,"6' 3""",205,07/29/1997,,,,Pre-arb,-,-,-
D-backs,Paul,Sewald,38,Bullpen,R/R,"6' 3""",219,05/26/1990,,,,Arb 3,"8,000,000",-,SSG Baseball
D-backs,Miguel,Castro,50,Bullpen,R/R,"6' 7""",201,12/24/1994,,,,Vested,"5,000,000",-,Ballengee Group
D-backs,Kevin,Ginkel,37,Bullpen,L/R,"6' 4""",235,03/24/1994,,,,Arb 1,"1,200,000",-,Ballengee Group
D-backs,Joe,Mantiply,35,Bullpen,R/L,"6' 4""",219,03/01/1991,,,,Arb 1,"950,000",-,ISE Baseball
D-backs,Ryan,Thompson,81,Bullpen,R/R,"6' 5""",210,06/26/1992,,,,Arb 2,"1,800,000",-,Northwest Sports Management Group
D-backs,Luis,Frías,65,Bullpen,R/R,"6' 3""",245,05/23/1998,,,,-,-,-,-
D-backs,Kyle,Nelson,24,Bullpen,L/L,"6' 1""",175,07/08/1996,,,,Pre-arb,-,-,MVP Sports Group
D-backs,Ryne,Nelson,19,Bullpen,R/R,"6' 3""",184,02/01/1998,,,,Pre-arb,-,-,-
D-backs,Andrew,Saalfrank,57,Bullpen,L/L,"6' 3""",205,08/18/1997,,,,Pre-arb,-,-,-
D-backs,Gabriel,Moreno,14,Catcher,R/R,"5' 11""",195,02/14/2000,,,,Pre-arb,-,-,-
D-backs,Jose,Herrera,11,Catcher,S/R,"5' 10""",217,02/24/1997,,,,Pre-arb,-,-,-
D-backs,Christian,Walker,53,First Base,R/R,"6' 0""",208,03/28/1991,,,,Arb 3,"12,278,868",-,Martini Sports Managements
D-backs,Pavin,Smith,26,First Base,L/L,"6' 2""",208,02/06/1996,,,,Pre-arb,-,-,Excel Sports Management)
D-backs,Emmanuel,Rivera,15,First Base,R/R,"6' 2""",225,06/29/1996,,,,Pre-arb,-,-,-
D-backs,Ketel,Marte,4,Second Base,S/R,"6' 1""",210,10/12/1993,,,,-,"13,000,000",-,QC Sports
D-backs,Geraldo,Perdomo,2,Second Base,S/R,"6' 2""",203,10/22/1999,,,,Pre-arb,-,-,Madden Sports Group
D-backs,Jace,Peterson,6,Second Base,L/R,"6' 0""",215,05/09/1990,,,,-,"5,000,000",-,ISE Baseball
D-backs,Emmanuel,Rivera,15,Third Base,R/R,"6' 2""",225,06/29/1996,,,,Pre-arb,-,-,-
D-backs,Geraldo,Perdomo,2,Third Base,S/R,"6' 2""",203,10/22/1999,,,,Pre-arb,-,-,Madden Sports Group
D-backs,Jace,Peterson,6,Third Base,L/R,"6' 0""",215,05/09/1990,,,,-,"5,000,000",-,ISE Baseball
D-backs,Geraldo,Perdomo,2,Shortstop,S/R,"6' 2""",203,10/22/1999,,,,Pre-arb,-,-,Madden Sports Group
D-backs,Jordan,Lawlar,10,Shortstop,R/R,"6' 1""",190,07/17/2002,,,,Pre-arb,-,-,-
D-backs,Corbin,Carroll,7,Left Field,L/L,"5' 10""",165,08/21/2000,,,,Pre-arb,"3,000,000",Joe Urbon,CAA Sports
D-backs,Alek,Thomas,5,Center Field,L/L,"5' 11""",175,04/28/2000,,,,Pre-arb,-,-,Wasserman
D-backs,Corbin,Carroll,7,Center Field,L/L,"5' 10""",165,08/21/2000,,,,Pre-arb,"3,000,000",Joe Urbon,CAA Sports
D-backs,Corbin,Carroll,7,Right Field,L/L,"5' 10""",165,08/21/2000,,,,Pre-arb,"3,000,000",Joe Urbon,CAA Sports
D-backs,Pavin,Smith,26,Right Field,L/L,"6' 2""",208,02/06/1996,,,,Pre-arb,-,-,Excel Sports Management)
