Team Name,First Name,Last Name,Player Number,Position,B/T,Ht,Wt,DOB,Career Health ,Seasonal Health,Percent of Reinjury,Status,Base Salary,Spotrac Agent,Spotrac Agency
Braves,Max,Fried,54,Rotation,L/L,"6' 4""",190,01/18/1994,,,,Arb 4,"21,600,000",-,CAA Sports
Braves,Charlie,Morton,50,Rotation,R/R,"6' 5""",215,11/12/1983,,,,Club,"20,000,000",Andrew Lowenthal,Jet Sports Management
Braves,Kyle,Wright,30,Rotation,R/R,"6' 4""",215,10/02/1995,,,,Arb 1,"2,300,000",-,CAA Sports
Braves,Spencer,Strider,99,Rotation,R/R,"6' 0""",195,10/28/1998,,,,Pre-Arb,"1,000,000",-,Frontline
Braves,Bryce,Elder,55,Rotation,R/R,"6' 2""",220,05/19/1999,,,,Pre-Arb,-,-,-
Braves,Kolby,Allard,49,Rotation,L/L,"6' 1""",195,08/13/1997,,,,Pre-Arb,-,-,Excel Sports Management
Braves,Yonny,Chirinos,21,Rotation,R/R,"6' 2""",225,12/26/1993,,,,-,-,-,MDR Sports
Braves,Michael,Soroka,40,Rotation,R/R,"6' 5""",225,08/04/1997,,,,Arb 4,"2,800,000",-,ISE Baseball
Braves,AJ,Smith-Shawver,62,Rotation,R/R,"6' 3""",205,11/20/2002,,,,Pre-Arb,-,-,-
Braves,Raisel,Iglesias,26,Bullpen,R/R,"6' 2""",190,01/04/1990,,,,FA,"16,000,000",-,Magnus Media
Braves,A.J.,Minter,33,Bullpen,L/L,"6' 0""",215,09/02/1993,,,,Arb 4,"6,300,000",-,Excel Sports Management
Braves,Nick,Anderson,61,Bullpen,R/R,"6' 4""",205,07/05/1990,,,,Arb 2,"1,200,000",-,Gaeta Sports Management
Braves,Joe,Jiménez,77,Bullpen,R/R,"6' 3""",277,01/17/1995,,,,FA,-,-,-
Braves,Raisel,Iglesias,26,Bullpen,R/R,"6' 2""",190,01/04/1990,,,,FA,"16,000,000",-,Magnus Media
Braves,Tyler,Matzek,21,Bullpen,L/L,"6' 3""",230,10/19/1990,,,,Arb 3,"1,900,000",-,PSI Sports Management
Braves,Huascar,Ynoa,19,Bullpen,R/R,"6' 2""",220,05/28/1998,,,,Arb 1,"1,000,000",-,MVP Sports Group
Braves,Michael,Tonkin,51,Bullpen,R/R,"6' 7""",220,11/19/1989,,,,FA,"1,000,000",Joel Wolfe,Wasserman
Braves,Pierce,Johnson,38,Bullpen,R/R,"6' 2""",202,05/10/1991,,,,-,"7,000,000",-,John Boggs & Associates
Braves,Dylan,Lee,52,Bullpen,L/L,"6' 3""",214,08/01/1994,,,,Pre-Arb,-,-,PSI Sports Management
Braves,Daysbel,Hernández,75,Bullpen,R/R,"5' 10""",220,09/15/1996,,,,-,-,-,-
Braves,Allan,Winans,72,Bullpen,R/R,"6' 2""",165,08/10/1995,,,,Pre-Arb,-,-,-
Braves,Dylan,Dodd,46,Bullpen,L/L,"6' 2""",210,06/06/1998,,,,Pre-Arb,-,-,-
Braves,Sean,Murphy,12,Catcher,R/R,"6' 3""",228,10/04/1994,,,,Arb 2,"9,000,000",-,Rowley Sports Management
Braves,Travis,d'Arnaud,16,Catcher,R/R,"6' 2""",210,02/10/1989,,,,-,"8,000,000",-,Wasserman
Braves,Matt,Olson,28,First Base,L/R,"6' 5""",225,03/29/1994,,,,-,"22,000,000",-,Jet Sports Management
Braves,Austin,Riley,27,First Base,R/R,"6' 3""",240,04/02/1997,,,,-,"21,000,000",-,ALIGND
Braves,Nicky,Lopez,15,First Base,L/R,"5' 11""",180,03/13/1995,,,,Arb 3,"3,600,000",-,Octagon
Braves,Ozzie,Albies,1,Second Base,S/R,"5' 8""",165,01/07/1997,,,,Pre-Arb,"7,000,000",-,"Sportsmeter, LLC"
Braves,Orlando,Arcia,11,Second Base,R/R,"6' 0""",187,08/04/1994,,,,-,"2,000,000",-,MVP Sports Group
Braves,Nicky,Lopez,15,Second Base,L/R,"5' 11""",180,03/13/1995,,,,Arb 3,"3,600,000",-,Octagon
Braves,Forrest,Wall,73,Second Base,L/R,"6' 0""",195,11/20/1995,,,,Pre-Arb,-,-,-
Braves,Austin,Riley,27,Third Base,R/R,"6' 3""",240,04/02/1997,,,,-,"21,000,000",-,ALIGND
Braves,Orlando,Arcia,11,Third Base,R/R,"6' 0""",187,08/04/1994,,,,-,"2,000,000",-,MVP Sports Group
Braves,Nicky,Lopez,15,Third Base,L/R,"5' 11""",180,03/13/1995,,,,Arb 3,"3,600,000",-,Octagon
Braves,Orlando,Arcia,11,Shortstop,R/R,"6' 0""",187,08/04/1994,,,,-,"2,000,000",-,MVP Sports Group
Braves,Nicky,Lopez,15,Shortstop,L/R,"5' 11""",180,03/13/1995,,,,Arb 3,"3,600,000",-,Octagon
Braves,Marcell,Ozuna,20,Left Field,R/R,"6' 1""",225,11/12/1990,,,,FA,"16,000,000",-,CAA Sports
Braves,Orlando,Arcia,11,Left Field,R/R,"6' 0""",187,08/04/1994,,,,-,"2,000,000",-,MVP Sports Group
Braves,Michael,Harris,II,Center Field,L/L,"6' 0""",195,03/07/2001,,,,Pre-Arb,"5,000,000",-,-
Braves,Ronald,Acuña,Jr.,Right Field,R/R,"6' 0""",205,12/18/1997,,,,-,-,-,-
Braves,Luke,Williams,67,Right Field,R/R,"6' 0""",186,08/09/1996,,,,Pre-Arb,-,-,-
Braves,Marcell,Ozuna,20,Designated Hitter,R/R,"6' 1""",225,11/12/1990,,,,FA,"16,000,000",-,CAA Sports
Braves,Orlando,Arcia,11,Designated Hitter,R/R,"6' 0""",187,08/04/1994,,,,-,"2,000,000",-,MVP Sports Group
