Team Name,First Name,Last Name,Player Number,Position,B/T,Ht,Wt,DOB,Career Health ,Seasonal Health,Percent of Reinjury,Status,Base Salary,Spotrac Agent,Spotrac Agency
Orioles,Kyle,Bradish,39,Rotation,R/R,"6' 3""",215,09/12/1996,,,,Pre Arb,-,-,-
Orioles,Grayson,Rodriguez,30,Rotation,L/R,"6' 5""",230,11/16/1999,,,,Pre Arb,-,-,-
Orioles,John,Means,47,Rotation,L/L,"6' 4""",230,04/24/1993,,,,Arb 3,"6,900,000",-,Wasserman
Orioles,Dean,Kremer,64,Rotation,R/R,"6' 2""",210,01/07/1996,,,,Pre Arb,"2,400,000",-,MVP Sports Group
Orioles,Tyler,Wells,68,Rotation,R/R,"6' 8""",260,08/26/1994,,,,Arb 1,"2,300,000",-,Beverly Hills Sports Council
Orioles,Félix,Bautista,74,Bullpen,R/R,"6' 8""",285,06/20/1995,,,,-,-,-,-
Orioles,Yennier,Cano,78,Bullpen,R/R,"6' 4""",245,03/09/1994,,,,Pre Arb,-,-,-
Orioles,Danny,Coulombe,54,Bullpen,L/L,"5' 10""",190,10/26/1989,,,,-,-,-,-
Orioles,Jacob,Webb,66,Bullpen,R/R,"6' 2""",210,08/15/1993,,,,Arb 1,"1,300,000",-,KHG Sports Management
Orioles,Cionel,Pérez,58,Bullpen,R/L,"6' 0""",175,04/21/1996,,,,-,-,-,-
Orioles,DL,Hall,24,Bullpen,L/L,"6' 2""",210,09/19/1998,,,,Pre Arb,-,-,-
Orioles,Dillon,Tate,55,Bullpen,R/R,"6' 2""",190,05/01/1994,,,,Arb 2,"1,500,000",-,CAA Sports
Orioles,Cole,Irvin,19,Bullpen,L/L,"6' 4""",225,01/31/1994,,,,Arb 1,"2,500,000",-,-
Orioles,Keegan,Akin,45,Bullpen,L/L,"6' 0""",240,04/01/1995,,,,Arb 1,"825,000",-,-
Orioles,Adley,Rutschman,35,Catcher,S/R,"6' 2""",230,02/06/1998,,,,Pre Arb,-,-,-
Orioles,James,McCann,27,Catcher,R/R,"6' 3""",235,06/13/1990,,,,-,"12,000,000",-,Ballengee Group
Orioles,Ryan,Mountcastle,6,First Base,R/R,"6' 4""",220,02/18/1997,,,,Arb 1,"3,600,000",-,Apex Baseball
Orioles,Ryan,O'Hearn,32,First Base,L/L,"6' 3""",220,07/26/1993,,,,Arb 3,"4,100,000",-,Republik Sports
Orioles,Anthony,Santander,25,First Base,S/R,"6' 2""",230,10/19/1994,,,,Arb 4,"14,100,000","Cesar Suarez, Dan Horwits",-
Orioles,Ramón,Urías,29,First Base,R/R,"5' 10""",185,06/03/1994,,,,-,-,-,-
Orioles,Jordan,Westburg,11,Second Base,R/R,"6' 2""",210,02/18/1999,,,,Pre Arb,-,-,-
Orioles,Ramón,Urías,29,Second Base,R/R,"5' 10""",185,06/03/1994,,,,-,-,-,-
Orioles,Ramón,Urías,29,Third Base,R/R,"5' 10""",185,06/03/1994,,,,-,-,-,-
Orioles,Gunnar,Henderson,2,Third Base,L/R,"6' 3""",220,06/29/2001,,,,Pre Arb,-,-,-
Orioles,Jordan,Westburg,11,Third Base,R/R,"6' 2""",210,02/18/1999,,,,Pre Arb,-,-,-
Orioles,Gunnar,Henderson,2,Shortstop,L/R,"6' 3""",220,06/29/2001,,,,Pre Arb,-,-,-
Orioles,Jorge,Mateo,3,Shortstop,R/R,"6' 1""",200,06/23/1995,,,,Arb 2,"2,700,000",-,Movement Management Group
Orioles,Jordan,Westburg,11,Shortstop,R/R,"6' 2""",210,02/18/1999,,,,Pre Arb,-,-,-
Orioles,Austin,Hays,21,Left Field,R/R,"5' 11""",200,07/05/1995,,,,Arb 2,"5,500,000",-,The MAS+ Agency
Orioles,Heston,Kjerstad,13,Left Field,L/R,"6' 3""",205,02/12/1999,,,,Pre Arb,-,-,-
Orioles,Ryan,O'Hearn,32,Left Field,L/L,"6' 3""",220,07/26/1993,,,,Arb 3,"4,100,000",-,Republik Sports
Orioles,Cedric,Mullins,31,Center Field,L/L,"5' 9""",175,10/01/1994,,,,Arb 2,"5,500,000",Robin Cope,Cope Sports Management Group
Orioles,Austin,Hays,21,Center Field,R/R,"5' 11""",200,07/05/1995,,,,Arb 2,"5,500,000",-,The MAS+ Agency
Orioles,Anthony,Santander,25,Right Field,S/R,"6' 2""",230,10/19/1994,,,,Arb 4,"14,100,000","Cesar Suarez, Dan Horwits",-
Orioles,Heston,Kjerstad,13,Right Field,L/R,"6' 3""",205,02/12/1999,,,,Pre Arb,-,-,-
Orioles,Ryan,O'Hearn,32,Right Field,L/L,"6' 3""",220,07/26/1993,,,,Arb 3,"4,100,000",-,Republik Sports
Orioles,Ryan,O'Hearn,32,Designated Hitter,L/L,"6' 3""",220,07/26/1993,,,,Arb 3,"4,100,000",-,Republik Sports
Orioles,Anthony,Santander,25,Designated Hitter,S/R,"6' 2""",230,10/19/1994,,,,Arb 4,"14,100,000","Cesar Suarez, Dan Horwits",-
Orioles,Ryan,Mountcastle,6,Designated Hitter,R/R,"6' 4""",220,02/18/1997,,,,Arb 1,"3,600,000",-,Apex Baseball
Orioles,Adley,Rutschman,35,Designated Hitter,S/R,"6' 2""",230,02/06/1998,,,,Pre Arb,-,-,-
Orioles,Heston,Kjerstad,13,Designated Hitter,L/R,"6' 3""",205,02/12/1999,,,,Pre Arb,-,-,-
