Team Name,First Name,Last Name,Player Number,Position,B/T,Ht,Wt,DOB,Career Health ,Seasonal Health,Percent of Reinjury,Status,Base Salary,Spotrac Agent,Spotrac Agency
Cubs,Kyle,Hendricks,28,Rotation,R/R,"6' 3""",190,12/07/1989,,,,Club Exercised,"16,500,000",-,Wasserman
Cubs,Justin,Steele,35,Rotation,L/L,"6' 2""",205,07/11/1995,,,,Arb 1,"4,100,000",-,Wasserman
Cubs,Jameson,Taillon,50,Rotation,R/R,"6' 5""",230,11/18/1991,,,,-,"18,000,000",-,Excel Sports Management
Cubs,Javier,Assad,72,Rotation,R/R,"6' 1""",200,07/30/1997,,,,Pre-Arb,-,-,-
Cubs,Adbert,Alzolay,73,Bullpen,R/R,"6' 1""",208,03/01/1995,,,,Arb 1,"2,300,000",-,Octagon
Cubs,Julian,Merryweather,66,Bullpen,R/R,"6' 4""",215,10/14/1991,,,,Arb 1,"1,300,000",-,"The L. Warner Companies, Inc"
Cubs,Mark,Leiter,Jr.,Bullpen,R/R,"6' 0""",210,03/13/1991,,,,Arb 1,"1,400,000",-,Octagon
Cubs,Drew,Smyly,11,Bullpen,L/L,"6' 2""",188,06/13/1989,,,,-,"10,500,000",Darek Braunecker,Frontline
Cubs,Daniel,Palencia,48,Bullpen,R/R,"5' 11""",160,02/05/2000,,,,Pre-Arb,-,-,-
Cubs,Luke,Little,43,Bullpen,L/L,"6' 8""",220,08/30/2000,,,,Pre-Arb,-,-,-
Cubs,Yan,Gomes,15,Catcher,R/R,"6' 2""",212,07/19/1987,,,,Club Exercised,"6,000,000",-,Jet Sports Management
Cubs,Miguel,Amaya,6,Catcher,R/R,"6' 0""",230,03/09/1999,,,,Pre-Arb,-,-,-
Cubs,Patrick,Wisdom,16,First Base,R/R,"6' 2""",220,08/27/1991,,,,Arb 1,"2,725,000",-,Apex Baseball
Cubs,Nico,Hoerner,2,Second Base,R/R,"6' 1""",200,05/13/1997,,,,Arb 2,"11,500,000",-,Apex Baseball
Cubs,Christopher,Morel,5,Second Base,R/R,"5' 11""",145,06/24/1999,,,,Pre-Arb,-,-,-
Cubs,Nick,Madrigal,1,Second Base,R/R,"5' 8""",175,03/05/1997,,,,Arb 2,"1,900,000",-,Wasserman
Cubs,Miles,Mastrobuoni,20,Second Base,L/R,"5' 10""",185,10/31/1995,,,,Pre-Arb,-,-,-
Cubs,Nick,Madrigal,1,Third Base,R/R,"5' 8""",175,03/05/1997,,,,Arb 2,"1,900,000",-,Wasserman
Cubs,Patrick,Wisdom,16,Third Base,R/R,"6' 2""",220,08/27/1991,,,,Arb 1,"2,725,000",-,Apex Baseball
Cubs,Christopher,Morel,5,Third Base,R/R,"5' 11""",145,06/24/1999,,,,Pre-Arb,-,-,-
Cubs,Miles,Mastrobuoni,20,Third Base,L/R,"5' 10""",185,10/31/1995,,,,Pre-Arb,-,-,-
Cubs,Dansby,Swanson,7,Shortstop,R/R,"6' 1""",190,02/11/1994,,,,-,"25,000,000",-,Excel Sports Management
Cubs,Nico,Hoerner,2,Shortstop,R/R,"6' 1""",200,05/13/1997,,,,Arb 2,"11,500,000",-,Apex Baseball
Cubs,Christopher,Morel,5,Shortstop,R/R,"5' 11""",145,06/24/1999,,,,Pre-Arb,-,-,-
Cubs,Miles,Mastrobuoni,20,Shortstop,L/R,"5' 10""",185,10/31/1995,,,,Pre-Arb,-,-,-
Cubs,Ian,Happ,8,Left Field,S/R,"6' 0""",205,08/12/1994,,,,-,"20,000,000",-,Excel Sports Management
Cubs,Mike,Tauchman,40,Left Field,L/L,"6' 1""",220,12/03/1990,,,,Arb 1,"2,700,000",-,Meister Sports Management
Cubs,Christopher,Morel,5,Left Field,R/R,"5' 11""",145,06/24/1999,,,,Pre-Arb,-,-,-
Cubs,Patrick,Wisdom,16,Left Field,R/R,"6' 2""",220,08/27/1991,,,,Arb 1,"2,725,000",-,Apex Baseball
Cubs,Alexander,Canario,4,Left Field,R/R,"5' 11""",165,05/07/2000,,,,Pre-Arb,-,-,-
Cubs,Pete,Crow-Armstrong,52,Center Field,L/L,"5' 11""",184,03/25/2002,,,,Pre-Arb,-,-,-
Cubs,Mike,Tauchman,40,Center Field,L/L,"6' 1""",220,12/03/1990,,,,Arb 1,"2,700,000",-,Meister Sports Management
Cubs,Christopher,Morel,5,Center Field,R/R,"5' 11""",145,06/24/1999,,,,Pre-Arb,-,-,-
Cubs,Seiya,Suzuki,27,Right Field,R/R,"5' 11""",182,08/18/1994,,,,-,"20,000,000",-,Wasserman
Cubs,Mike,Tauchman,40,Right Field,L/L,"6' 1""",220,12/03/1990,,,,Arb 1,"2,700,000",-,Meister Sports Management
Cubs,Christopher,Morel,5,Right Field,R/R,"5' 11""",145,06/24/1999,,,,Pre-Arb,-,-,-
Cubs,Patrick,Wisdom,16,Right Field,R/R,"6' 2""",220,08/27/1991,,,,Arb 1,"2,725,000",-,Apex Baseball
Cubs,Christopher,Morel,5,Designated Hitter,R/R,"5' 11""",145,06/24/1999,,,,Pre-Arb,-,-,-
Cubs,Patrick,Wisdom,16,Designated Hitter,R/R,"6' 2""",220,08/27/1991,,,,Arb 1,"2,725,000",-,Apex Baseball
