Team Name,First Name,Last Name,Player Number,Position,B/T,Ht,Wt,DOB,Career Health ,Seasonal Health,Percent of Reinjury,Status,Base Salary,Spotrac Agent,Spotrac Agency
White Sox,Dylan,Cease,84,Rotation,R/R,"6' 2""",195,12/28/1995,,,,Arb 2,"8,300,000",-,Boras Corporation
White Sox,Touki,Toussaint,47,Rotation,R/R,"6' 3""",215,06/20/1996,,,,Arb 1,"1,200,000",Scott Boras,Boras Corporation
White Sox,Jesse,Scholtens,62,Rotation,R/R,"6' 4""",230,04/06/1994,,,,Pre-Arb,-,-,-
White Sox,Gregory,Santos,60,Bullpen,R/R,"6' 2""",190,08/28/1999,,,,Pre-Arb,-,-,-
White Sox,Garrett,Crochet,45,Bullpen,L/L,"6' 6""",230,06/21/1999,,,,Arb 1,"770,000",-,CAA Sports
White Sox,Aaron,Bummer,39,Bullpen,L/L,"6' 3""",215,09/21/1993,,,,Arb 4,"5,500,000",-,O'Connell Sports Management
White Sox,Tanner,Banks,57,Bullpen,R/L,"6' 1""",210,10/24/1991,,,,Pre-Arb,-,-,-
White Sox,Sammy,Peralta,67,Bullpen,L/L,"6' 2""",205,05/10/1998,,,,Pre-Arb,-,-,-
White Sox,Lane,Ramsey,68,Bullpen,R/R,"6' 9""",245,07/16/1996,,,,Pre-Arb,-,-,-
White Sox,Jimmy,Lambert,58,Bullpen,R/R,"6' 2""",190,11/18/1994,,,,Pre-Arb,-,-,-
White Sox,Luis,Patiño,77,Bullpen,R/R,"6' 1""",192,10/26/1999,,,,-,-,-,-
White Sox,Deivi,García,64,Bullpen,R/R,"5' 9""",163,05/19/1999,,,,-,-,-,-
White Sox,Declan,Cronin,59,Bullpen,R/R,"6' 4""",225,09/24/1997,,,,Pre-Arb,-,-,-
White Sox,Michael,Kopech,34,Bullpen,R/R,"6' 3""",210,04/30/1996,,,,Arb 2,"4,200,000",-,CAA Sports
White Sox,Yohan,Ramirez,48,Bullpen,R/R,"6' 4""",212,05/06/1995,,,,Pre-Arb,-,-,-
White Sox,Carlos,Pérez,36,Catcher,R/R,"5' 11""",205,09/10/1996,,,,-,-,-,-
White Sox,Korey,Lee,26,Catcher,R/R,"6' 2""",210,7/25/1998,,,,Pre-Arb,-,Scott Boras,Boras Corporation
White Sox,Andrew,Vaughn,25,First Base,R/R,"6' 0""",215,04/03/1998,,,,Arb 1,"4,100,000",-,-
White Sox,Gavin,Sheets,32,First Base,L/L,"6' 5""",230,04/23/1996,,,,Pre-Arb,-,-,-
White Sox,Romy,Gonzalez,12,Second Base,R/R,"6' 1""",215,09/06/1996,,,,Pre-Arb,-,-,MVP Sports Group
White Sox,Yoán,Moncada,10,Third Base,S/R,"6' 2""",225,5/27/1995,,,,-,-,-,-
White Sox,Zach,Remillard,28,Third Base,R/R,"6' 0""",185,02/21/1994,,,,Pre-Arb,-,-,-
White Sox,Romy,Gonzalez,12,Shortstop,R/R,"6' 1""",215,09/06/1996,,,,Pre-Arb,-,-,MVP Sports Group
White Sox,Andrew,Benintendi,23,Left Field,L/L,"5' 9""",180,07/06/1994,,,,-,"16,500,000",-,Excel Sports Management
White Sox,Eloy,Jiménez,74,Left Field,R/R,"6' 4""",240,11/27/1996,,,,-,-,-,-
White Sox,Luis,Robert,Jr.,Center Field,R/R,"6' 2""",220,08/03/1997,,,,Arb 2,"12,500,000",-,Magnus Media
White Sox,Gavin,Sheets,32,Right Field,L/L,"6' 5""",230,04/23/1996,,,,Pre-Arb,-,-,-
White Sox,Eloy,Jiménez,74,Designated Hitter,R/R,"6' 4""",240,11/27/1996,,,,-,-,-,-
White Sox,Andrew,Vaughn,25,Designated Hitter,R/R,"6' 0""",215,4/3/1998,,,,Arb 1,"4,100,000",-,-
