Team Name,First Name,Last Name,Player Number,Position,B/T,Ht,Wt,DOB,Career Health ,Seasonal Health,Percent of Reinjury,Status,Base Salary,Spotrac Agent,Spotrac Agency
Reds,Hunter,Greene,21,Rotation,R/R,"6' 5""",242,08/06/1999,,,,-,"3,000,000",-,-
Reds,Nick,Lodolo,40,Rotation,L/L,"6' 6""",216,02/05/1998,,,,Pre-Arb,-,-,-
Reds,Graham,Ashcraft,51,Rotation,L/R,"6' 2""",248,02/11/1998,,,,Pre-Arb,-,-,-
Reds,Andrew,Abbott,41,Rotation,L/L,"6' 0""",192,06/01/1999,,,,Pre-Arb,-,-,-
Reds,Brandon,Williamson,55,Rotation,R/L,"6' 6""",210,04/02/1998,,,,Pre-Arb,-,-,-
Reds,Connor,Phillips,34,Rotation,R/R,"6' 2""",209,05/04/2001,,,,Pre-Arb,-,-,-
Reds,Alexis,Díaz,43,Bullpen,R/R,"6' 2""",224,09/28/1996,,,,-,-,-,-
Reds,Lucas,Sims,39,Bullpen,R/R,"6' 2""",213,05/10/1994,,,,Arb 3,"2,800,000",Jamie Murphy,TWC Sports Management
Reds,Ian,Gibaut,79,Bullpen,R/R,"6' 3""",250,11/19/1993,,,,Pre-Arb,-,Bryan Hamper,-
Reds,Tejay,Antone,70,Bullpen,R/R,"6' 4""",230,12/05/1993,,,,Arb 2,"775,000",-,"The L. Warner Companies, Inc"
Reds,Sam,Moll,50,Bullpen,L/L,"5' 9""",190,01/03/1992,,,,Pre-Arb,-,-,-
Reds,Alex,Young,48,Bullpen,L/L,"6' 3""",220,09/09/1993,,,,Arb 1,"1,250,000",-,Wasserman
Reds,Fernando,Cruz,63,Bullpen,R/R,"6' 2""",237,03/28/1990,,,,Pre-Arb,-,-,-
Reds,Reiver,Sanmartin,52,Bullpen,L/L,"6' 2""",160,04/15/1996,,,,Pre-Arb,-,-,-
Reds,Daniel,Duarte,77,Bullpen,R/R,"6' 0""",235,12/04/1996,,,,Pre-Arb,-,-,-
Reds,Tyler,Stephenson,37,Catcher,R/R,"6' 4""",225,08/16/1996,,,,Arb 1,"2,500,000",-,ACES
Reds,Luke,Maile,22,Catcher,R/R,"6' 3""",225,02/06/1991,,,,-,"3,000,000",-,Meister Sports Management
Reds,Spencer,Steer,7,First Base,R/R,"5' 11""",185,12/07/1997,,,,Pre-Arb,-,-,Ballengee Group
Reds,Christian,Encarnacion-Strand,,First Base,R/R,"6' 0""",224,12/01/1999,,,,Pre-Arb,-,-,-
Reds,Jonathan,India,6,Second Base,R/R,"6' 0""",200,12/15/1996,,,,Arb 1,"3,200,000",-,Meister Sports Management
Reds,Matt,McLain,9,Second Base,R/R,"5' 8""",180,08/06/1999,,,,Pre-Arb,-,-,-
Reds,Spencer,Steer,7,Second Base,R/R,"5' 11""",185,12/07/1997,,,,Pre-Arb,-,-,Ballengee Group
Reds,Nick,Senzel,15,Second Base,R/R,"6' 1""",218,06/29/1995,,,,-,"2,000,000",-,Boras Corporatio
Reds,Noelvi,Marte,16,Third Base,R/R,"6' 0""",216,10/16/2001,,,,Pre-Arb,-,-,-
Reds,Spencer,Steer,7,Third Base,R/R,"5' 11""",185,12/07/1997,,,,Pre-Arb,-,-,Ballengee Group
Reds,Elly,De,La,Third Base,S/R,"6' 5""",200,01/11/2002,,,,,,,
Reds,Nick,Senzel,15,Third Base,R/R,"6' 1""",218,06/29/1995,,,,-,"2,000,000",-,Boras Corporatio
