Team Name,First Name,Last Name,Player Number,Position,B/T,Ht,Wt,DOB,Career Health ,Seasonal Health,Percent of Reinjury,Status,Base Salary,Spotrac Agent,Spotrac Agency
Rockies,Kyle,Freeland,21,Rotation,L/L,"6' 4""",204,05/14/1993,,,,-,"15,000,000",-,MSM Sports
Rockies,Austin,Gomber,26,Rotation,L/L,"6' 5""",220,11/23/1993,,,,Arb 2,"3,600,000",-,Jet Sports Management
Rockies,Peter,Lambert,20,Rotation,R/R,"6' 2""",208,04/18/1997,,,,Arb 2,"1,000,000",-,-
Rockies,Ryan,Feltner,18,Rotation,R/R,"6' 4""",190,09/02/1996,,,,Pre-Arb,-,-,-
Rockies,Noah,Davis,63,Rotation,R/R,"6' 2""",195,04/22/1997,,,,Pre-Arb,-,-,-
Rockies,Connor,Seabold,43,Rotation,R/R,"6' 2""",190,01/24/1996,,,,Pre-Arb,-,-,-
Rockies,Germán,Márquez,48,Rotation,R/R,"6' 1""",230,02/22/1995,,,,-,-,-,-
Rockies,Antonio,Senzatela,49,Rotation,R/R,"6' 1""",236,01/21/1995,,,,-,"12,000,000",Rafa Nieves,Republik Sports
Rockies,Daniel,Bard,52,Rotation,R/R,"6' 4""",215,06/25/1985,,,,-,"9,500,000",-,ISE Baseball
Rockies,Lucas,Gilbreath,58,Bullpen,L/L,"6' 1""",185,03/05/1996,,,,Arb 1,"900,000",-,-
Rockies,Jalen,Beeks,,Bullpen,L/L,"5' 11""",215,07/10/1993,,,,Arb 3,"1,675,000",-,Frontline
Rockies,Justin,Lawrence,61,Bullpen,R/R,"6' 3""",213,11/25/1994,,,,Pre-Arb,-,-,Ballengee Group
Rockies,Tyler,Kinley,40,Bullpen,R/R,"6' 4""",220,01/31/1991,,,,Arb 3,"1,300,000",-,Paragon Sports International
Rockies,Jake,Bird,59,Bullpen,R/R,"6' 3""",200,12/04/1995,,,,Pre-Arb,-,-,-
Rockies,Nick,Mears,46,Bullpen,R/R,"6' 2""",200,10/07/1996,,,,Pre-Arb,-,-,-
Rockies,Gavin,Hollowell,64,Bullpen,R/R,"6' 7""",215,11/04/1997,,,,Pre-Arb,-,-,-
Rockies,Victor,Vodnik,60,Bullpen,R/R,"6' 0""",200,10/09/1999,,,,Pre-Arb,"770,000",-,-
Rockies,Tommy,Doyle,57,Bullpen,R/R,"6' 6""",244,05/01/1996,,,,Pre-Arb,-,-,-
Rockies,Evan,Justice,56,Bullpen,L/L,"6' 4""",205,07/07/1998,,,,Pre-Arb,-,-,-
Rockies,Riley,Pint,41,Bullpen,R/R,"6' 5""",225,11/06/1997,,,,Pre-Arb,-,-,-
Rockies,Elias,Díaz,35,Catcher,R/R,"6' 1""",223,11/17/1990,,,,-,-,-,-
Rockies,Brian,Serven,6,Catcher,R/R,"6' 0""",207,05/05/1995,,,,Pre-Arb,-,-,-
Rockies,Kris,Bryant,23,First Base,R/R,"6' 5""",230,01/04/1992,,,,-,"27,000,000",Scott Boras,Boras Corporation
Rockies,Elehuris,Montero,44,First Base,R/R,"6' 3""",235,08/17/1998,,,,Pre-Arb,-,-,-
Rockies,Michael,Toglia,4,First Base,S/L,"6' 5""",226,08/16/1998,,,,Pre-Arb,-,-,-
Rockies,Hunter,Goodman,15,First Base,R/R,"5' 11""",210,10/08/1999,,,,Pre-Arb,-,-,-
Rockies,Brendan,Rodgers,7,Second Base,R/R,"6' 0""",204,08/09/1996,,,,Arb 2,"4,200,000",-,Excel Sports Management
Rockies,Alan,Trejo,13,Second Base,R/R,"6' 2""",205,05/30/1996,,,,Pre-Arb,-,-,Ballengee Group
Rockies,Julio,Carreras,83,Second Base,R/R,"6' 1""",190,01/12/2000,,,,Pre-Arb,-,-,-
Rockies,Ryan,McMahon,24,Third Base,L/R,"6' 2""",219,12/14/1994,,,,Pre-Arb,-,-,-
Rockies,Alan,Trejo,13,Third Base,R/R,"6' 2""",205,05/30/1996,,,,Pre-Arb,-,-,Ballengee Group
Rockies,Warming,Bernabel,76,Third Base,R/R,"6' 1""",180,06/06/2002,,,,Pre-Arb,-,-,-
Rockies,Ezequiel,Tovar,14,Shortstop,R/R,"6' 0""",162,08/01/2001,,,,Pre-Arb,-,-,-
Rockies,Alan,Trejo,13,Shortstop,R/R,"6' 2""",205,05/30/1996,,,,Pre-Arb,-,-,Ballengee Group
Rockies,Julio,Carreras,83,Shortstop,R/R,"6' 1""",190,01/12/2000,,,,Pre-Arb,-,-,-
Rockies,Nolan,Jones,22,Left Field,L/R,"6' 4""",195,05/07/1998,,,,Pre-Arb,-,-,-
Rockies,Sean,Bouchard,12,Left Field,R/R,"6' 3""",215,05/16/1996,,,,Pre-Arb,-,-,-
Rockies,Brenton,Doyle,9,Center Field,R/R,"6' 2""",200,05/14/1998,,,,Pre-Arb,-,-,-
Rockies,Nolan,Jones,22,Center Field,L/R,"6' 4""",195,05/07/1998,,,,Pre-Arb,-,-,-
Rockies,Charlie,Blackmon,19,Right Field,L/L,"6' 3""",221,07/01/1986,,,,-,"13,000,000",-,ACES
Rockies,Kris,Bryant,23,Right Field,R/R,"6' 5""",230,01/04/1992,,,,-,"27,000,000",Scott Boras,Boras Corporation
Rockies,Sean,Bouchard,12,Right Field,R/R,"6' 3""",215,05/16/1996,,,,Pre-Arb,-,-,-
Rockies,Hunter,Goodman,15,Right Field,R/R,"5' 11""",210,10/08/1999,,,,Pre-Arb,-,-,-
Rockies,Charlie,Blackmon,19,Designated Hitter,L/L,"6' 3""",221,07/01/1986,,,,-,"13,000,000",-,ACES
Rockies,Kris,Bryant,23,Designated Hitter,R/R,"6' 5""",230,01/04/1992,,,,-,"27,000,000",Scott Boras,Boras Corporation
Rockies,Elehuris,Montero,44,Designated Hitter,R/R,"6' 3""",235,08/17/1998,,,,Pre-Arb,-,-,-
