Team Name,First Name,Last Name,Player Number,Position,B/T,Ht,Wt,DOB,Career Health ,Seasonal Health,Percent of Reinjury,Status,Base Salary,Spotrac Agent,Spotrac Agency
Astros,Justin,Verlander,35,Rotation,R/R,"6' 5""",235,02/20/1983,,,,-,"43,333,333","Mark Pieper, Mike Milchin",ISE Baseball
Astros,Framber,Valdez,59,Rotation,R/L,"5' 11""",239,11/19/1993,,,,Arb 3,"12,800,000",-,Octagon
Astros,Cristian,Javier,53,Rotation,R/R,"6' 1""",213,03/26/1997,,,,Arb 2,"7,000,000",-,MVP Sports Group
Astros,José,Urquidy,65,Rotation,R/R,"6' 0""",217,05/01/1995,,,,-,-,-,-
Astros,Lance,McCullers,Jr.,Rotation,L/R,"6' 1""",202,10/02/1993,,,,-,"17,000,000",Scott Boras,Boras Corporation
Astros,Luis,Garcia,77,Rotation,R/R,"5' 11""",244,12/13/1996,,,,-,"4,250,000",-,Reynolds Sports Management
Astros,Ryan,Pressly,55,Bullpen,R/R,"6' 2""",206,12/15/1988,,,,-,"14,000,000",Scott Lonergan,Ballengee Group
Astros,Rafael,Montero,47,Bullpen,R/R,"6' 0""",190,10/17/1990,,,,-,"11,500,000",-,GSE Worldwide
Astros,Bryan,Abreu,52,Bullpen,R/R,"6' 1""",225,04/22/1997,,,,Arb 1,"1,500,000",-,-
Astros,Hunter,Brown,58,Bullpen,R/R,"6' 2""",212,08/29/1998,,,,Pre-Arb,-,-,-
Astros,J.P.,France,68,Bullpen,R/R,"6' 0""",216,04/04/1995,,,,Pre-Arb,-,-,-
Astros,Ronel,Blanco,56,Bullpen,R/R,"6' 0""",180,08/31/1993,,,,Pre-Arb,-,-,Nova Sports Agency
Astros,Yainer,Diaz,21,Catcher,R/R,"6' 0""",195,09/21/1998,,,,Pre-Arb,-,-,-
Astros,José,Abreu,79,First Base,R/R,"6' 3""",235,01/29/1987,,,,-,-,-,-
Astros,Jon,Singleton,28,First Base,L/L,"6' 0""",256,09/18/1991,,,,Pre-Arb,-,-,Sosnick Cobbe Sports
Astros,Yainer,Diaz,21,First Base,R/R,"6' 0""",195,09/21/1998,,,,Pre-Arb,-,-,-
Astros,Grae,Kessinger,16,First Base,R/R,"6' 1""",204,08/25/1997,,,,Pre-Arb,-,-,-
Astros,Jose,Altuve,27,Second Base,R/R,"5' 6""",166,05/06/1990,,,,-,"26,000,000",Scott Boras,Boras Corporation
Astros,Mauricio,Dubón,14,Second Base,R/R,"6' 0""",173,07/19/1994,,,,-,-,-,-
Astros,Grae,Kessinger,16,Second Base,R/R,"6' 1""",204,08/25/1997,,,,Pre-Arb,-,-,-
Astros,Alex,Bregman,2,Third Base,R/R,"6' 0""",192,03/30/1994,,,,-,"28,500,000",Scott Boras,Boras Corporation
Astros,Mauricio,Dubón,14,Third Base,R/R,"6' 0""",173,07/19/1994,,,,-,-,-,-
Astros,Grae,Kessinger,16,Third Base,R/R,"6' 1""",204,08/25/1997,,,,Pre-Arb,-,-,-
Astros,Jeremy,Peña,3,Shortstop,R/R,"6' 0""",202,09/22/1997,,,,-,-,-,-
Astros,Mauricio,Dubón,14,Shortstop,R/R,"6' 0""",173,07/19/1994,,,,-,-,-,-
Astros,Grae,Kessinger,16,Shortstop,R/R,"6' 1""",204,08/25/1997,,,,Pre-Arb,-,-,-
Astros,Chas,McCormick,20,Left Field,R/L,"6' 0""",208,04/19/1995,,,,Arb 1,"3,200,000",-,Ballengee Group
Astros,Mauricio,Dubón,14,Left Field,R/R,"6' 0""",173,07/19/1994,,,,-,-,-,-
Astros,Yordan,Alvarez,44,Left Field,L/R,"6' 5""",225,06/27/1997,,,,Arb 2,"10,000,000",-,MVP Sports Group
Astros,Chas,McCormick,20,Center Field,R/L,"6' 0""",208,04/19/1995,,,,Arb 1,"3,200,000",-,Ballengee Group
Astros,Mauricio,Dubón,14,Center Field,R/R,"6' 0""",173,07/19/1994,,,,-,,-,-
Astros,Kyle,Tucker,30,Right Field,L/R,"6' 4""",199,01/17/1997,,,,Arb 2,"13,100,000",-,Excel Sports Management
Astros,Chas,McCormick,20,Right Field,R/L,"6' 0""",208,04/19/1995,,,,Arb 1,"3,200,000",-,Ballengee Group
Astros,Yordan,Alvarez,44,Designated Hitter,L/R,"6' 5""",225,06/27/1997,,,,Arb 2,"10,000,000",-,MVP Sports Group
Astros,Yainer,Diaz,21,Designated Hitter,R/R,"6' 0""",195,09/21/1998,,,,Pre-Arb,-,-,-
Astros,Jon,Singleton,28,Designated Hitter,L/L,"6' 0""",256,09/18/1991,,,,Pre-Arb,-,-,Sosnick Cobbe Sports
