Team Name,First Name,Last Name,Player Number,Position,B/T,Ht,Wt,DOB,Career Health ,Seasonal Health,Percent of Reinjury,Status,Base Salary,Spotrac Agent,Spotrac Agency
Royals,Cole,Ragans,55,Rotation,L/L,"6' 4""",190,12/12/1997,,,,Pre-Arb,-,-,-
Royals,Brady,Singer,51,Rotation,R/R,"6' 5""",215,08/04/1996,,,,Arb 2,"6,700,000",-,Excel Sports Management
Royals,Jordan,Lyles,24,Rotation,R/R,"6' 5""",230,10/19/1990,,,,-,"8,500,000",-,Ballengee Group
Royals,Alec,Marsh,67,Rotation,R/R,"6' 2""",220,05/14/1998,,,,Pre-Arb,-,-,-
Royals,Daniel,Lynch,IV,Rotation,L/L,"6' 6""",200,11/17/1996,,,,Pre-Arb,-,-,Bledsoe Brothers
Royals,Kris,Bubic,50,Rotation,L/L,"6' 3""",225,08/19/1997,,,,Arb 2,"2,200,000",-,Apex Baseball
Royals,Taylor,Clarke,45,Bullpen,R/R,"6' 4""",217,05/13/1993,,,,Arb 2,"250,000",-,Ballengee Group
Royals,Carlos,Hernández,43,Bullpen,R/R,"6' 4""",255,03/11/1997,,,,-,-,-,-
Royals,Austin,Cox,53,Bullpen,L/L,"6' 4""",235,03/28/1997,,,,Pre-Arb,-,-,-
Royals,Collin,Snider,40,Bullpen,R/R,"6' 4""",195,10/10/1995,,,,Pre-Arb,-,-,-
Royals,James,McArthur,66,Bullpen,R/R,"6' 7""",230,12/11/1996,,,,Pre-Arb,-,-,-
Royals,John,McMillon,58,Bullpen,L/R,"6' 3""",230,01/27/1998,,,,Pre-Arb,-,-,-
Royals,Angel,Zerpa,61,Bullpen,L/L,"6' 0""",220,09/27/1999,,,,Pre-Arb,-,-,-
Royals,Steven,Cruz,64,Bullpen,R/R,"6' 7""",225,06/15/1999,,,,Pre-Arb,-,-,-
Royals,Anthony,Veneziano,69,Bullpen,L/L,"6' 5""",205,09/01/1997,,,,Pre-Arb,-,-,-
Royals,Jonathan,Bowlan,62,Bullpen,R/R,"6' 6""",240,12/01/1996,,,,Pre-Arb,-,-,-
Royals,Salvador,Perez,13,Catcher,R/R,"6' 3""",255,05/10/1990,,,,-,"20,000,000",Rick Thurman,Beverly Hills Sports Council
Royals,Freddy,Fermin,34,Catcher,R/R,"5' 9""",200,05/16/1995,,,,Pre-Arb,-,-,-
Royals,MJ,Melendez,1,Catcher,L/R,"6' 1""",190,11/29/1998,,,,Pre-Arb,-,-,-
Royals,Logan,Porter,88,Catcher,R/R,"6' 0""",200,07/12/1995,,,,Pre-Arb,-,-,-
Royals,Salvador,Perez,13,First Base,R/R,"6' 3""",255,05/10/1990,,,,-,"20,000,000",Rick Thurman,Beverly Hills Sports Council
Royals,Nick,Loftin,12,First Base,R/R,"5' 11""",180,09/25/1998,,,,Pre-Arb,-,-,-
Royals,Michael,Massey,19,Second Base,L/R,"6' 0""",195,03/22/1998,,,,Pre-Arb,-,-,-
Royals,Nick,Loftin,12,Second Base,R/R,"5' 11""",180,09/25/1998,,,,Pre-Arb,-,-,-
Royals,Maikel,Garcia,11,Third Base,R/R,"6' 0""",180,03/03/2000,,,,Pre-Arb,-,-,Magnus Media
Royals,Nick,Loftin,12,Third Base,R/R,"5' 11""",180,09/25/1998,,,,Pre-Arb,-,-,-
Royals,Bobby,Witt,Jr.,Shortstop,R/R,"6' 1""",200,06/14/2000,,,,Pre-Arb,-,-,Octagon
Royals,Maikel,Garcia,11,Shortstop,R/R,"6' 0""",180,03/03/2000,,,,Pre-Arb,-,-,Magnus Media
Royals,MJ,Melendez,1,Left Field,L/R,"6' 1""",190,11/29/1998,,,,Pre-Arb,-,-,-
Royals,Dairon,Blanco,44,Left Field,R/R,"5' 11""",200,04/26/1993,,,,Pre-Arb,-,-,-
Royals,Nick,Loftin,12,Left Field,R/R,"5' 11""",180,09/25/1998,,,,Pre-Arb,-,-,-
Royals,Kyle,Isbel,28,Center Field,L/R,"5' 11""",190,03/03/1997,,,,Pre-Arb,-,-,Paragon Sports International
Royals,Drew,Waters,6,Center Field,S/R,"6' 0""",185,12/30/1998,,,,Pre-Arb,-,-,-
Royals,Dairon,Blanco,44,Center Field,R/R,"5' 11""",200,04/26/1993,,,,Pre-Arb,-,-,-
Royals,Drew,Waters,6,Right Field,S/R,"6' 0""",185,12/30/1998,,,,Pre-Arb,-,-,-
Royals,MJ,Melendez,1,Right Field,L/R,"6' 1""",190,11/29/1998,,,,Pre-Arb,-,-,-
Royals,Dairon,Blanco,44,Right Field,R/R,"5' 11""",200,04/26/1993,,,,Pre-Arb,-,-,-
Royals,Edward,Olivares,14,Right Field,R/R,"6' 2""",190,03/06/1996,,,,Arb 1,"1,500,000",-,The MAS+ Agency
Royals,Salvador,Perez,13,Designated Hitter,R/R,"6' 3""",255,05/10/1990,,,,-,"20,000,000",Rick Thurman,Beverly Hills Sports Council
Royals,Vinnie,Pasquantino,9,Designated Hitter,L/L,"6' 4""",245,10/10/1997,,,,Pre-Arb,-,-,-
