Team Name,First Name,Last Name,Player Number,Position,B/T,Ht,Wt,DOB,Career Health ,Seasonal Health,Percent of Reinjury,Status,Base Salary,Spotrac Agent,Spotrac Agency
Angels,Tyler,Anderson,31,Rotation,L/L,"6' 2""",220,12/30/1989,,,,-,"13,000,000",-,GSE Worldwide
Angels,Patrick,Sandoval,43,Rotation,L/L,"6' 3""",190,10/18/1996,,,,Arb 2,"5,000,000",-,Wasserman
Angels,Reid,Detmers,48,Rotation,L/L,"6' 2""",210,07/08/1999,,,,Pre-Arb,-,-,-
Angels,Griffin,Canning,47,Rotation,R/R,"6' 2""",180,05/11/1996,,,,Arb 2,"3,500,000",-,Wasserman
Angels,Chase,Silseth,63,Rotation,R/R,"6' 0""",217,05/18/2000,,,,Pre-Arb,-,-,-
Angels,Kenny,Rosenberg,78,Rotation,L/L,"6' 1""",195,07/09/1995,,,,-,-,-,-
Angels,Davis,Daniel,58,Rotation,R/R,"6' 1""",190,06/11/1997,,,,Pre-Arb,-,-,-
Angels,Carlos,Estévez,53,Bullpen,R/R,"6' 6""",277,12/28/1992,,,,-,-,-,-
Angels,José,Soriano,59,Bullpen,R/R,"6' 3""",220,10/20/1998,,,,-,-,-,-
Angels,Sam,Bachman,40,Bullpen,R/R,"6' 1""",235,09/30/1999,,,,Pre-Arb,-,-,-
Angels,Jimmy,Herget,46,Bullpen,R/R,"6' 3""",170,09/09/1993,,,,Pre-Arb,-,-,Paragon Sports International
Angels,José,Suarez,54,Bullpen,L/L,"5' 10""",225,01/03/1998,,,,-,-,-,-
Angels,Ben,Joyce,44,Bullpen,R/R,"6' 5""",225,09/17/2000,,,,Pre-Arb,-,-,-
Angels,Kelvin,Caceres,71,Bullpen,R/R,"6' 1""",205,01/26/2000,,,,-,-,-,-
Angels,Andrew,Wantz,60,Bullpen,R/R,"6' 4""",235,10/13/1995,,,,Pre-Arb,-,-,NPG Sports
Angels,Logan,O'Hoppe,14,Catcher,R/R,"6' 2""",185,02/09/2000,,,,Pre-Arb,-,-,CAA Sports
Angels,Matt,Thaiss,21,Catcher,L/R,"6' 0""",215,05/06/1995,,,,Pre-Arb,-,-,"Pro Agents, Inc."
Angels,Max,Stassi,33,Catcher,R/R,"5' 10""",200,03/15/1991,,,,-,"7,000,000",-,Wasserman
Angels,Nolan,Schanuel,18,First Base,L/R,"6' 4""",220,2/14/2002,,,,Pre-Arb,-,-,-
Angels,Brandon,Drury,23,First Base,R/R,"6' 2""",230,08/21/1992,,,,-,"8,500,000",-,Wasserman
Angels,Brandon,Drury,23,Second Base,R/R,"6' 2""",230,08/21/1992,,,,-,"8,500,000",-,Wasserman
Angels,Luis,Rengifo,2,Second Base,S/R,"5' 10""",195,02/26/1997,,,,Arb 2,"5,000,000",-,MVP Sports Group
Angels,David,Fletcher,22,Second Base,R/R,"5' 9""",185,05/31/1994,,,,Arb 3,"6,000,000",-,Ballengee Group
Angels,Michael,Stefanic,38,Second Base,R/R,"5' 8""",180,02/24/1996,,,,Pre-Arb,-,-,-
Angels,Anthony,Rendon,6,Third Base,R/R,"6' 1""",200,06/06/1990,,,,-,"38,000,000",Scott Boras,Boras Corporation
Angels,Luis,Rengifo,2,Third Base,S/R,"5' 10""",195,02/26/1997,,,,Arb 2,"5,000,000",-,MVP Sports Group
Angels,David,Fletcher,22,Third Base,R/R,"5' 9""",185,05/31/1994,,,,Arb 3,"6,000,000",-,Ballengee Group
Angels,Luis,Rengifo,2,Shortstop,S/R,"5' 10""",195,02/26/1997,,,,Arb 2,"5,000,000",-,MVP Sports Group
Angels,David,Fletcher,22,Shortstop,R/R,"5' 9""",185,05/31/1994,,,,Arb 3,"6,000,000",-,Ballengee Group
Angels,Zach,Neto,9,Shortstop,R/R,"6' 0""",185,01/31/2001,,,,Pre-Arb,-,-,-
Angels,Kyren,Paris,19,Shortstop,R/R,"6' 0""",180,11/11/2001,,,,Pre-Arb,-,-,-
Angels,Taylor,Ward,3,Left Field,R/R,"6' 1""",200,12/14/1993,,,,Arb 2,"5,400,000",-,Wasserman
Angels,Mickey,Moniak,16,Left Field,L/R,"6' 2""",195,05/13/1998,,,,Pre-Arb,-,-,Wasserman
Angels,Jo,Adell,7,Left Field,R/R,"6' 3""",215,04/08/1999,,,,Pre-Arb,-,-,Boras Corporation
Angels,Mike,Trout,27,Center Field,R/R,"6' 2""",235,08/07/1991,,,,-,"35,450,000",Craig Landis,LSW Baseball
Angels,Mickey,Moniak,16,Center Field,L/R,"6' 2""",195,05/13/1998,,,,Pre-Arb,-,-,Wasserman
Angels,Jo,Adell,7,Center Field,R/R,"6' 3""",215,04/08/1999,,,,Pre-Arb,-,-,Boras Corporation
Angels,Luis,Rengifo,2,Center Field,S/R,"5' 10""",195,02/26/1997,,,,Arb 2,"5,000,000",-,MVP Sports Group
Angels,Kyren,Paris,19,Center Field,R/R,"6' 0""",180,11/11/2001,,,,Pre-Arb,-,-,-
Angels,Mickey,Moniak,16,Right Field,L/R,"6' 2""",195,05/13/1998,,,,Pre-Arb,-,-,Wasserman
Angels,Jo,Adell,7,Right Field,R/R,"6' 3""",215,04/08/1999,,,,Pre-Arb,-,-,Boras Corporation
Angels,Taylor,Ward,3,Right Field,R/R,"6' 1""",200,12/14/1993,,,,Arb 2,"5,400,000",-,Wasserman
Angels,Brandon,Drury,23,Designated Hitter,R/R,"6' 2""",230,08/21/1992,,,,-,"8,500,000",-,Wasserman
