Team Name,First Name,Last Name,Player Number,Position,B/T,Ht,Wt,DOB,Career Health ,Seasonal Health,Percent of Reinjury,Status,Base Salary,Spotrac Agent,Spotrac Agency
Marlins,Sandy,Alcantara,22,Rotation,R/R,"6' 5""",200,09/07/1995,,,,Arb 3,"9,000,000",-,CAA Sports
Marlins,Jesús,Luzardo,44,Rotation,L/L,"6' 0""",218,09/30/1997,,,,-,-,-,-
Marlins,Braxton,Garrett,29,Rotation,R/L,"6' 2""",202,08/05/1997,,,,Pre-Arb,-,-,Boras Corporation
Marlins,Eury,Pérez,39,Rotation,R/R,"6' 8""",220,04/15/2003,,,,-,-,-,-
Marlins,Edward,Cabrera,27,Rotation,R/R,"6' 5""",217,04/13/1998,,,,Pre-Arb,-,-,-
Marlins,Trevor,Rogers,28,Rotation,L/L,"6' 5""",217,11/13/1997,,,,Arb 1,"1,000,000",-,PSI Sports Management
Marlins,Max,Meyer,23,Rotation,L/R,"6' 0""",196,03/12/1999,,,,Pre-Arb,-,-,-
Marlins,Ryan,Weathers,60,Rotation,R/L,"6' 1""",230,12/17/1999,,,,Pre-Arb,-,-,-
Marlins,Tanner,Scott,66,Bullpen,R/L,"6' 0""",235,07/22/1994,,,,Arb 3,"5,600,000",-,MVP Sports Group
Marlins,Andrew,Nardi,43,Bullpen,L/L,"6' 3""",215,08/18/1998,,,,Pre-Arb,-,-,Bledsoe Brothers
Marlins,A.J.,Puk,35,Bullpen,L/L,"6' 7""",248,04/25/1995,,,,Arb 1,"1,200,000",-,ISE Baseball
Marlins,Steven,Okert,48,Bullpen,L/L,"6' 2""",202,07/09/1991,,,,Arb 1,"1,000,000",-,"Pro Agents, Inc."
Marlins,Huascar,Brazoban,31,Bullpen,R/R,"6' 3""",155,10/15/1989,,,,Pre-Arb,-,-,-
Marlins,JT,Chargois,84,Bullpen,S/R,"6' 3""",200,12/03/1990,,,,Arb 2,"1,200,000",-,-
Marlins,George,Soriano,62,Bullpen,R/R,"6' 2""",210,03/24/1999,,,,Pre-Arb,-,-,-
Marlins,Anthony,Bender,37,Bullpen,R/R,"6' 4""",205,02/03/1995,,,,Arb 1,"800,000",-,-
Marlins,Bryan,Hoeing,78,Bullpen,R/R,"6' 6""",210,10/19/1996,,,,Pre-Arb,-,-,-
Marlins,Nick,Fortes,4,Catcher,R/R,"5' 11""",198,11/11/1996,,,,Pre-Arb,-,-,-
Marlins,Jacob,Stallings,58,Catcher,R/R,"6' 5""",225,12/22/1989,,,,-,-,Bo McKinnis,-
Marlins,Josh,Bell,9,First Base,S/R,"6' 4""",261,08/14/1992,,,,FA,"16,500,000",Scott Boras,Boras Corporation
Marlins,Luis,Arraez,3,First Base,L/R,"5' 10""",175,04/09/1997,,,,Arb 3,"12,200,000",-,MVP Sports Group
Marlins,Luis,Arraez,3,Second Base,L/R,"5' 10""",175,04/09/1997,,,,Arb 3,"12,200,000",-,MVP Sports Group
Marlins,Xavier,Edwards,63,Second Base,S/R,"5' 10""",175,08/09/1999,,,,Pre-Arb,-,-,-
Marlins,Jon,Berti,5,Second Base,R/R,"5' 10""",190,01/22/1990,,,,Arb 3,"3,625,000",-,Ballplayers Agency
Marlins,Jake,Burger,36,Third Base,R/R,"6' 2""",230,04/10/1996,,,,Pre-Arb,-,-,Bledsoe Brothers
Marlins,Jon,Berti,5,Third Base,R/R,"5' 10""",190,01/22/1990,,,,Arb 3,"3,625,000",-,Ballplayers Agency
Marlins,Garrett,Hampson,1,Third Base,R/R,"5' 11""",196,10/10/1994,,,,FA,"2,000,000",-,TWC Sports Management
Marlins,Jon,Berti,5,Shortstop,R/R,"5' 10""",190,01/22/1990,,,,Arb 3,"3,625,000",-,Ballplayers Agency
Marlins,Garrett,Hampson,1,Shortstop,R/R,"5' 11""",196,10/10/1994,,,,FA,"2,000,000",-,TWC Sports Management
Marlins,Bryan,De,La,Left Field,R/R,"6' 2""",175,12/16/1996,,,,Pre-Arb,-,-,Rep 1 Sports
Marlins,Avisaíl,García,24,Left Field,R/R,"6' 4""",250,06/12/1991,,,,-,-,-,-
Marlins,Jon,Berti,5,Left Field,R/R,"5' 10""",190,01/22/1990,,,,Arb 3,"3,625,000",-,Ballplayers Agency
Marlins,Garrett,Hampson,1,Left Field,R/R,"5' 11""",196,10/10/1994,,,,FA,"2,000,000",-,TWC Sports Management
Marlins,Jazz,Chisholm,Jr.,Center Field,L/R,"5' 11""",184,02/01/1998,,,,Arb 1,"3,400,000",-,Roc Nation Sports
Marlins,Garrett,Hampson,1,Center Field,R/R,"5' 11""",196,10/10/1994,,,,FA,"2,000,000",-,TWC Sports Management
Marlins,Dane,Myers,54,Center Field,R/R,"6' 0""",205,03/08/1996,,,,Pre-Arb,-,Derek Marques,Lakeridge Sports Management
Marlins,Jesús,Sánchez,7,Right Field,L/R,"6' 3""",222,10/07/1997,,,,-,-,-,-
Marlins,Bryan,De,La,Right Field,R/R,"6' 2""",175,12/16/1996,,,,Pre-Arb,-,-,Rep 1 Sports
Marlins,Avisaíl,García,24,Right Field,R/R,"6' 4""",250,06/12/1991,,,,-,-,-,-
Marlins,Josh,Bell,9,Designated Hitter,S/R,"6' 4""",261,08/14/1992,,,,FA,"16,500,000",Scott Boras,Boras Corporation
Marlins,Jake,Burger,36,Designated Hitter,R/R,"6' 2""",230,04/10/1996,,,,Pre-Arb,-,-,Bledsoe Brothers
