Team Name,First Name,Last Name,Player Number,Position,B/T,Ht,Wt,DOB,Career Health ,Seasonal Health,Percent of Reinjury,Status,Base Salary,Spotrac Agent,Spotrac Agency
Twins,Pablo,López,49,Rotation,L/R,"6' 4""",225,03/07/1996,,,,-,-,-,-
Twins,Joe,Ryan,41,Rotation,R/R,"6' 2""",205,06/05/1996,,,,Pre-Arb,-,-,-
Twins,Bailey,Ober,17,Rotation,R/R,"6' 9""",260,07/12/1995,,,,Pre-Arb,-,-,-
Twins,Jhoan,Duran,59,Bullpen,R/R,"6' 5""",230,01/08/1998,,,,Pre-Arb,-,-,Nova Sports Agency
Twins,Griffin,Jax,22,Bullpen,R/R,"6' 2""",195,11/22/1994,,,,Pre-Arb,-,-,PSI Sports Management
Twins,Brock,Stewart,61,Bullpen,L/R,"6' 3""",220,10/03/1991,,,,Pre-Arb,-,-,-
Twins,Caleb,Thielbar,56,Bullpen,R/L,"6' 0""",205,01/31/1987,,,,Arb 4,"3,000,000",-,ISE Baseball
Twins,Louie,Varland,37,Bullpen,L/R,"6' 1""",205,12/09/1997,,,,Pre-Arb,-,Nello Gamberdino,NPG SPORTS
Twins,Chris,Paddack,20,Bullpen,R/R,"6' 5""",217,01/08/1996,,,,-,"2,525,000",Scott Boras,Boras Corporation
Twins,Ryan,Jeffers,27,Catcher,R/R,"6' 4""",235,06/03/1997,,,,Arb 1,"2,700,000",-,Ballengee Group
Twins,Christian,Vázquez,8,Catcher,R/R,"5' 9""",205,08/21/1990,,,,-,-,-,-
Twins,Kyle,Farmer,12,First Base,R/R,"6' 0""",205,08/17/1990,,,,Arb 3,"6,200,000",-,Beverly Hills Sports Council
Twins,Jose,Miranda,64,First Base,R/R,"6' 2""",210,06/29/1998,,,,Pre-Arb,-,-,-
Twins,Alex,Kirilloff,19,First Base,L/L,"6' 2""",195,11/09/1997,,,,Arb 1,"1,500,000",-,Boras Corporation
Twins,Edouard,Julien,47,Second Base,L/R,"6' 0""",195,04/30/1999,,,,Pre-Arb,-,-,-
Twins,Jorge,Polanco,11,Second Base,S/R,"5' 11""",208,07/05/1993,,,,Club,"10,500,000",Ulises Cabrera,Octagon
Twins,Kyle,Farmer,12,Second Base,R/R,"6' 0""",205,08/17/1990,,,,Arb 3,"6,200,000",-,Beverly Hills Sports Council
Twins,Willi,Castro,50,Second Base,S/R,"6' 1""",206,04/24/1997,,,,Arb 2,"3,800,000",-,ISE Baseball
Twins,Nick,Gordon,1,Second Base,L/R,"6' 0""",160,10/24/1995,,,,Arb 1,"1,000,000",-,Rep 1 Sports
Twins,Jorge,Polanco,11,Third Base,S/R,"5' 11""",208,07/05/1993,,,,Club,"10,500,000",Ulises Cabrera,Octagon
Twins,Royce,Lewis,23,Third Base,R/R,"6' 2""",200,06/05/1999,,,,Pre-Arb,-,-,Boras Corporation
Twins,Willi,Castro,50,Third Base,S/R,"6' 1""",206,04/24/1997,,,,Arb 2,"3,800,000",-,ISE Baseball
Twins,Kyle,Farmer,12,Third Base,R/R,"6' 0""",205,08/17/1990,,,,Arb 3,"6,200,000",-,Beverly Hills Sports Council
Twins,Carlos,Correa,4,Shortstop,R/R,"6' 4""",220,09/22/1994,,,,-,"32,000,000",-,Boras Corporation
Twins,Kyle,Farmer,12,Shortstop,R/R,"6' 0""",205,08/17/1990,,,,Arb 3,"6,200,000",-,Beverly Hills Sports Council
Twins,Willi,Castro,50,Shortstop,S/R,"6' 1""",206,04/24/1997,,,,Arb 2,"3,800,000",-,ISE Baseball
Twins,Matt,Wallner,38,Left Field,L/R,"6' 4""",220,12/12/1997,,,,Pre-Arb,-,-,-
Twins,Willi,Castro,50,Left Field,S/R,"6' 1""",206,04/24/1997,,,,Arb 2,"3,800,000",-,ISE Baseball
Twins,Max,Kepler,26,Right Field,L/L,"6' 4""",225,02/10/1993,,,,Club,"10,000,000",-,Apex Baseball
Twins,Willi,Castro,50,Right Field,S/R,"6' 1""",206,04/24/1997,,,,Arb 2,"3,800,000",-,ISE Baseball
Twins,Royce,Lewis,23,Designated Hitter,R/R,"6' 2""",200,06/05/1999,,,,Pre-Arb,-,-,Boras Corporation
Twins,Byron,Buxton,25,Designated Hitter,R/R,"6' 2""",190,12/18/1993,,,,-,"15,000,000",-,Jet Sports Management
Twins,Jorge,Polanco,11,Designated Hitter,S/R,"5' 11""",208,07/05/1993,,,,Club,"10,500,000",Ulises Cabrera,Octagon
Twins,Edouard,Julien,47,Designated Hitter,L/R,"6' 0""",195,04/30/1999,,,,Pre-Arb,-,-,-
