Team Name,First Name,Last Name,Player Number,Position,B/T,Ht,Wt,DOB,Career Health ,Seasonal Health,Percent of Reinjury,Status,Base Salary,Spotrac Agent,Spotrac Agency
Mets,Kodai,Senga,34,Rotation,L/R,"6' 1""",202,01/30/1993,,,,-,"14,000,000",-,Wasserman
Mets,José,Quintana,62,Rotation,R/L,"6' 1""",220,01/24/1989,,,,-,-,-,-
Mets,David,Peterson,23,Rotation,L/L,"6' 6""",240,09/03/1995,,,,Arb 1,"2,000,000",-,CAA Sport
Mets,Tylor,Megill,38,Rotation,R/R,"6' 7""",230,07/28/1995,,,,Pre-Arb,-,-,-
Mets,José,Butto,70,Rotation,R/R,"6' 1""",202,03/19/1998,,,,-,-,-,-
Mets,Edwin,Díaz,39,Bullpen,R/R,"6' 3""",165,03/22/1994,,,,-,-,-,-
Mets,Drew,Smith,40,Bullpen,R/R,"6' 2""",190,09/24/1993,,,,Arb 3,"3,200,000",-,MVP Sports Group
Mets,Brooks,Raley,25,Bullpen,L/L,"6' 3""",200,06/29/1988,,,,Arb 2,"6,500,000",-,Vanguard Sports Group
Mets,Trevor,Gott,33,Bullpen,R/R,"5' 11""",185,08/26/1992,,,,FA,"1,500,000",-,Sports One Athlete Management
Mets,Phil,Bickford,50,Bullpen,R/R,"6' 4""",200,07/10/1995,,,,Arb 1,"746,999",-,GSE Worldwide
Mets,Jeff,Brigham,43,Bullpen,R/R,"6' 0""",195,02/16/1992,,,,-,-,-,CAA Sports
Mets,Josh,Walker,91,Bullpen,L/L,"6' 6""",225,12/01/1994,,,,Pre-Arb,-,-,-
Mets,Sean,Reid-Foley,71,Bullpen,R/R,"6' 3""",230,08/30/1995,,,,Pre-Arb,-,-,Jet Sports Management
Mets,Grant,Hartwig,93,Bullpen,R/R,"6' 5""",235,12/18/1997,,,,Pre-Arb,-,-,-
Mets,Sam,Coonrod,45,Bullpen,R/R,"6' 1""",225,09/22/1992,,,,-,-,-,Wasserman
Mets,Reed,Garrett,75,Bullpen,R/R,"6' 2""",195,01/02/1993,,,,Pre-Arb,-,-,-
Mets,Francisco,Alvarez,4,Catcher,R/R,"5' 10""",233,11/19/2001,,,,Pre-Arb,-,-,Rimas Sports Agency
Mets,Omar,Narváez,2,Catcher,L/R,"5' 11""",220,02/10/1992,,,,-,-,-,-
Mets,Pete,Alonso,20,First Base,R/R,"6' 3""",245,12/07/1994,,,,Arb 3,"21,100,000",Scott Boras,Boras Corporation
Mets,Mark,Vientos,27,First Base,R/R,"6' 4""",185,12/11/1999,,,,Pre-Arb,-,-,-
Mets,Ronny,Mauricio,10,Second Base,S/R,"6' 3""",166,04/04/2001,,,,Pre-Arb,-,-,-
Mets,Jeff,McNeil,1,Second Base,L/R,"6' 1""",195,04/08/1992,,,,Arb 3,"10,250,000",-,Paragon Sports International
Mets,Luis,Guillorme,13,Second Base,L/R,"5' 10""",190,09/27/1994,,,,-,-,-,MVP Sports Group
Mets,Brett,Baty,22,Third Base,L/R,"6' 3""",210,11/13/1999,,,,Pre-Arb,-,-,-
Mets,Mark,Vientos,27,Third Base,R/R,"6' 4""",185,12/11/1999,,,,Pre-Arb,-,-,-
Mets,Luis,Guillorme,13,Third Base,L/R,"5' 10""",190,09/27/1994,,,,-,-,-,MVP Sports Group
Mets,Francisco,Lindor,12,Shortstop,S/R,"5' 11""",190,11/14/1993,,,,-,"32,000,000",-,"Sportsmeter, LLC"
Mets,Ronny,Mauricio,10,Shortstop,S/R,"6' 3""",166,04/04/2001,,,,Pre-Arb,-,-,-
Mets,Luis,Guillorme,13,Shortstop,L/R,"5' 10""",190,09/27/1994,,,,-,-,-,MVP Sports Group
Mets,Jeff,McNeil,1,Left Field,L/R,"6' 1""",195,04/08/1992,,,,Arb 3,"10,250,000",-,Paragon Sports International
Mets,DJ,Stewart,29,Left Field,L/R,"6' 0""",210,11/30/1993,,,,Arb 1,"1,380,000",-,Boras Corporation
Mets,Brandon,Nimmo,9,Center Field,L/R,"6' 3""",206,03/27/1993,,,,FA,"20,250,000",-,CAA Sports
Mets,Starling,Marte,6,Right Field,R/R,"6' 1""",195,10/09/1988,,,,FA,"19,500,000",-,Rep 1 Sports
Mets,DJ,Stewart,29,Right Field,L/R,"6' 0""",210,11/30/1993,,,,Arb 1,"1,380,000",-,Boras Corporation
Mets,Mark,Vientos,27,Designated Hitter,R/R,"6' 4""",185,12/11/1999,,,,Pre-Arb,-,-,-
Mets,Daniel,Vogelbach,32,Designated Hitter,L/R,"6' 0""",270,12/17/1992,,,,-,-,-,-
