Team Name,First Name,Last Name,Player Number,Position,B/T,Ht,Wt,DOB,Career Health ,Seasonal Health,Percent of Reinjury,Status,Base Salary,Spotrac Agent,Spotrac Agency
Athletics,Paul,Blackburn,58,Rotation,R/R,"6' 1""",196,12/04/1993,,,,Arb 2,"3,500,000",-,Apex Baseball
Athletics,JP,Sears,38,Rotation,R/L,"5' 11""",180,02/19/1996,,,,Pre-Arb,-,-,-
Athletics,Mason,Miller,57,Rotation,R/R,"6' 5""",200,08/24/1998,,,,Pre-Arb,-,-,-
Athletics,Luis,Medina,46,Rotation,R/R,"6' 1""",175,05/03/1999,,,,Pre-Arb,-,-,-
Athletics,Ken,Waldichuk,64,Rotation,L/L,"6' 4""",220,01/08/1998,,,,Pre-Arb,-,-,Apex Baseball
Athletics,Joe,Boyle,35,Rotation,R/R,"6' 7""",240,08/14/1999,,,,Pre-Arb,-,-,-
Athletics,Drew,Rucinski,47,Rotation,R/R,"6' 2""",190,12/30/1988,,,,Pre-Arb,"3,000,000",-,Paragon Sports International
Athletics,Kyle,Muller,39,Rotation,R/L,"6' 7""",250,10/07/1997,,,,Pre-Arb,-,-,ISE Baseball
Athletics,Zach,Jackson,61,Bullpen,R/R,"6' 4""",230,12/25/1994,,,,Pre-Arb,-,-,-
Athletics,Lucas,Erceg,70,Bullpen,L/R,"6' 2""",214,05/01/1995,,,,Pre-Arb,-,-,-
Athletics,Francisco,Pérez,60,Bullpen,S/L,"6' 2""",227,07/20/1997,,,,-,-,-,-
Athletics,Adrián,Martínez,55,Bullpen,R/R,"6' 2""",215,12/10/1996,,,,-,-,-,-
Athletics,Angel,Felipe,53,Bullpen,R/R,"6' 5""",190,08/30/1997,,,,Pre-Arb,-,-,-
Athletics,Dany,Jiménez,56,Bullpen,R/R,"6' 1""",182,12/23/1993,,,,-,-,-,-
Athletics,Joe,Boyle,35,Bullpen,R/R,"6' 7""",240,08/14/1999,,,,Pre-Arb,-,-,-
Athletics,Joey,Estes,68,Bullpen,R/R,"6' 2""",190,10/08/2001,,,,Pre-Arb,-,-,-
Athletics,Sean,Newcomb,16,Bullpen,L/L,"6' 5""",255,06/12/1993,,,,Arb 2,"1,000,000",-,The Legacy Agency
Athletics,Shea,Langeliers,23,Catcher,R/R,"6' 0""",205,11/18/1997,,,,Pre-Arb,-,-,Boras Corporation
Athletics,Tyler,Soderstrom,37,Catcher,L/R,"6' 1""",200,11/24/2001,,,,Pre-Arb,-,-,-
Athletics,Ryan,Noda,49,First Base,L/L,"6' 3""",217,03/30/1996,,,,Pre-Arb,-,-,-
Athletics,Seth,Brown,15,First Base,L/L,"6' 1""",223,07/13/1992,,,,Arb 1,"2,800,000",-,Ballplayers Agency
Athletics,Lawrence,Butler,22,First Base,L/R,"6' 3""",210,07/10/2000,,,,Pre-Arb,-,-,-
Athletics,Tyler,Soderstrom,37,First Base,L/R,"6' 1""",200,11/24/2001,,,,Pre-Arb,-,-,-
Athletics,Zack,Gelof,20,Second Base,R/R,"6' 2""",205,10/19/1999,,,,Pre-Arb,-,-,-
Athletics,Jordan,Diaz,13,Second Base,R/R,"5' 10""",175,08/13/2000,,,,Pre-Arb,-,-,-
Athletics,Jordan,Diaz,13,Third Base,R/R,"5' 10""",175,08/13/2000,,,,Pre-Arb,-,-,-
Athletics,Aledmys,Díaz,12,Shortstop,R/R,"6' 1""",195,08/01/1990,,,,-,-,-,-
Athletics,Nick,Allen,2,Shortstop,R/R,"5' 8""",166,10/08/1998,,,,Pre-Arb,-,-,-
Athletics,Seth,Brown,15,Left Field,L/L,"6' 1""",223,07/13/1992,,,,Arb 1,"2,800,000",-,Ballplayers Agency
Athletics,Brent,Rooker,25,Left Field,R/R,"6' 4""",225,11/01/1994,,,,Pre-Arb,-,-,Bledsoe Brothers
Athletics,Tony,Kemp,5,Left Field,L/R,"5' 6""",160,10/31/1991,,,,Arb 3,"3,725,000",-,Ballengee Group
Athletics,Aledmys,Díaz,12,Left Field,R/R,"6' 1""",195,08/01/1990,,,,-,-,-,-
Athletics,Esteury,Ruiz,1,Left Field,R/R,"6' 0""",169,02/15/1999,,,,Pre-Arb,-,-,-
Athletics,Esteury,Ruiz,1,Center Field,R/R,"6' 0""",169,02/15/1999,,,,Pre-Arb,-,-,-
Athletics,JJ,Bleday,33,Center Field,L/L,"6' 2""",205,11/10/1997,,,,Pre-Arb,-,-,-
Athletics,Brent,Rooker,25,Right Field,R/R,"6' 4""",225,11/01/1994,,,,Pre-Arb,-,-,Bledsoe Brothers
Athletics,Seth,Brown,15,Right Field,L/L,"6' 1""",223,07/13/1992,,,,Arb 1,"2,800,000",-,Ballplayers Agency
Athletics,Lawrence,Butler,22,Right Field,L/R,"6' 3""",210,07/10/2000,,,,Pre-Arb,-,-,-
Athletics,Shea,Langeliers,23,Designated Hitter,R/R,"6' 0""",205,11/18/1997,,,,Pre-Arb,-,-,Boras Corporation
Athletics,Tyler,Soderstrom,37,Designated Hitter,L/R,"6' 1""",200,11/24/2001,,,,Pre-Arb,-,-,-
