Team Name,First Name,Last Name,Player Number,Position,B/T,Ht,Wt,DOB,Career Health ,Seasonal Health,Percent of Reinjury,Status,Base Salary,Spotrac Agent,Spotrac Agency
Phillies,Zack,Wheeler,45,Rotation,L/R,"6' 4""",195,05/30/1990,,,,FA,"23,500,000",Al Goetz,Jet Sports Management
Phillies,Taijuan,Walker,99,Rotation,R/R,"6' 4""",235,08/13/1992,,,,FA,"18,000,000",-,WME Sports
Phillies,Ranger,Suárez,55,Rotation,L/L,"6' 1""",217,08/26/1995,,,,-,-,-,-
Phillies,Cristopher,Sánchez,61,Rotation,L/L,"6' 1""",165,12/12/1996,,,,-,-,-,-
Phillies,José,Alvarado,46,Bullpen,L/L,"6' 2""",245,05/21/1995,,,,-,-,-,-
Phillies,Jeff,Hoffman,68,Bullpen,R/R,"6' 5""",235,01/08/1993,,,,Arb 3,"3,000,000",-,CAA Sports
Phillies,Matt,Strahm,25,Bullpen,R/L,"6' 2""",190,11/12/1991,,,,FA,"7,500,000",-,ACES
Phillies,Seranthony,Domínguez,58,Bullpen,R/R,"6' 1""",225,11/25/1994,,,,-,-,-,-
Phillies,Gregory,Soto,30,Bullpen,L/L,"6' 1""",234,02/11/1995,,,,Arb 2,"4,000,000",-,Epitome Sports Management
Phillies,Orion,Kerkering,50,Bullpen,R/R,"6' 2""",204,04/04/2001,,,,Pre-Arb,-,-,-
Phillies,Dylan,Covey,54,Bullpen,R/R,"6' 1""",215,08/14/1991,,,,Arb 1,"850,000",-,-
Phillies,Yunior,Marte,43,Bullpen,R/R,"6' 2""",180,02/02/1995,,,,Pre-Arb,-,-,-
Phillies,Andrew,Bellatti,64,Bullpen,R/R,"6' 1""",190,08/05/1991,,,,Pre-Arb,-,-,-
Phillies,J.T.,Realmuto,10,Catcher,R/R,"6' 1""",212,03/18/1991,,,,FA,"23,875,000",-,CAA Sports
Phillies,Garrett,Stubbs,21,Catcher,L/R,"5' 10""",170,05/26/1993,,,,Arb 1,"850,000",-,Boras Corporation
Phillies,Bryce,Harper,3,First Base,L/R,"6' 3""",210,10/16/1992,,,,FA,"26,000,000",Scott Boras,Boras Corporation
Phillies,Alec,Bohm,28,First Base,R/R,"6' 5""",218,08/03/1996,,,,Arb 1,"4,600,000",Scott Boras,Boras Corporation
Phillies,Jake,Cave,44,First Base,L/L,"6' 0""",200,12/04/1992,,,,Arb 3,"1,000,000",-,Ballengee Group
Phillies,Bryson,Stott,5,Second Base,L/R,"6' 3""",200,10/06/1997,,,,Pre-Arb,-,-,-
Phillies,Edmundo,Sosa,33,Second Base,R/R,"6' 0""",210,03/06/1996,,,,Arb 2,"1,300,000",-,Octagon
Phillies,Alec,Bohm,28,Third Base,R/R,"6' 5""",218,08/03/1996,,,,Arb 1,"4,600,000",Scott Boras,Boras Corporation
Phillies,Edmundo,Sosa,33,Third Base,R/R,"6' 0""",210,03/06/1996,,,,Arb 2,"1,300,000",-,Octagon
Phillies,Trea,Turner,7,Shortstop,R/R,"6' 2""",185,06/30/1993,,,,FA,"27,272,727",-,CAA Sports
Phillies,Edmundo,Sosa,33,Shortstop,R/R,"6' 0""",210,03/06/1996,,,,Arb 2,"1,300,000",-,Octagon
Phillies,Brandon,Marsh,16,Left Field,L/R,"6' 4""",215,12/18/1997,,,,Pre-Arb,-,-,ACES
Phillies,Cristian,Pache,19,Left Field,R/R,"6' 2""",215,11/19/1998,,,,Pre-Arb,-,-,MVP Sports Group
Phillies,Kyle,Schwarber,12,Left Field,L/R,"6' 0""",229,03/05/1993,,,,FA,"20,000,000",-,Excel Sports Management
Phillies,Johan,Rojas,18,Center Field,R/R,"5' 11""",165,08/14/2000,,,,Pre-Arb,-,-,-
Phillies,Brandon,Marsh,16,Center Field,L/R,"6' 4""",215,12/18/1997,,,,Pre-Arb,-,-,ACES
Phillies,Cristian,Pache,19,Center Field,R/R,"6' 2""",215,11/19/1998,,,,Pre-Arb,-,-,MVP Sports Group
Phillies,Nick,Castellanos,8,Right Field,R/R,"6' 4""",203,03/04/1992,,,,FA,"20,000,000",-,Boras Corporation
Phillies,Cristian,Pache,19,Right Field,R/R,"6' 2""",215,11/19/1998,,,,Pre-Arb,-,-,MVP Sports Group
Phillies,Kyle,Schwarber,12,Designated Hitter,L/R,"6' 0""",229,03/05/1993,,,,FA,"20,000,000",-,Excel Sports Management
