Team Name,First Name,Last Name,Player Number,Position,B/T,Ht,Wt,DOB,Career Health ,Seasonal Health,Percent of Reinjury,Status,Base Salary,Spotrac Agent,Spotrac Agency
Pirates,JT,Brubaker,34,Rotation,R/R,"6' 3""",180,11/17/1993,,,,Arb 2,"2,200,000",-,-
Pirates,Mitch,Keller,23,Rotation,R/R,"6' 3""",220,04/04/1996,,,,Arb 2,"6,800,000",-,Excel Sports Management
Pirates,Bailey,Falter,44,Rotation,R/L,"6' 4""",175,04/24/1997,,,,Pre-Arb,-,-,-
Pirates,Johan,Oviedo,24,Rotation,R/R,"6' 5""",245,03/02/1998,,,,Pre-Arb,-,-,-
Pirates,Quinn,Priester,64,Rotation,R/R,"6' 3""",210,09/15/2000,,,,Pre-Arb,-,-,-
Pirates,Osvaldo,Bido,70,Rotation,R/R,"6' 3""",175,10/18/1995,,,,Pre-Arb,"750,000",-,-
Pirates,David,Bednar,51,Bullpen,L/R,"6' 0""",225,10/10/1994,,,,Arb 1,"1,200,000",-,WME Sports
Pirates,Colin,Holderman,35,Bullpen,R/R,"6' 4""",230,10/08/1995,,,,Pre-Arb,-,-,ACES
Pirates,Jose,Hernandez,61,Bullpen,L/L,"6' 3""",205,12/31/1997,,,,Pre-Arb,-,-,-
Pirates,Andre,Jackson,41,Bullpen,R/R,"6' 3""",210,05/01/1996,,,,Pre-Arb,-,-,ACES
Pirates,Colin,Selby,52,Bullpen,R/R,"6' 2""",220,10/24/1997,,,,Pre-Arb,-,-,-
Pirates,Kyle,Nicolas,62,Bullpen,R/R,"6' 4""",223,02/22/1999,,,,Pre-Arb,-,-,-
Pirates,Carmen,Mlodzinski,50,Bullpen,R/R,"6' 2""",220,02/19/1999,,,,Pre-Arb,-,-,-
Pirates,Hunter,Stratton,63,Bullpen,R/R,"6' 4""",225,11/17/1996,,,,Pre-Arb,-,-,-
Pirates,Ryan,Borucki,43,Bullpen,L/L,"6' 4""",210,03/31/1994,,,,Arb 3,"1,600,000",-,-
Pirates,Jason,Delay,55,Catcher,R/R,"5' 11""",190,03/07/1995,,,,Pre-Arb,-,-,-
Pirates,Endy,Rodríguez,25,Catcher,S/R,"6' 0""",200,05/26/2000,,,,-,-,-,-
Pirates,Henry,Davis,32,Catcher,R/R,"6' 0""",210,09/21/1999,,,,Pre-Arb,-,-,-
Pirates,Connor,Joe,2,First Base,R/R,"6' 0""",205,08/16/1992,,,,Arb 1,"1,200,000",-,John Boggs & Associates
Pirates,Endy,Rodríguez,25,First Base,S/R,"6' 0""",200,05/26/2000,,,,-,-,-,-
Pirates,Ji,Hwan,Bae,Second Base,L/R,"5' 11""",185,07/26/1999,,,,Pre-Arb,-,-,-
Pirates,Liover,Peguero,60,Second Base,R/R,"6' 0""",220,12/31/2000,,,,Pre-Arb,-,-,-
Pirates,Nick,Gonzales,39,Second Base,R/R,"5' 9""",190,05/27/1999,,,,Pre-Arb,-,-,-
Pirates,Ke'Bryan,Hayes,13,Third Base,R/R,"5' 11""",195,01/28/1997,,,,-,"7,000,000",-,Ballengee Group
Pirates,Jared,Triolo,19,Third Base,R/R,"6' 3""",210,02/08/1998,,,,Pre-Arb,-,-,-
Pirates,Oneil,Cruz,15,Shortstop,L/R,"6' 7""",215,10/04/1998,,,,Pre-Arb,-,-,Vayner Sports
Pirates,Liover,Peguero,60,Shortstop,R/R,"6' 0""",220,12/31/2000,,,,Pre-Arb,-,-,-
Pirates,Nick,Gonzales,39,Shortstop,R/R,"5' 9""",190,05/27/1999,,,,Pre-Arb,-,-,-
Pirates,Connor,Joe,2,Left Field,R/R,"6' 0""",205,08/16/1992,,,,Arb 1,"1,200,000",-,John Boggs & Associates
Pirates,Jack,Suwinski,65,Left Field,L/L,"6' 2""",215,07/29/1998,,,,Pre-Arb,-,-,-
Pirates,Joshua,Palacios,54,Left Field,L/R,"6' 1""",200,07/30/1995,,,,Pre-Arb,-,-,Ballengee Group
Pirates,Bryan,Reynolds,10,Center Field,S/R,"6' 2""",205,01/27/1995,,,,-,"10,000,000",-,CAA Sports
Pirates,Jack,Suwinski,65,Center Field,L/L,"6' 2""",215,07/29/1998,,,,Pre-Arb,-,-,-
Pirates,Ji,Hwan,Bae,Center Field,L/R,"5' 11""",185,07/26/1999,,,,Pre-Arb,-,-,-
Pirates,Henry,Davis,32,Right Field,R/R,"6' 0""",210,09/21/1999,,,,Pre-Arb,-,-,-
Pirates,Jack,Suwinski,65,Right Field,L/L,"6' 2""",215,07/29/1998,,,,Pre-Arb,-,-,-
Pirates,Connor,Joe,2,Right Field,R/R,"6' 0""",205,08/16/1992,,,,Arb 1,"1,200,000",-,John Boggs & Associates
Pirates,Joshua,Palacios,54,Right Field,L/R,"6' 1""",200,07/30/1995,,,,Pre-Arb,-,-,Ballengee Group
