Team Name,First Name,Last Name,Player Number,Position,B/T,Ht,Wt,DOB,Career Health ,Seasonal Health,Percent of Reinjury,Status,Base Salary,Spotrac Agent,Spotrac Agency
Mariners,Luis,Castillo,58,Rotation,R/R,"6' 2""",200,12/12/1992,,,,-,"22,750,000",Rafa Nieves,Republik Sports
Mariners,George,Kirby,68,Rotation,R/R,"6' 4""",215,02/04/1998,,,,Pre-Arb,-,-,-
Mariners,Logan,Gilbert,36,Rotation,R/R,"6' 6""",215,05/05/1997,,,,Arb 1,"5,000,000",-,-
Mariners,Bryce,Miller,50,Rotation,R/R,"6' 2""",200,08/23/1998,,,,Pre-Arb,-,-,-
Mariners,Bryan,Woo,33,Rotation,R/R,"6' 2""",205,01/30/2000,,,,Pre-Arb,-,-,-
Mariners,Emerson,Hancock,62,Rotation,R/R,"6' 4""",213,05/31/1999,,,,Pre-Arb,-,-,-
Mariners,Marco,Gonzales,7,Rotation,L/L,"6' 1""",205,02/16/1992,,,,-,"12,000,000",-,CAA Sports
Mariners,Robbie,Ray,38,Rotation,L/L,"6' 2""",225,10/01/1991,,,,-,"23,000,000",-,VC Sports Group
Mariners,Andrés,Muñoz,75,Bullpen,R/R,"6' 2""",222,01/16/1999,,,,-,-,-,-
Mariners,Matt,Brash,47,Bullpen,R/R,"6' 1""",173,05/12/1998,,,,Pre-Arb,-,-,-
Mariners,Justin,Topa,48,Bullpen,R/R,"6' 4""",200,03/07/1991,,,,Arb 1,"1,100,000",-,-
Mariners,Tayler,Saucedo,60,Bullpen,L/L,"6' 4""",205,06/18/1993,,,,Pre-Arb,-,-,-
Mariners,Gabe,Speier,55,Bullpen,L/L,"5' 11""",200,04/12/1995,,,,Pre-Arb,-,-,Sosnick Cobbe Sports
Mariners,Isaiah,Campbell,49,Bullpen,R/R,"6' 4""",230,08/15/1997,,,,Pre-Arb,-,-,-
Mariners,Trent,Thornton,46,Bullpen,R/R,"6' 0""",190,09/30/1993,,,,Arb 3,"1,000,000",-,Wasserman
Mariners,Prelander,Berroa,52,Bullpen,R/R,"5' 11""",170,04/18/2000,,,,Pre-Arb,-,-,-
Mariners,Cal,Raleigh,29,Catcher,S/R,"6' 3""",235,11/26/1996,,,,Pre-Arb,-,-,-
Mariners,Ty,France,23,First Base,R/R,"5' 11""",215,07/13/1994,,,,Arb 2,"7,900,000",-,Reynolds Sports Management
Mariners,Mike,Ford,20,First Base,L/R,"6' 0""",225,07/04/1992,,,,Pre-Arb,-,-,ZS Sports
Mariners,Dylan,Moore,25,First Base,R/R,"6' 0""",205,08/02/1992,,,,Arb 3,"3,050,000",-,Rep 1 Sports
Mariners,Josh,Rojas,4,Second Base,L/R,"6' 1""",207,06/30/1994,,,,Arb 2,"3,500,000",-,MVP Sports Group
Mariners,José,Caballero,76,Second Base,R/R,"5' 9""",185,08/30/1996,,,,-,-,-,-
Mariners,Dylan,Moore,25,Second Base,R/R,"6' 0""",205,08/02/1992,,,,Arb 3,"3,050,000",-,Rep 1 Sports
Mariners,Sam,Haggerty,0,Second Base,S/R,"5' 11""",175,05/26/1994,,,,Arb 1,"900,000",-,Beverly Hills Sports Council
Mariners,Eugenio,Suárez,28,Third Base,R/R,"5' 11""",213,07/18/1991,,,,-,-,-,-
Mariners,Josh,Rojas,4,Third Base,L/R,"6' 1""",207,06/30/1994,,,,Arb 2,"3,500,000",-,MVP Sports Group
Mariners,J.P.,Crawford,3,Shortstop,L/R,"6' 2""",202,01/11/1995,,,,Arb 4,"10,000,000",-,Wasserman
Mariners,José,Caballero,76,Shortstop,R/R,"5' 9""",185,08/30/1996,,,,-,-,-,-
Mariners,Dylan,Moore,25,Shortstop,R/R,"6' 0""",205,08/02/1992,,,,Arb 3,"3,050,000",-,Rep 1 Sports
Mariners,Jarred,Kelenic,10,Left Field,L/L,"6' 1""",206,07/16/1999,,,,Pre-Arb,-,Nick Chanock,Wasserman
Mariners,Dominic,Canzone,8,Left Field,L/R,"5' 11""",190,08/16/1997,,,,Pre-Arb,-,-,-
Mariners,Sam,Haggerty,0,Left Field,S/R,"5' 11""",175,05/26/1994,,,,Arb 1,"900,000",-,Beverly Hills Sports Council
Mariners,Julio,Rodríguez,44,Center Field,R/R,"6' 3""",228,12/29/2000,,,,-,-,-,-
Mariners,Dominic,Canzone,8,Right Field,L/R,"5' 11""",190,08/16/1997,,,,Pre-Arb,-,-,-
Mariners,Jarred,Kelenic,10,Right Field,L/L,"6' 1""",206,07/16/1999,,,,Pre-Arb,-,Nick Chanock,Wasserman
Mariners,Sam,Haggerty,0,Right Field,S/R,"5' 11""",175,05/26/1994,,,,Arb 1,"900,000",-,Beverly Hills Sports Council
Mariners,Mike,Ford,20,Designated Hitter,L/R,"6' 0""",225,07/04/1992,,,,Pre-Arb,-,-,ZS Sports
Mariners,Cal,Raleigh,29,Designated Hitter,S/R,"6' 3""",235,11/26/1996,,,,Pre-Arb,-,-,-
