Team Name,First Name,Last Name,Player Number,Position,B/T,Ht,Wt,DOB,Career Health ,Seasonal Health,Percent of Reinjury,Status,Base Salary,Spotrac Agent,Spotrac Agency
Cardinals,Miles,Mikolas,39,Rotation,R/R,"6' 4""",230,08/23/1988,,,,Pre-Arb,-,-,-
Cardinals,Drew,Rom,38,Rotation,L/L,"6' 2""",215,12/15/1999,,,,Pre-Arb,-,-,-
Cardinals,Zack,Thompson,57,Rotation,L/L,"6' 2""",215,10/28/1997,,,,Pre-Arb,-,-,-
Cardinals,Dakota,Hudson,43,Rotation,R/R,"6' 5""",215,09/15/1994,,,,Pre-Arb,-,-,-
Cardinals,Ryan,Helsley,56,Bullpen,R/R,"6' 2""",230,07/18/1994,,,,Arb 2,"3,000,000",-,Wasserman
Cardinals,Giovanny,Gallegos,65,Bullpen,R/R,"6' 2""",215,08/14/1991,,,,Arb 2,"5,500,000",-,"Prestige Sports, LLC"
Cardinals,Wilking,Rodríguez,58,Bullpen,R/R,"6' 1""",180,03/02/1990,,,,-,-,-,-
Cardinals,Andre,Pallante,53,Bullpen,R/R,"6' 0""",203,09/18/1998,,,,Pre-Arb,-,-,-
Cardinals,Steven,Matz,32,Bullpen,R/L,"6' 2""",201,05/29/1991,,,,-,"12,000,000",-,Icon Sports Management
Cardinals,Packy,Naughton,70,Bullpen,R/L,"6' 2""",195,04/16/1996,,,,-,-,-,-
Cardinals,John,King,47,Bullpen,L/L,"6' 2""",215,09/14/1994,,,,Arb 1,"1,363,089",-,-
Cardinals,JoJo,Romero,59,Bullpen,L/L,"5' 11""",200,09/09/1996,,,,Arb 1,"1,000,000",-,PSI Sports Management
Cardinals,Matthew,Liberatore,52,Bullpen,L/L,"6' 4""",200,11/06/1999,,,,Pre-Arb,-,-,-
Cardinals,James,Naile,68,Bullpen,R/R,"6' 4""",185,02/08/1993,,,,Pre-Arb,-,-,-
Cardinals,Willson,Contreras,40,Catcher,R/R,"6' 1""",225,05/13/1992,,,,-,"18,000,000",-,Octagon
Cardinals,Andrew,Knizner,7,Catcher,R/R,"6' 1""",225,02/03/1995,,,,-,-,-,CAA Sports
Cardinals,Iván,Herrera,48,Catcher,R/R,"5' 11""",220,06/01/2000,,,,-,-,-,-
Cardinals,Paul,Goldschmidt,46,First Base,R/R,"6' 3""",220,09/10/1987,,,,-,"22,000,000",-,Excel Sports Management
Cardinals,Luken,Baker,26,First Base,R/R,"6' 4""",280,03/10/1997,,,,Pre-Arb,-,-,-
Cardinals,Brendan,Donovan,33,First Base,L/R,"6' 1""",195,01/16/1997,,,,Pre-Arb,-,-,-
Cardinals,Juan,Yepez,13,First Base,R/R,"6' 1""",200,02/19/1998,,,,Pre-Arb,-,-,-
Cardinals,Brendan,Donovan,33,Second Base,L/R,"6' 1""",195,01/16/1997,,,,Pre-Arb,-,-,-
Cardinals,Nolan,Gorman,16,Second Base,L/R,"6' 1""",210,05/10/2000,,,,Pre-Arb,-,-,-
Cardinals,Tommy,Edman,19,Second Base,S/R,"5' 10""",180,05/09/1995,,,,Arb 2,"8,100,000",Jonathan Weiss,-
Cardinals,Nolan,Arenado,28,Third Base,R/R,"6' 2""",215,04/16/1991,,,,-,"35,000,000",-,Wasserman
Cardinals,Brendan,Donovan,33,Third Base,L/R,"6' 1""",195,01/16/1997,,,,Pre-Arb,-,-,-
