Team Name,First Name,Last Name,Player Number,Position,B/T,Ht,Wt,DOB,Career Health ,Seasonal Health,Percent of Reinjury,Status,Base Salary,Spotrac Agent,Spotrac Agency
Rays,Tyler,Glasnow,20,Rotation,L/R,"6' 8""",225,08/23/1993,,,,-,"15,000,000",-,Wasserman
Rays,Zach,Eflin,24,Rotation,R/R,"6' 6""",220,04/08/1994,,,,-,"11,000,000",Tom O'Connell,O'Connell Sports Management
Rays,Aaron,Civale,34,Rotation,R/R,"6' 2""",215,06/12/1995,,,,Arb 2,"4,700,000",Jack Toffey,-
Rays,Shane,Baz,11,Rotation,R/R,"6' 2""",190,06/17/1999,,,,Pre Arb,-,-,Excel Sports Management
Rays,Zack,Littell,52,Rotation,R/R,"6' 4""",220,10/05/1995,,,,Arb 2,"1,800,000",-,CAA Sports
Rays,Taj,Bradley,45,Rotation,R/R,"6' 2""",190,03/20/2001,,,,Pre Arb,-,-,-
Rays,Pete,Fairbanks,29,Bullpen,R/R,"6' 6""",225,12/16/1993,,,,Arb 1,"3,666,667",-,Republik Sports
Rays,Jason,Adam,47,Bullpen,R/R,"6' 3""",229,08/04/1991,,,,Arb 2,"2,600,000",-,"The L. Warner Companies, Inc"
Rays,Colin,Poche,38,Bullpen,L/L,"6' 3""",225,01/17/1994,,,,Arb 2,"2,200,000",-,SSG Baseball
Rays,Shawn,Armstrong,64,Bullpen,R/R,"6' 2""",225,09/11/1990,,,,Arb 3,"2,300,000",-,ISE Baseball
Rays,Andrew,Kittredge,36,Bullpen,R/R,"6' 1""",230,03/17/1990,,,,Arb 3,"2,000,000",-,Paragon Sports International
Rays,Garrett,Cleavinger,60,Bullpen,R/L,"6' 1""",220,04/23/1994,,,,Pre Arb,-,-,Beverly Hills Sports Council
Rays,Kevin,Kelly,49,Bullpen,R/R,"6' 2""",200,11/28/1997,,,,Pre Arb,-,-,-
Rays,Jacob,Lopez,74,Bullpen,L/L,"6' 4""",220,03/11/1998,,,,Pre Arb,-,-,-
Rays,René,Pinto,50,Catcher,R/R,"5' 10""",195,11/02/1996,,,,-,-,-,-
Rays,Yandy,Díaz,2,First Base,R/R,"6' 2""",215,08/08/1991,,,,-,-,-,-
Rays,Jonathan,Aranda,62,First Base,L/R,"6' 0""",210,05/23/1998,,,,Pre Arb,-,-,-
Rays,Isaac,Paredes,17,First Base,R/R,"5' 11""",213,02/18/1999,,,,Arb 1,"4,100,000",-,CAA Sports
Rays,Brandon,Lowe,8,Second Base,L/R,"5' 10""",185,07/06/1994,,,,Arb 3,"8,750,000",-,Bledsoe Brothers)
Rays,Curtis,Mead,25,Second Base,R/R,"6' 0""",171,10/26/2000,,,,Pre Arb,-,-,-
Rays,Vidal,Bruján,7,Second Base,S/R,"5' 10""",180,02/09/1998,,,,-,-,-,-
Rays,Jonathan,Aranda,62,Second Base,L/R,"6' 0""",210,05/23/1998,,,,Pre Arb,-,-,-
Rays,Isaac,Paredes,17,Third Base,R/R,"5' 11""",213,02/18/1999,,,,Arb 1,"4,100,000",-,CAA Sports
Rays,Curtis,Mead,25,Third Base,R/R,"6' 0""",171,10/26/2000,,,,Pre Arb,-,-,-
Rays,Osleivis,Basabe,37,Third Base,R/R,"5' 11""",188,09/13/2000,,,,Pre Arb,-,-,-
Rays,Junior,Caminero,1,Third Base,R/R,"6' 1""",157,07/05/2003,,,,Pre Arb,-,-,-
Rays,Taylor,Walls,6,Shortstop,S/R,"5' 10""",185,07/10/1996,,,,Pre Arb,-,-,ACES
Rays,Osleivis,Basabe,37,Shortstop,R/R,"5' 11""",188,09/13/2000,,,,Pre Arb,-,-,-
Rays,Junior,Caminero,1,Shortstop,R/R,"6' 1""",157,07/05/2003,,,,Pre Arb,-,-,-
Rays,Randy,Arozarena,56,Left Field,R/R,"5' 11""",185,02/28/1995,,,,Arb 2,"7,000,000",-,Boras Corporation
Rays,Luke,Raley,55,Left Field,L/R,"6' 4""",235,09/19/1994,,,,Pre Arb,-,-,-
Rays,Manuel,Margot,13,Left Field,R/R,"5' 11""",180,09/28/1994,,,,-,"10,000,000",-,Wasserman
Rays,Jose,Siri,22,Center Field,R/R,"6' 2""",175,07/22/1995,,,,Pre Arb,-,-,-
Rays,Manuel,Margot,13,Center Field,R/R,"5' 11""",180,09/28/1994,,,,-,"10,000,000",-,Wasserman
Rays,Luke,Raley,55,Center Field,L/R,"6' 4""",235,09/19/1994,,,,Pre Arb,-,-,-
Rays,Josh,Lowe,15,Right Field,L/R,"6' 4""",205,02/02/1998,,,,Pre Arb,-,-,"Sportsmeter, LLC"
Rays,Luke,Raley,55,Right Field,L/R,"6' 4""",235,09/19/1994,,,,Pre Arb,-,-,-
Rays,Manuel,Margot,13,Right Field,R/R,"5' 11""",180,09/28/1994,,,,-,"10,000,000",-,Wasserman
Rays,Harold,Ramírez,43,Designated Hitter,R/R,"5' 10""",232,09/06/1994,,,,-,-,-,-
Rays,Luke,Raley,55,Designated Hitter,L/R,"6' 4""",235,09/19/1994,,,,Pre Arb,-,-,-
Rays,Jonathan,Aranda,62,Designated Hitter,L/R,"6' 0""",210,05/23/1998,,,,Pre Arb,-,-,-
