Team Name,First Name,Last Name,Player Number,Position,B/T,Ht,Wt,DOB,Career Health ,Seasonal Health,Percent of Reinjury,Status,Base Salary,Spotrac Agent,Spotrac Agency
Rangers,Nathan,Eovaldi,17,Rotation,R/R,"6' 2""",217,02/13/1990,,,,-,"16,000,000",Levinson brothers,ACES
Rangers,Andrew,Heaney,44,Rotation,L/L,"6' 2""",200,06/05/1991,,,,-,"13,000,000",Rob Martin,Icon Sports Management
Rangers,Dane,Dunning,33,Rotation,R/R,"6' 4""",225,12/20/1994,,,,Arb 1,"3,200,000",-,Jet Sports Management
Rangers,Jon,Gray,22,Rotation,R/R,"6' 4""",225,11/05/1991,,,,-,"13,000,000",-,CAA Sports
Rangers,José,Leclerc,25,Bullpen,R/R,"6' 0""",195,12/19/1993,,,,-,-,-,-
Rangers,Josh,Sborz,66,Bullpen,R/R,"6' 3""",215,12/17/1993,,,,Arb 1,"1,000,000",-,McNamara Baseball Group
Rangers,Jon,Gray,22,Bullpen,R/R,"6' 4""",225,11/05/1991,,,,-,"13,000,000",-,CAA Sports
Rangers,Cody,Bradford,61,Bullpen,L/L,"6' 4""",197,02/22/1998,,,,Pre-Arb,-,-,-
Rangers,Dane,Dunning,33,Bullpen,R/R,"6' 4""",225,12/20/1994,,,,Arb 1,"3,200,000",-,Jet Sports Management
Rangers,Brock,Burke,46,Bullpen,L/L,"6' 4""",210,08/04/1996,,,,Arb 1,"1,000,000",-,Apex Baseball
Rangers,Jonah,Heim,28,Catcher,S/R,"6' 4""",220,06/27/1995,,,,Arb 1,"3,400,000",-,Frye McCann Sports
Rangers,Austin,Hedges,11,Catcher,R/R,"6' 1""",220,08/18/1992,,,,-,"4,000,000",Scott Boras,Boras Corporatio
Rangers,Nathaniel,Lowe,30,First Base,L/R,"6' 4""",220,07/07/1995,,,,-,-,-,-
Rangers,Marcus,Semien,2,Second Base,R/R,"6' 0""",195,09/17/1990,,,,-,"26,000,000",-,Boras Corporation
Rangers,Josh,H.,Smith,Second Base,L/R,"5' 10""",172,08/07/1997,,,,-,-,-,-
Rangers,Josh,Jung,6,Third Base,R/R,"6' 2""",214,02/12/1998,,,,Pre-Arb,-,-,-
Rangers,Ezequiel,Duran,20,Third Base,R/R,"5' 11""",185,05/22/1999,,,,Pre-Arb,-,-,-
Rangers,Josh,H.,Smith,Third Base,L/R,"5' 10""",172,08/07/1997,,,,-,-,-,-
Rangers,Corey,Seager,5,Shortstop,L/R,"6' 4""",215,04/27/1994,,,,-,"34,500,000",Scott Boras,Boras Corporation
Rangers,Ezequiel,Duran,20,Shortstop,R/R,"5' 11""",185,05/22/1999,,,,Pre-Arb,-,-,-
Rangers,Josh,H.,Smith,Shortstop,L/R,"5' 10""",172,08/07/1997,,,,-,-,-,-
Rangers,Evan,Carter,32,Left Field,L/R,"6' 2""",190,08/29/2002,,,,Pre-Arb,-,-,-
Rangers,Ezequiel,Duran,20,Left Field,R/R,"5' 11""",185,05/22/1999,,,,Pre-Arb,-,-,-
Rangers,Leody,Taveras,3,Center Field,S/R,"6' 2""",195,09/08/1998,,,,Arb 1,"$2,300,000",,
Rangers,Evan,Carter,32,Center Field,L/R,"6' 2""",190,08/29/2002,,,,Pre-Arb,-,-,-
Rangers,Evan,Carter,32,Right Field,L/R,"6' 2""",190,08/29/2002,,,,Pre-Arb,-,-,-
Rangers,Ezequiel,Duran,20,Designated Hitter,R/R,"5' 11""",185,05/22/1999,,,,Pre-Arb,-,-,-
