Team Name,First Name,Last Name,Player Number,Position,B/T,Ht,Wt,DOB,Career Health ,Seasonal Health,Percent of Reinjury,Status,Base Salary,Spotrac Agent,Spotrac Agency
Blue Jays,Kevin,Gausman,34,Rotation,L/R,"6' 2""",205,01/06/1991,,,,-,"21,000,000",-,Klutch Sports Group
Blue Jays,José,Berríos,17,Rotation,R/R,"6' 0""",205,05/27/1994,,,,-,-,-,-
Blue Jays,Chris,Bassitt,40,Rotation,R/R,"6' 5""",217,02/22/1989,,,,-,"18,000,000",-,Meister Sports Management
Blue Jays,Yusei,Kikuchi,16,Rotation,L/L,"6' 0""",210,06/17/1991,,,,-,"10,000,000",Scott Boras,Boras Corporation
Blue Jays,Jordan,Romano,68,Bullpen,R/R,"6' 5""",210,04/21/1993,,,,Arb 2,"6,000,000",-,VC Sports Group
Blue Jays,Erik,Swanson,50,Bullpen,R/R,"6' 3""",225,09/04/1993,,,,Arb 2,"2,600,000",-,Meister Sports Management
Blue Jays,Tim,Mayza,58,Bullpen,L/L,"6' 3""",215,01/15/1992,,,,Arb 3,"3,100,000",-,Ballengee Group
Blue Jays,Chad,Green,37,Bullpen,L/R,"6' 3""",215,05/24/1991,,,,Club Exercised,"10,500,000",-,Frontline
Blue Jays,Yimi,García,93,Bullpen,R/R,"6' 1""",230,08/18/1990,,,,-,-,-,-
Blue Jays,Trevor,Richards,33,Bullpen,R/R,"6' 2""",205,05/15/1993,,,,Arb 3,"2,400,000",-,Apex Baseball
Blue Jays,Génesis,Cabrera,92,Bullpen,L/L,"6' 2""",180,10/10/1996,,,,-,-,-,-
Blue Jays,Alejandro,Kirk,30,Catcher,R/R,"5' 8""",245,11/06/1998,,,,Arb 1,"3,200,000",-,Vayner Sports
Blue Jays,Tyler,Heineman,55,Catcher,S/R,"5' 10""",190,06/19/1991,,,,Pre-Arb,-,-,-
Blue Jays,Danny,Jansen,9,Catcher,R/R,"6' 2""",215,04/15/1995,,,,Arb 3,"5,100,000",-,ISE Baseball
Blue Jays,Vladimir,Guerrero,Jr.,First Base,R/R,"6' 2""",245,03/16/1999,,,,Arb 3,"19,900,000",Barry Prave,Magnus Media
Blue Jays,Cavan,Biggio,8,First Base,L/R,"6' 2""",200,04/11/1995,,,,Arb 3,"3,250,000",-,Excel Sports Management
Blue Jays,Cavan,Biggio,8,Second Base,L/R,"6' 2""",200,04/11/1995,,,,Arb 3,"3,250,000",-,Excel Sports Management
Blue Jays,Santiago,Espinal,5,Second Base,R/R,"5' 10""",185,11/13/1994,,,,Arb 2,"3,100,000",-,MVP Sports Group
Blue Jays,Davis,Schneider,36,Second Base,R/R,"5' 9""",190,01/26/1999,,,,Pre-Arb,-,-,-
Blue Jays,Santiago,Espinal,5,Third Base,R/R,"5' 10""",185,11/13/1994,,,,Arb 2,"3,100,000",-,MVP Sports Group
Blue Jays,Cavan,Biggio,8,Third Base,L/R,"6' 2""",200,04/11/1995,,,,Arb 3,"3,250,000",-,Excel Sports Management
Blue Jays,Bo,Bichette,11,Shortstop,R/R,"6' 0""",190,03/05/1998,,,,Arb 1,"11,000,000",-,CAA Sports
Blue Jays,Santiago,Espinal,5,Shortstop,R/R,"5' 10""",185,11/13/1994,,,,Arb 2,"3,100,000",-,MVP Sports Group
Blue Jays,Daulton,Varsho,25,Shortstop,L/R,"5' 10""",207,07/02/1996,,,,Arb 2,"5,500,000",-,ISE Baseball
Blue Jays,Davis,Schneider,36,Left Field,R/R,"5' 9""",190,01/26/1999,,,,Pre-Arb,-,-,-
Blue Jays,George,Springer,4,Center Field,R/R,"6' 3""",220,09/19/1989,,,,-,"22,500,000",-,Excel Sports Management
Blue Jays,George,Springer,4,Right Field,R/R,"6' 3""",220,09/19/1989,,,,-,"22,500,000",-,Excel Sports Management
Blue Jays,Cavan,Biggio,8,Right Field,L/R,"6' 2""",200,04/11/1995,,,,Arb 3,"3,250,000",-,Excel Sports Management
Blue Jays,Vladimir,Guerrero,Jr.,Designated Hitter,R/R,"6' 2""",245,03/16/1999,,,,Arb 3,"19,900,000",Barry Praver,Magnus Media
