Team Name,First Name,Last Name,Player Number,Position,B/T,Ht,Wt,DOB,Career Health ,Seasonal Health,Percent of Reinjury,Status,Base Salary,Spotrac Agent,Spotrac Agency
Nationals,Patrick,Corbin,46,Rotation,L/L,"6' 4""",226,07/19/1989,,,,FA,"35,000,000",-,ISE Baseball
Nationals,Josiah,Gray,40,Rotation,R/R,"6' 1""",210,12/21/1997,,,,Pre-Arb,-,-,Icon Sports Management
Nationals,MacKenzie,Gore,1,Rotation,L/L,"6' 2""",192,02/24/1999,,,,Pre-Arb,-,-,-
Nationals,Trevor,Williams,32,Rotation,R/R,"6' 3""",231,04/25/1992,,,,FA,"7,000,000",-,John Boggs & Associates
Nationals,Jake,Irvin,74,Rotation,R/R,"6' 6""",227,02/18/1997,,,,Pre-Arb,-,-,-
Nationals,Joan,Adon,60,Rotation,R/R,"6' 2""",245,08/12/1998,,,,Pre-Arb,-,-,-
Nationals,Jackson,Rutledge,79,Rotation,R/R,"6' 8""",251,04/01/1999,,,,Pre-Arb,-,-,-
Nationals,Kyle,Finnegan,67,Bullpen,R/R,"6' 2""",200,09/04/1991,,,,Arb 2,"4,300,000",-,"The L. Warner Companies, Inc"
Nationals,Hunter,Harvey,73,Bullpen,R/R,"6' 3""",239,12/09/1994,,,,Arb 2,"2,700,000",-,Beverly Hills Sports Council
Nationals,Tanner,Rainey,21,Bullpen,R/R,"6' 2""",250,12/25/1992,,,,Arb 3,"1,500,000",-,-
Nationals,Jordan,Weems,51,Bullpen,L/R,"6' 4""",212,11/07/1992,,,,Pre-Arb,-,-,-
Nationals,Andrés,Machado,57,Bullpen,R/R,"6' 1""",232,04/22/1993,,,,-,-,-,-
Nationals,Jose,A.,Ferrer,Bullpen,L/L,"6' 1""",229,03/03/2000,,,,-,-,-,-
Nationals,Thaddeus,Ward,68,Bullpen,R/R,"6' 3""",204,01/16/1997,,,,-,-,-,-
Nationals,Robert,Garcia,61,Bullpen,R/L,"6' 4""",225,06/14/1996,,,,Pre-Arb,-,-,-
Nationals,Cory,Abbott,77,Bullpen,R/R,"6' 2""",217,09/20/1995,,,,Pre-Arb,-,-,Dynamic Sports Group
Nationals,Joe,La,Sorsa,Bullpen,L/L,"6' 5""",215,04/29/1998,,,,Pre-Arb,-,-,-
Nationals,Keibert,Ruiz,20,Catcher,S/R,"6' 0""",227,07/20/1998,,,,Pre-Arb,"6,000,000",-,Boras Corporation
Nationals,Riley,Adams,15,Catcher,R/R,"6' 4""",260,06/26/1996,,,,Pre-Arb,-,-,-
Nationals,Drew,Millas,81,Catcher,S/R,"6' 0""",198,01/15/1998,,,,Pre-Arb,-,-,-
Nationals,Dominic,Smith,22,First Base,L/L,"6' 0""",224,06/15/1995,,,,-,-,-,Roc Nation Sports
Nationals,Joey,Meneses,45,First Base,R/R,"6' 3""",240,05/06/1992,,,,Pre-Arb,-,-,The MAS+ Agency
Nationals,Ildemaro,Vargas,14,Second Base,S/R,"6' 0""",195,07/16/1991,,,,Arb 2,"1,600,000",-,-
Nationals,Jake,Alu,39,Second Base,L/R,"5' 10""",186,04/06/1997,,,,Pre-Arb,-,-,-
Nationals,Jake,Alu,39,Third Base,L/R,"5' 10""",186,04/06/1997,,,,Pre-Arb,-,-,-
Nationals,Ildemaro,Vargas,14,Third Base,S/R,"6' 0""",195,07/16/1991,,,,Arb 2,"1,600,000",-,-
Nationals,CJ,Abrams,5,Shortstop,L/R,"6' 2""",191,10/03/2000,,,,Pre-Arb,-,-,-
Nationals,Ildemaro,Vargas,14,Shortstop,S/R,"6' 0""",195,07/16/1991,,,,Arb 2,"1,600,000",-,-
Nationals,Luis,García,2,Shortstop,L/R,"6' 2""",220,05/16/2000,,,,-,-,-,-
Nationals,Jake,Alu,39,Left Field,L/R,"5' 10""",186,04/06/1997,,,,Pre-Arb,-,-,-
Nationals,Alex,Call,17,Left Field,R/R,"5' 11""",189,09/27/1994,,,,Pre-Arb,-,-,-
Nationals,Stone,Garrett,36,Left Field,R/R,"6' 2""",224,11/22/1995,,,,Pre-Arb,-,-,-
Nationals,Alex,Call,17,Center Field,R/R,"5' 11""",189,09/27/1994,,,,Pre-Arb,-,-,-
Nationals,Lane,Thomas,28,Center Field,R/R,"6' 0""",198,08/23/1995,,,,Arb 2,"7,300,000",-,Jet Sports Management
Nationals,Jacob,Young,30,Center Field,R/R,"5' 11""",180,07/27/1999,,,,Pre-Arb,-,-,-
Nationals,Lane,Thomas,28,Right Field,R/R,"6' 0""",198,08/23/1995,,,,Arb 2,"7,300,000",-,Jet Sports Management
Nationals,Stone,Garrett,36,Right Field,R/R,"6' 2""",224,11/22/1995,,,,Pre-Arb,-,-,-
Nationals,Joey,Meneses,45,Designated Hitter,R/R,"6' 3""",240,05/06/1992,,,,Pre-Arb,-,-,The MAS+ Agency
Nationals,Keibert,Ruiz,20,Designated Hitter,S/R,"6' 0""",227,07/20/1998,,,,Pre-Arb,"6,000,000",-,Boras Corporation
Nationals,Riley,Adams,15,Designated Hitter,R/R,"6' 4""",260,06/26/1996,,,,Pre-Arb,-,-,-
Nationals,Stone,Garrett,36,Designated Hitter,R/R,"6' 2""",224,11/22/1995,,,,Pre-Arb,-,-,-
