PLAYER,TEAM,NUMBER,POSITION,HEIGHT,WEIGHT,Yeara of Experince,Career Health,Seasonal Health,Percent of Reinjury, Fanspo Agent , Fanspo Agency, Spotrac Agent , Spotrac Agency
"Saddiq
Bey",ATL,41,G-F,6-7,215 lbs,3,,,,James Dunleavy/Jordan Gertler,Excel Sports Management,"Jordan Gertler, James Dunleavy",Excel Sports Management
"Bogdan
Bogdanovic",ATL,13,G,6-5,225 lbs,6,,,,Jason Ranne,Wasserman,"Jason Ranne, Alexander Raskovic",Wasserman
"Kobe
Bufkin",ATL,4,G,6-5,195 lbs,1,,,,-,-,"Jelani Floyd, Thad Foucher, Joe Smith",Wasserman
"Clint
Capela",ATL,15,C,6-10,256 lbs,9,,,,Jason Ranne/Darren Matsubara,Wasserman,"Darren Matsubara, Jason Ranne",Wasserman
"Bruno
Fernando",ATL,24,F-C,6-9,240 lbs,4,,,,Andy Shiffman ,Priority Sports & Entertainment,-,-
"Trent
Forrest",ATL,2,G,6-4,210 lbs,3,,,,Bill Duffy/David Mondress/Justin Haynes,WME Sports,-,-
"AJ
Griffin",ATL,14,F,6-6,220 lbs,5.034,,,,-,-,Greg Genske,The Legacy Agency
"Mouhamed
Gueye",ATL,18,F,6-10,210 lbs,1,,,,-,-,Amandeep Dhesi,PNW Sports Group
"De'Andre
Hunter",ATL,12,F-G,6-8,221 lbs,4,,,,-,-,"Thad Foucher, Joe Smith",Wasserman
"Jalen
Johnson",ATL,1,F,6-8,219 lbs,2,,,,Lucas Newton,Klutch Sports Group,-,-
"Seth
Lundy",ATL,3,G-F,6-4,220 lbs,1,,,,-,-,Paolo Zamorano,Glushon Sports Management
"Garrison
Mathews",ATL,25,G,6-6,215 lbs,4,,,,Chris Patrick/David Bauman,Relativity Sports,-,-
"Wesley
Matthews",ATL,32,G,6-5,220 lbs,14,,,,Jeff Austin,Octagon,Jeff Austin,-
"Patty
Mills",ATL,8,G,6-2,180 lbs,14,,,,Steven Heumann,CAA Sports,Steve Heumann,-
"Dejounte
Murray",ATL,5,G,6-5,180 lbs,7,,,,-,-,Rich Paul,Klutch Sports Group
"Miles
Norris",ATL,0,F,6-7,220 lbs,1,,,,-,-,Mike Silverman,-
"Onyeka
Okongwu",ATL,17,F-C,6-10,240 lbs,3,,,,Jordan Gertler,Excel Sports Management,Sam Goldfeder,Excel Sports Management
"Trae
Young",ATL,11,G,6-1,164 lbs,5,,,,-,-,Rich Paul,Klutch Sports Group
