PLAYER,TEAM,NUMBER,POSITION,HEIGHT,WEIGHT,Yeara of Experince,Career Health,Seasonal Health,Percent of Reinjury, Fanspo Agent , Fanspo Agency, Spotrac Agent , Spotrac Agency
"Dalano
Banton",BOS,45,F,6-8,204 lbs,2,,,,Aaron Turner,Verus Management Team,-,-
"Oshae
Brissett",BOS,12,F-G,6-7,210 lbs,4,,,,Shayaun Saee/Mike George,One Legacy Sports Management,Mike George,-
"Jaylen
Brown",BOS,7,G-F,6-6,223 lbs,7,,,,Jason Glushon,Glushon Sports Management,Jason Glushon,Glushon Sports Management
"JD
Davison",BOS,20,G,6-1,195 lbs,1,,,,-,-,Mike Miller,-
"Sam
Hauser",BOS,30,F,6-7,217 lbs,2,,,,Jason Glushon,Glushon Sports Management,Jason Glushon,-
"Jrue
Holiday",BOS,4,G,6-4,205 lbs,14,,,,Jason Glushon,Glushon Sports Management,Jason Glushon,Glushon Sports Management
"Al
Horford",BOS,42,C-F,6-9,240 lbs,16,,,,Jason Glushon,Glushon Sports Management,Bill Duffy,BDA Sports
"Nathan
Knight",BOS,1,F-C,6-8,253 lbs,3,,,,Sean Kennedy,Excel Sports Management,-,-
"Luke
Kornet",BOS,40,C-F,7-1,250 lbs,6,,,,Jim Tanner/Maxwell Wiepking,Tandem Sports + Entertainment / YouFirst Sports,-,-
"Svi
Mykhailiuk",BOS,50,G-F,6-7,205 lbs,5,,,,Michael (Boris) Lelchitski,Sports International Group Inc.,-,-
"Kristaps
Porzingis",BOS,8,F-C,7-2,240 lbs,7,,,,Janis Porzingis,YouFirst Sports,-,-
"Payton
Pritchard",BOS,11,G,6-1,195 lbs,3,,,,Austin Brown/Mitch Nathan/Max Saidman,CAA Sports,"Austin Brown, Max Saidman, Mitch Nathan",CAA Sports
"Neemias
Queta",BOS,88,C,7-0,248 lbs,2,,,,Rade Filipovich/Bill Duffy,WME Sports,-,-
Lamar Stevens,BOS,77,F,6-7,230 lbs,3,,,,Jr. Love and Kieran Piller,Lenox Partners and Priority Sports & Entertainment,Scott Wong Nichols,Rize Management
"Jayson
Tatum",BOS,0,F-G,6-8,210 lbs,6,,,,Jeffrey Wechsler and Rishi Daulat,24/7 Sports Management,-,-
"Jordan
Walsh",BOS,27,G,6-6,205 lbs,1,,,,Ramon Sessions​,On Time Agency,Ramon Sessions,-
"Derrick
White",BOS,9,G,6-4,190 lbs,6,,,,Mike Lindeman,Excel Sports Management,-,-
