PLAYER,TEAM,NUMBER,POSITION,HEIGHT,WEIGHT,Yeara of Experince,Career Health,Seasonal Health,Percent of Reinjury, Fanspo Agent , Fanspo Agency, Spotrac Agent , Spotrac Agency
Keita Bates-Diop,BKN,13,SF,"6' 8""",229 lbs,6,,,,Austin Brown/Aaron Mintz,CAA Sports,"Austin Brown, Aaron Mint",CAA Sports
Mikal Bridges,BKN,1,SF,"6' 6""",209 lbs,6,,,,Sam Goldfeder/Jordan Gertler,Excel Sports Management,"Jordan Gertler, Sam Goldfeder",Excel Sports Management
Nic Claxton,BKN,33,C,"6' 11""",215 lbs,5,,,,Austin Brown/Aaron Mintz/Steven Heumann/Richard Beda,CAA Sports,"Richard Beda, Aaron Mintz, Austin Brown, Steven Heumann ",CAA Sports
Noah Clowney,BKN,21,F,"6' 9""",210 lbs,1,,,,Rich Paul,Klutch Sports Group,Rich Paul,Klutch Sports Group
Dorian Finney-Smith,BKN,28,PF,"6' 7""",220 lbs,8,,,,Michael Tellem,Excel Sports Management,-,-
Jacob Gilyard,BKN,14,G,"5' 8""",160 lbs,1,,,,Luke Glass/Keith Glass,Glass Global Sports Group/Off The Glass Entertainment,"Keith Glass, Luke Glass",-
Cameron Johnson,BKN,2,SF,"6' 8""",210 lbs,5,,,,Steven Heumann/Ty Sullivan/Melvin Booker,CAA Sports,"Ty Sullivan, Steven Heumann",CAA Sports
Keon Johnson,BKN,45,G,"6' 5""",185 lbs,3,,,,Anthony Fields,Klutch Sports Group,"Austin Brown, Dave Spahn, Aaron Mintz",CAA Sports
Jaylen Martin,BKN,16,G,"6' 6""",216 lbs,1,,,,Deddrick Faison/Rich Gray,Seven1 Sports & Entertainment,-,-
Dennis Schroder,BKN,17,PG,"6' 1""",175 lbs,11,,,,Mark Bartelstein,Priority Sports & Entertainment,"Jeff Austin, Alex Saratsis",-
Day'Ron Sharpe,BKN,20,C,"6' 9""",265 lbs,3,,,,Ty Sullivan,CAA Sports,Ty Sullivan,CAA Sports
Ben Simmons,BKN,10,PG,"6' 10""",240 lbs,8,,,,Bernie Lee,Thread Sports Management,Rich Paul,Klutch Sports Group
Dennis Smith Jr.,BKN,4,PG,"6' 3""",205 lbs,7,,,,Alex Saratsis/Ron Shade,Octagon,-,-
Cam Thomas,BKN,24,SG,"6' 3""",210 lbs,3,,,,Jim Tanner/Terrence Felder,Tandem Sports + Entertainment / YouFirst Sports,"Jim Tanner, Terrence Felder",Tandem Sports + Entertainmen
Lonnie Walker IV,BKN,8,G,"6' 4""",204 lbs,6,,,,Lucas Newton,Klutch Sports Group,Lucas Newton,Klutch Sports Group
Trendon Watford,BKN,9,PF,"6' 8""",237 lbs,3,,,,Thaddeus Foucher/Joe Smith,Wasserman,"Thaddeus Foucher, Joe Smith",-
Dariq Whitehead,BKN,0,F,"6' 6""",220 lbs,1,,,,Mike Lindeman,Excel Sports Management,Mike Lindeman,Excel Sports Management
Jalen Wilson,BKN,22,F,"6' 6""",220 lbs,1,,,,Justin Haynes/Diego Arguelles,WME Sports,Diego Arguelles,WME Sports
