PLAYER,TEAM,NUMBER,POSITION,HEIGHT,WEIGHT,Yeara of Experince,Career Health,Seasonal Health,Percent of Reinjury, Fanspo Agent , Fanspo Agency, Spotrac Agent , Spotrac Agency
"Amari
Bailey",CHA,10,G,6-3,185 lbs,1,,,,-,-,Bernie Lee,Thread Sports Management
"LaMelo
Ball",CHA,1,G,6-7,180 lbs,3,,,,Sam Permut,Roc Nation Sports,Raymond Brothers,Roc Nation Sports
"Leaky
Black",CHA,12,F,6-6,209 lbs,1,,,,-,-,Maxwell Wiepking,-
"James
Bouknight",CHA,2,G,6-4,190 lbs,2,,,,Nick Blatchford/Derek Jackson,UNLTD Sports Group,-,-
"Miles
Bridges",CHA,0,F,6-7,225 lbs,5,,,,Jordan Gertler/Sam Goldfeder,Excel Sports Management,Rich Paul,Klutch Sports Group
"Gordon
Hayward",CHA,20,F,6-7,225 lbs,13,,,,Mark Bartelstein,Priority Sports & Entertainment,Mark Bartelstein,-
"Theo
Maledon",CHA,9,G,6-4,175 lbs,3,,,,Doug Neustadt,The Neustadt Group,Doug Neustadt,The Neustadt Group
"Cody
Martin",CHA,11,F,6-6,205 lbs,4,,,,Eric Fleisher,"Assist Sports, LLC",-,-
"Bryce
McGowens",CHA,7,G,6-6,175 lbs,1,,,,-,-,Drew Gross,-
"Brandon
Miller",CHA,24,F,6-7,200 lbs,1,,,,-,-,Wilmer Jackson,SAI Sports Management
"Frank
Ntilikina",CHA,44,G,6-4,200 lbs,6,,,,Olivier Mazet and Sam Rose,Maz Sport Agency and CAA Sports,Sam Rose,CAA Sports
"Nick
Richards",CHA,4,C,7-0,245 lbs,3,,,,Jared Mucha,Excel Sports Management,"Javon Phillips, Jared Mucha, Jeff Schwartz",Excel Sports Management
"Terry
Rozier",CHA,3,G,6-1,190 lbs,8,,,,Aaron Turner,Verus Management Team,-,-
"Ish
Smith",CHA,14,G,6-0,175 lbs,13,,,,Drew Morrison,CAA Sports,Andrew Morrison,CAA Sports
"Nick
Smith Jr.",CHA,8,G,6-2,185 lbs,1,,,,-,-,Lucas Newton,Klutch Sports Group
"JT
Thor",CHA,21,F,6-9,203 lbs,2,,,,Aaron Turner,Verus Management Team,-,-
"P.J.
Washington",CHA,25,F,6-7,230 lbs,4,,,,Kevin Bradbury and Paul Washington,LIFT Sports Management and X10 Capital,Roger Montgomery,Roc Nation Sports
"Mark
Williams",CHA,5,C,7-0,240 lbs,1,,,,-,-,"Jeff Schwartz, Jordan Gertler",-
