PLAYER,TEAM,NUMBER,POSITION,HEIGHT,WEIGHT,Yeara of Experince,Career Health,Seasonal Health,Percent of Reinjury, Fanspo Agent , Fanspo Agency, Spotrac Agent , Spotrac Agency
Lonzo Ball,CHI,2,G,6-6,190 lbs,6,,,,-,-,Rich Paul,Klutch Sports Group
"Onuralp
Bitim",CHI,17,F,6-6,215 lbs,1,,,,-,-,-,-
"Jevon
Carter",CHI,5,G,6-1,200 lbs,5,,,,Zach Kurtin/Reggie Brown,Priority Sports & Entertainmen,"Zach Kurtin, Reggie Brown",Priority Sports & Entertainment
"Alex
Caruso",CHI,6,G,6-5,186 lbs,6,,,,Greg Lawrence,Wasserman,Greg Lawrence,Wasserman
"Torrey
Craig",CHI,13,F,6-5,221 lbs,6,,,,Mark Bartelstein,Priority Sports & Entertainment,"Dave Spahn, Austin Brown, Aaron Mintz",CAA Sports
"DeMar
DeRozan",CHI,11,G-F,6-6,220 lbs,14,,,,Aaron Goodwin,Goodwin Sports Management,Aaron Goodwin,-
"Ayo
Dosunmu",CHI,12,G,6-5,200 lbs,2,,,,Mike Lindeman,Excel Sports Management,-,-
"Andre
Drummond",CHI,3,C,6-11,279 lbs,11,,,,Joel Bell,Bell Management International,"Jeff Schwartz, Javon Phillips",Excel Sports Management
"Zach
LaVine",CHI,8,G,6-5,200 lbs,9,,,,Lucas Newton,Klutch Sports Group,Rich Paul,Klutch Sports Group
"Justin
Lewis",CHI,34,F,6-7,245 lbs,1,,,,-,-,Sam Permut,-
"Julian
Phillips",CHI,15,F,6-8,198 lbs,1,,,,-,-,Dave Spahn,CAA Sports
"Adama
Sanogo",CHI,21,F,6-9,245 lbs,1,,,,-,-,John Noonan,-
"Terry
Taylor",CHI,32,F,6-4,230 lbs,2,,,,B.J. Bass/Cam Brennick,RBA Sports,"B.J. Bass, Cam Brennick",-
"Dalen
Terry",CHI,25,F,6-7,195 lbs,1,,,,-,-,Anthony Coleman,-
"Nikola
Vucevic",CHI,9,C,6-10,260 lbs,12,,,,Rade Filipovich/Bill Duffy,WME Sports,"Rade Filipovich, Bill Duffy",WME Sports
"Coby
White",CHI,0,G,6-5,195 lbs,4,,,,Ty Sullivan/Steven Heumann,CAA Sports,Ty Sullivan,CAA Sports
"Patrick
Williams",CHI,44,F,6-7,215 lbs,3,,,,Joe Smith/Thaddeus Foucher,Wasserman,"Thad Foucher, Joe Smith",Wasserman
