PLAYER,TEAM,NUMBER,POSITION,HEIGHT,WEIGHT,Yeara of Experince,Career Health,Seasonal Health,Percent of Reinjury, Fanspo Agent , Fanspo Agency, Spotrac Agent , Spotrac Agency
"Jarrett
Allen",CLE,31,C,6-9,243 lbs,6,,,,Derrick Powell and Jim Tanner,Quality Control Sports and Tandem Sports + Entertainment / YouFirst Sports,"Derrick Powell, Jim Tanner",Elite Athlete Group
"Emoni
Bates",CLE,21,F,6-8,170 lbs,1,,,,-,-,Charles Tucker,-
"Darius
Garland",CLE,10,G,6-1,192 lbs,4,,,,Rich Paul​/Lucas Newton,Klutch Sports Group,Rich Paul,Klutch Sports Group
"Ty
Jerome",CLE,2,G-F,6-5,195 lbs,4,,,,Mark Bartelstein/Kieran Piller,Priority Sports & Entertainment,-,-
"Damian
Jones",CLE,30,C,6-10,245 lbs,7,,,,Austin Brown/Ty Sullivan,CAA Sports,"Ty Sullivan, Austin Brown",CAA Sports
"Caris
LeVert",CLE,3,G,6-6,205 lbs,7,,,,Austin Brown,CAA Sports,Austin Brown,CAA Sports
"Sam
Merrill",CLE,5,G,6-4,205 lbs,3,,,,Kieran Piller,Priority Sports & Entertainment,Kieran Piller,Priority Sports & Entertainment
"Donovan
Mitchell",CLE,45,G,6-3,215 lbs,6,,,,Austin Brown/Ty Sullivan,CAA Sports,Austin Brown,CAA Sports
"Evan
Mobley",CLE,4,C,6-11,215 lbs,2,,,,Joe Smith/Thaddeus Foucher,Wasserman,"Thaddeus Foucher, Joe Smith",Wasserman
"Isaiah
Mobley",CLE,15,F,6-8,238 lbs,1,,,,-,-,"Thaddeus Foucher, Joe Smith",-
"Georges
Niang",CLE,20,F,6-7,230 lbs,7,,,,Mark Bartelstein/Andy Shiffman,Priority Sports & Entertainment,Thad Foucher,Wasserman
"Isaac
Okoro",CLE,35,F-G,6-5,225 lbs,3,,,,Donte Grant and Adie von Gontard,Life Style Sports Agency and Young Money APAA,"Adie von Gontard, Donte Grant",Young Money APAA Sports
"Craig
Porter",CLE,9,G,6-1,180 lbs,1,,,,Ryan Straining,Always On Sports Agency,Ryan Straining,-
"Ricky
Rubio",CLE,13,G,6-2,190 lbs,12,,,,Jeff Schwartz,Excel Sports Management,Jeff Schwartz,Excel Sports Management
"Max
Strus",CLE,1,G-F,6-5,215 lbs,4,,,,Kieran Piller,Priority Sports & Entertainment,-,-
"Tristan
Thompson",CLE,12,C-F,6-9,254 lbs,12,,,,Rich Paul,Klutch Sports Group,Rich Paul,Klutch Sports Group
"Dean
Wade",CLE,32,F-C,6-9,228 lbs,4,,,,Adam Papas/Austin Walton,NEXT Sports,-,-
