PLAYER,TEAM,NUMBER,POSITION,HEIGHT,WEIGHT,Yeara of Experince,Career Health,Seasonal Health,Percent of Reinjury, Fanspo Agent , Fanspo Agency, Spotrac Agent , Spotrac Agency
"Greg
Brown III",DAL,36,F,6-7,206 lbs,2,,,,Bill Duffy/David Mondress,WME Sports,-,-
"Seth
Curry",DAL,30,G,6-1,185 lbs,10,,,,Austin Brown,CAA Sports,"Austin Brown, Aaron Mintz",CAA Sports
"Dexter
Dennis",DAL,38,G,6-5,210 lbs,1,,,,Drew Kelso,One Motive Sports,Drew Kelso,-
"Luka
Doncic",DAL,77,F-G,6-7,230 lbs,5,,,,Bill Duffy,WME Sports,-,BDA Sports
"Dante
Exum",DAL,0,G,6-5,214 lbs,7,,,,Brandon Rosenthal,Landmark Sports Agency,Rob Pelinka,-
"Josh
Green",DAL,8,G,6-5,200 lbs,3,,,,Drew Morrison/Steven Heumann,CAA Sports,"Drew Morrison, Steven Heumann, Aaron Mintz",CAA Sports
"Tim
Hardaway Jr.",DAL,10,G-F,6-5,205 lbs,10,,,,Zach Kurtin,Priority Sports & Entertainmen,Zach Kurtin,-
"Jaden
Hardy",DAL,1,G,6-3,198 lbs,1,,,,Rich Paul,Klutch Sports Group,Rich Paul,Klutch Sports Group
"Richaun
Holmes",DAL,20,F,6-9,235 lbs,8,,,,Max Saidman/Richard Beda/Austin Brown,CAA Sports,"Richard Beda, Austin Brown, Max Saidman",CAA Sports
"Kyrie
Irving",DAL,11,G,6-2,195 lbs,12,,,,Shetellia Riley,A11Even Sports,Shetellia Riley Irving,-
"Derrick
Jones Jr.",DAL,55,F,6-6,210 lbs,7,,,,Aaron Turner,Verus Management Team,-,-
"Maxi
Kleber",DAL,42,F,6-10,240 lbs,6,,,,Guy Zucker,Zucker International,-,-
"A.J.
Lawson",DAL,9,G,6-6,179 lbs,1,,,,Jim Tanner/Elias Sbiet,Tandem Sports + Entertainment / YouFirst Sports,Jim Tanner,-
"Dereck
Lively II",DAL,2,C,7-1,230 lbs,1,,,,Rich Paul and Josh Hairston,Klutch Sports Group and LIFT Sports Management,Rich Paul,Klutch Sports Group
"Markieff
Morris",DAL,88,F,6-9,245 lbs,12,,,,Chafie Fields/Jason Ranne,Wasserman,Chafie Fields,Wasserman
"Dwight
Powell",DAL,7,F-C,6-10,240 lbs,9,,,,Mike George and Jeff Schwartz,One Legacy Sports Management and Excel Sports Management,Mike George,-
"Olivier-Maxence
Prosper",DAL,18,F,6-7,230 lbs,1,,,,Todd Ramasar/Mike Simonetta,Life Sports Agency,"Todd Ramasar, Mike Simonetta",Life Sports Agency
"Grant
Williams",DAL,3,F,6-6,236 lbs,4,,,,Bill Duffy/Erik Kabe,WME Sports,Erik Kabe,BDA Sports Management
