PLAYER,TEAM,NUMBER,POSITION,HEIGHT,WEIGHT,Yeara of Experince,Career Health,Seasonal Health,Percent of Reinjury, Fanspo Agent , Fanspo Agency, Spotrac Agent , Spotrac Agency
"Christian
Braun",DEN,0,G,6-6,220 lbs,1,,,,Diego Arguelles,WME Sports,Diego Arguelles,WME Sports
"Kentavious
Caldwell-Pope",DEN,5,G,6-5,204 lbs,10,,,,Rich Paul,Klutch Sports Group,Rich Paul,Klutch Sports Group
"Vlatko
Cancar",DEN,31,F,6-8,236 lbs,4,,,,Jared Mucha/Jeff Schwartz,Excel Sports Management,"Jared Mucha, Jeff Schwartz",Excel Sports Management
"Collin
Gillespie",DEN,21,G,6-1,195 lbs,1,,,,Jordan Gertler/James Dunleavy,Excel Sports Management,James Dunleavy,-
"Aaron
Gordon",DEN,50,F,6-8,235 lbs,9,,,,Calvin Andrews,Klutch Sports Group,Calvin Andrews,Klutch Sports Group
"Justin
Holiday",DEN,9,F-G,6-6,180 lbs,10,,,,Bernie Lee,Thread Sports Management,"Anthony Dutt, Jeremiah Haylett",-
"Jay
Huff",DEN,30,C,7-1,240 lbs,2,,,,Michael Siegel,Impact Sports Management,-,-
"Reggie
Jackson",DEN,7,G,6-2,208 lbs,12,,,,Aaron Mintz/Dave Spahn,CAA Sports,Aaron Mintz,-
"Nikola
Jokic",DEN,15,C,6-11,284 lbs,8,,,,Mike Lindeman/Jeff Schwartz,Excel Sports Management,-,-
"DeAndre
Jordan",DEN,6,C,6-11,265 lbs,15,,,,Mike Lindeman,Excel Sports Management,Jeff Schwartz,Excel Sports Management
"Braxton
Key",DEN,11,F,6-8,225 lbs,1,,,,Anthony Coleman/Max Lipsett,Excel Sports Management,Evernard Billy Davis,Family of Athletes Agency
"Jamal
Murray",DEN,27,G,6-4,215 lbs,7,,,,Mike George and Jeff Schwartz,One Legacy Sports Management and Excel Sports Management,Mike George,Excel Sports Management
"Zeke
Nnaji",DEN,22,F-C,6-9,240 lbs,3,,,,Adam Pensack,Pensack Sports,Adam Pensack,Pensack Sports
"Jalen
Pickett",DEN,24,G,6-2,202 lbs,1,,,,Daniel Curtin,LAMF Sports,Daniel Curtin,LAMF Sports
"Michael
Porter Jr.",DEN,1,F,6-10,218 lbs,4,,,,Mark Bartelstein,Priority Sports & Entertainment,-,-
"Julian
Strawther",DEN,3,G,6-6,205 lbs,1,,,,Darren Matsubara,Wasserman,Darren Matsubara,Wasserman
"Hunter
Tyson",DEN,4,F,6-8,215 lbs,1,,,,Eric Fleisher,"Assist Sports, LLC",Eric Fleisher,"Assist Sports, LLC"
"Peyton
Watson",DEN,8,G,6-7,200 lbs,1,,,,Sam Goldfeder/James Dunleavy,Excel Sports Management,Jeff Schwartz,-
