PLAYER,TEAM,NUMBER,POSITION,HEIGHT,WEIGHT,Yeara of Experince,Career Health,Seasonal Health,Percent of Reinjury, Fanspo Agent , Fanspo Agency, Spotrac Agent , Spotrac Agency
"Marvin
Bagley III",DET,35,F,6-10,235 lbs,5,,,,Jeff Schwartz,Excel Sports Management,Jeff Schwartz,Excel Sports Management
"Bojan
Bogdanovic",DET,44,F,6-7,226 lbs,9,,,,Jason Ranne/Darren Matsubara,Wasserman,"Jason Ranne, Darren Matsubara",Wasserman
"Alec
Burks",DET,14,G,6-5,214 lbs,12,,,,Alex Saratsis,Octagon,Alex Saratsis,Octagon
"Malcolm
Cazalon",DET,20,G,6-6,185 lbs,1,,,,Mike Lindeman/Jared Mucha and Misko Raznatovic,Excel Sports Management and Beo Basket Ltd,Misko Raznatovic,-
"Cade
Cunningham",DET,2,G,6-6,220 lbs,2,,,,James Dunleavy/Jeff Schwartz,Excel Sports Management,-,-
"Jalen
Duren",DET,0,C,6-10,250 lbs,1,,,,Chafie Fields,Wasserman,Chafie Fields,-
"Joe
Harris",DET,31,G-F,6-6,220 lbs,9,,,,Mark Bartelstein,Priority Sports & Entertainment,Mark Bartelstein,-
"Killian
Hayes",DET,7,G,6-5,195 lbs,3,,,,David Bauman and Yann Balikouzou,Relativity Sports and Independent Sports & Entertainment (ISE),"Yann Balikouzou, David Bauman",Independent Sports & Entertainment
"Jaden
Ivey",DET,23,G,6-4,195 lbs,1,,,,Austin Brown/Max Saidman,CAA Sports,"Austin Brown, Max Saidman",-
"Kevin
Knox II",DET,24,F,6-7,215 lbs,5,,,,Aaron Turner,Verus Management Team,-,-
"Isaiah
Livers",DET,12,F,6-6,232 lbs,2,,,,Mark Bartelstein/Andy Shiffman ,Priority Sports & Entertainment,-,-
"Monte
Morris",DET,5,G,6-2,183 lbs,6,,,,Ron Shade/Alex Saratsis,Octagon,-,-
"Jared
Rhoden",DET,8,G,6-5,210 lbs,1,,,,Austin Walton,NEXT Sports,Austin Walton,-
"Marcus
Sasser",DET,25,G,6-2,195 lbs,1,,,,Mark Bartelstein/Kyle McAlarney,Priority Sports & Entertainment,Mark Bartelstein,Priority Sports & Entertainment
"Isaiah
Stewart",DET,28,F-C,6-8,250 lbs,3,,,,Drew Gross,Roc Nation Sports,Drew Gross,Roc Nation Sports
"Ausar
Thompson",DET,9,G-F,6-6,205 lbs,1,,,,Troy Thompson,G.A.P.P. Sports Group,Troy Thompson,G.A.P.P. Sports Group
"Stanley
Umude",DET,17,G,6-6,210 lbs,1,,,,Eric Fleisher,"Assist Sports, LLC",Eric Fleisher,-
"James
Wiseman",DET,13,C,6-11,240 lbs,3,,,,Marcus Monk/Jeff Schwartz,Excel Sports Management,Jeff Schwartz,Excel Sports Management
