PLAYER,TEAM,NUMBER,POSITION,HEIGHT,WEIGHT,Yeara of Experince,Career Health,Seasonal Health,Percent of Reinjury, Fanspo Agent , Fanspo Agency, Spotrac Agent , Spotrac Agency
"Stephen
Curry",GSW,30,G,6-2,185 lbs,14,,,,Jeff Austin,Octagon,Jeff Austin,-
"Usman
Garuba",GSW,12,F,6-8,229 lbs,2,,,,Drew Morrison/Sam Rose/Richard Beda and Juan Lasso,CAA Sports and Romaior Sports,"Andrew Morrison, Sam Rose, Richard Beda",CAA Sports
"Draymond
Green",GSW,23,F,6-6,230 lbs,11,,,,Rich Paul,Klutch Sports Group,Rich Paul,Klutch Sports Group
"Trayce
Jackson-Davis",GSW,32,F,6-9,245 lbs,1,,,,Max Lipsett,Excel Sports Management,Max Lipsett,Excel Sports Management
"Cory
Joseph",GSW,1,G,6-2,200 lbs,12,,,,Rich Paul,Klutch Sports Group,Rich Paul,Klutch Sports Group
"Jonathan
Kuminga",GSW,0,F,6-7,225 lbs,2,,,,Aaron Turner,Verus Management Team,-,-
"Kevon
Looney",GSW,5,F,6-9,222 lbs,8,,,,Todd Ramasar,Life Sports Agency,Todd Ramasar,Life Sports Agency
"Moses
Moody",GSW,4,G,6-5,211 lbs,2,,,,Rich Paul,Klutch Sports Group,Rich Paul,Klutch Sports Group
"Chris
Paul",GSW,3,G,6-0,175 lbs,18,,,,Steven Heumann/Ty Sullivan,CAA Sports,"Steven Heumann, Ty Sullivan",CAA Sports
"Gary
Payton II",GSW,0,G,6-2,195 lbs,7,,,,Aaron Goodwin,Goodwin Sports Management,Aaron Goodwin,Goodwin Sports Management
"Brandin
Podziemski",GSW,2,G,6-4,205 lbs,1,,,,David Mondress/Bill Duffy,WME Sports,"David Mondress, Bill Duffy",WME Sports
"Lester
Quinones",GSW,25,G,6-4,208 lbs,1,,,,Derek Malloy,LIFT Sports Management,Scott Wong Nichols,-
"Jerome
Robinson",GSW,18,G,6-5,190 lbs,3,,,,Michael Tellem and Austin Brown/Aaron Mintz,Excel Sports Management and CAA Sports,"Aaron Mintz, Austin Brown",CAA Sports
"Gui
Santos",GSW,15,F,6-6,185 lbs,1,,,,Aylton Tesch,A11 Sports Management,Aylton Tesch,-
"Dario
Saric",GSW,20,F-C,6-10,225 lbs,7,,,,Jared Mucha,Excel Sports Management,-,-
"Klay
Thompson",GSW,11,G,6-6,220 lbs,12,,,,Greg Lawrence,Wasserman,Greg Lawrence,Wasserman
"Andrew
Wiggins",GSW,22,F,6-7,197 lbs,9,,,,Drew Morrison/Steven Heumann,CAA Sports,"Andrew Morrison, Steven Heumann",CAA Sports
