PLAYER,TEAM,NUMBER,POSITION,HEIGHT,WEIGHT,Yeara of Experince,Career Health,Seasonal Health,Percent of Reinjury, Fanspo Agent , Fanspo Agency, Spotrac Agent , Spotrac Agency
"Bruce
Brown",IND,11,G-F,6-4,202 lbs,5,,,,-,-,Ty Sullivan,CAA Sports
"Kendall
Brown",IND,10,G,6-7,205 lbs,1,,,,Justin Haynes/Bill Duffy,WME Sports,"Justin Haynes, Bill Duffy",-
"Tyrese
Haliburton",IND,0,G,6-5,185 lbs,3,,,,Dave Spahn/Aaron Mintz,CAA Sports,"Dave Spahn, Aaron Mintz",CAA Sports
"Buddy
Hield",IND,7,G,6-4,220 lbs,7,,,,Diana Day,Icona Agency,Diana Day,Icona Agency
"Isaiah
Jackson",IND,22,F,6-9,205 lbs,2,,,,Drew Morrison/Sam Rose/Melvin Booker,CAA Sports,"Andrew Morrison, Sam Rose",CAA Sports
"Bennedict
Mathurin",IND,0,G-F,6-5,210 lbs,1,,,,Nima Namakian,Innovate Sports Group,Nima Namakian,-
"T.J.
McConnell",IND,9,G,6-1,190 lbs,8,,,,Mark Bartelstein/Kieran Piller,Priority Sports & Entertainment,"Omar Wilkes, Chris Emens",-
"Andrew
Nembhard",IND,2,G-F,6-4,191 lbs,1,,,,Todd Ramasar/Jaafar Choufani,Life Sports Agency,"Andrew
Nembhard",Life Sports Agency
"Aaron
Nesmith",IND,23,G-F,6-6,215 lbs,3,,,,Mike Lindeman,Excel Sports Management,Mike Lindeman,Excel Sports Management
"Jordan
Nwora",IND,13,F,6-8,225 lbs,3,,,,Mark Bartelstein/George Roussakis,Priority Sports & Entertainment,"Mark Bartelstein, George Roussakis",Priority Sports & Entertainment
"Ben
Sheppard",IND,26,G,6-6,190 lbs,1,,,,George Langberg,GSL Sports Group,George Langberg,GSL Sports Group
"Jalen
Smith",IND,25,F-C,6-9,215 lbs,3,,,,Brandon Cavanaugh and Mike Kneisley,Klutch Sports and Imperative Sports Consultants,Mike Kneisley,Imperative Sports Consultants
"Daniel
Theis",IND,27,F-C,6-8,245 lbs,6,,,,Steven Heumann/Aaron Mintz,CAA Sports,Aaron Mintz,CAA Sports
"Obi
Toppin",IND,1,F,6-9,220 lbs,3,,,,Austin Brown/Mitch Nathan/Sam Rose,CAA Sports,"Austin Brown, Mitch Nathan, Sam Rose",CAA Sports
"Oscar
Tshiebwe",IND,44,F-C,6-8,255 lbs,1,,,,Nate Conley,Court XIV,Nate Conley,-
"Myles
Turner",IND,33,C-F,6-11,250 lbs,8,,,,Austin Brown,CAA Sports ,Austin Brown,CAA Sports
"Jarace
Walker",IND,5,F,6-7,235 lbs,1,,,,Bill Duffy/Joe Branch/Justin Haynes,WME Sports,"Joe Branch, Bill Duffy, Justin Haynes",WME Sports
"Isaiah
Wong",IND,21,G,6-3,185 lbs,1,,,,David Mondress/Erik Kabe,WME Sports,"Bill Duffy, Erik Kabe, David Mondress",WME Sports
