PLAYER,TEAM,NUMBER,POSITION,HEIGHT,WEIGHT,Yeara of Experince,Career Health,Seasonal Health,Percent of Reinjury, Fanspo Agent , Fanspo Agency, Spotrac Agent , Spotrac Agency
"Colin
Castleton",LAL,14,C,6-10,250 lbs,1,,,,Aaron Reilly,AMR Agency,Aaron Reilly,-
"Max
Christie",LAL,10,G,6-5,190 lbs,1,,,,Kevin Bradbury/Lacy LaFour,LIFT Sports Management,"Lacy LaFour, Kevin Bradbury",-
"Anthony
Davis",LAL,3,F-C,6-10,253 lbs,11,,,,Rich Paul,Klutch Sports Group,Rich Paul,Klutch Sports Group
"Alex
Fudge",LAL,17,F,6-8,200 lbs,1,,,,Shayaun Saee,One Legacy Sports Management,Shayaun Saee,-
"Rui
Hachimura",LAL,28,F,6-8,230 lbs,4,,,,Jason Ranne/Darren Matsubara,Wasserman,"Jason Ranne, Darren Matsubara",Wasserman
"Jaxson
Hayes",LAL,11,C-F,7-0,220 lbs,4,,,,Bill Duffy/Marlon Harrison,WME Sports,"Bill Duffy, Marlon Harrison",BDA Sports Management
"D'Moi
Hodge",LAL,55,G,6-3,188 lbs,1,,,,Derek Jackson,UNLTD Sports Group,Derek Jackson,-
"Jalen
Hood-Schifino",LAL,0,G,6-5,215 lbs,1,,,,Austin Brown,CAA Sports,Austin Brown,CAA Sports
"LeBron
James",LAL,23,F,6-9,250 lbs,20,,,,Rich Paul,Klutch Sports Group,Rich Paul,Klutch Sports Group
"Maxwell
Lewis",LAL,21,F,6-7,195 lbs,1,,,,Thaddeus Foucher/Aaron Klevan,Wasserman,Joe Abunassar,-
"Taurean
Prince",LAL,12,F,6-6,218 lbs,7,,,,Steven Heumann,CAA Sports,Richard Beda,-
"Austin
Reaves",LAL,15,G,6-5,197 lbs,2,,,,Aaron Reilly,AMR Agency LLC,Aaron Reilly,-
"Cam
Reddish",LAL,5,F-G,6-7,217 lbs,4,,,,Lucas Newton,Klutch Sports Group,Lucas Newton,Klutch Sports Group
"D'Angelo
Russell",LAL,1,G,6-3,193 lbs,8,,,,Austin Brown/Aaron Mintz,CAA Sports,"Aaron Mintz, Austin Brown",CAA Sports
"Jarred
Vanderbilt",LAL,2,F,6-8,214 lbs,5,,,,Rich Paul/Omar Wilkes,Klutch Sports Group,Rich Paul,Klutch Sports Group
"Gabe
Vincent",LAL,7,G,6-2,200 lbs,4,,,,Bill Neff,SAGA Sports,-,-
"Christian
Wood",LAL,35,F,6-8,214 lbs,7,,,,Adam Pensack/Ben Pensack,Pensack Sports,"Adam Pensack, Ben Pensack",Pensack Sports
