PLAYER,TEAM,NUMBER,POSITION,HEIGHT,WEIGHT,Yeara of Experince,Career Health,Seasonal Health,Percent of Reinjury, Fanspo Agent , Fanspo Agency, Spotrac Agent , Spotrac Agency
"Steven
Adams",MEM,4,C,6-11,265 lbs,10,,,,Darren Matsubara,Wasserman,Darren Matsubara,Wasserman
"Santi
Aldama",MEM,7,F-C,7-0,215 lbs,2,,,,Kieran Piller/Andy Shiffman,Priority Sports & Entertainment,-,-
"Desmond
Bane",MEM,22,G,6-5,215 lbs,3,,,,Jim Tanner/Maxwell Wiepking/Terrence Felder,Tandem Sports + Entertainment / YouFirst Sports,Jim Tanner,Tandem Sports + Entertainment
"Bismack
Biyombo",MEM,18,C,6-8,255 lbs,12,,,,B.J. Armstrong,Wasserman,B.J. Armstrong,Wasserman
"Brandon
Clarke",MEM,15,F,6-8,215 lbs,4,,,,Mark Bartelstein,Priority Sports & Entertainment,"Mark Bartelstein, Andy Shiffman",Priority Sports & Entertainment
"Jacob
Gilyard",MEM,0,G,5-8,160 lbs,1,,,,-,-,"Keith Glass, Luke Glass",-
"GG
Jackson",MEM,45,F,6-9,210 lbs,1,,,,-,-,Donnell Bruce,-
"Jaren
Jackson Jr.",MEM,13,F-C,6-10,242 lbs,5,,,,Austin Brown/Max Saidman,CAA Sports,"Austin Brown, Max Saidman",CAA Sports
"Luke
Kennard",MEM,10,G,6-5,206 lbs,6,,,,Steven Heumann/Aaron Mintz,CAA Sports,"Aaron Mintz, Steven Heumann",CAA Sports
"John
Konchar",MEM,46,G,6-5,210 lbs,4,,,,-,-,-,-
"Jake
LaRavia",MEM,3,F,6-7,235 lbs,1,,,,-,-,Aaron Reilly,-
"Kenneth
Lofton Jr.",MEM,6,F,6-6,275 lbs,1,,,,Shayaun Saee/Mike George,One Legacy Sports Management,Nate Daniels,-
"Ja
Morant",MEM,12,G,6-2,174 lbs,4,,,,Jim Tanner,Tandem Sports + Entertainment / YouFirst Sports,Jim Tanner,Tandem Sports + Entertainment
"David
Roddy",MEM,21,F,6-4,255 lbs,1,,,,-,-,"Chris Emens, Josh Beauregard-Bell",-
"Derrick
Rose",MEM,23,G,6-3,200 lbs,15,,,,B.J. Armstrong,Wasserman,B.J. Armstrong,Wasserman
"Marcus
Smart",MEM,36,G,6-3,220 lbs,9,,,,Jason Glushon and Josh Ketroser,Glushon Sports Management and Wasserman," Arn Tellem, Lee Melchionni",-
"Xavier
Tillman",MEM,2,F,6-7,245 lbs,3,,,,Zach Kurtin,Priority Sports & Entertainmen,"Andy Shiffman, Zach Kurtin",Priority Sports & Entertainment
"Ziaire
Williams",MEM,8,F,6-9,185 lbs,2,,,,Aaron Mintz,CAA Sports,Aaron Mintz,CAA Sports
"Vince
Williams Jr.",MEM,5,G,6-4,205 lbs,1,,,,-,-,-,-
