PLAYER,TEAM,NUMBER,POSITION,HEIGHT,WEIGHT,Yeara of Experince,Career Health,Seasonal Health,Percent of Reinjury, Fanspo Agent , Fanspo Agency, Spotrac Agent , Spotrac Agency
"Bam
Adebayo",MIA,13,C-F,6-9,255 lbs,6,,,,Alex Saratsis,Octagon,Alex Saratsis,Octagon
"Thomas
Bryant",MIA,31,C-F,6-10,248 lbs,6,,,,Mark Bartelstein/Zach Kurtin,Priority Sports & Entertainment,Todd Ramasar,Life Sports Agency
"Jimmy
Butler",MIA,22,F,6-7,230 lbs,12,,,,Bernie Lee,Thread Sports Management,Bernie Lee,Lee Basketball Services
"Jamal
Cain",MIA,8,F,6-6,191 lbs,1,,,,-,-,"Mike George, Shayaun Saee",-
"R.J.
Hampton",MIA,4,G,6-4,175 lbs,3,,,,Mitch Nathan/Max Saidman/Aaron Mintz/Dave Spahn,CAA Sports,"Aaron Mintz, Mitch Nathan, Dave Spahn, Max Saidman",CAA Sports
"Tyler
Herro",MIA,14,G,6-5,195 lbs,4,,,,Mike Lindeman,Excel Sports Management,"Jeff Schwartz, Mike Lindeman",Excel Sports Management
"Haywood
Highsmith",MIA,24,F,6-5,220 lbs,3,,,,Jerry Dianis and Mason Ashe,Team Entertainment and Ashe Sports & Entertainment Consulting,-,-
"Jaime
Jaquez Jr.",MIA,11,G,6-6,225 lbs,1,,,,-,-,Aaron Mintz,CAA Sports
"Nikola
Jovic",MIA,5,F,6-10,205 lbs,1,,,,-,-,"Jared Mucha, Misko Raznatovic",-
"Kevin
Love",MIA,42,F-C,6-8,251 lbs,15,,,,-,-,Jeffrey A. Schwartz,-
"Kyle
Lowry",MIA,7,G,6-0,196 lbs,17,,,,Mark Bartelstein,Priority Sports & Entertainment,"Gerard Darnes Soms, Andrew Miller, Juan Aisa",-
"Caleb
Martin",MIA,16,F,6-5,205 lbs,4,,,,Eric Fleisher,"Assist Sports, LLC",Eric Fleisher,-
"Josh
Richardson",MIA,0,G,6-5,200 lbs,8,,,,Bill Duffy/Erik Kabe,WME Sports,-,-
"Duncan
Robinson",MIA,55,F,6-7,215 lbs,5,,,,Jason Glushon/Joey Pennavaria,Glushon Sports Management,-,-
"Orlando
Robinson",MIA,25,C,6-10,235 lbs,1,,,,-,-,Darren Matsubara,-
"Dru
Smith",MIA,9,G,6-2,203 lbs,1,,,,Aaron Reilly,AMR Agency LLC,Aaron Reilly,-
"Cole
Swider",MIA,21,F,6-8,220 lbs,1,,,,-,-,Niko Filipovich,-
