PLAYER,TEAM,NUMBER,POSITION,HEIGHT,WEIGHT,Yeara of Experince,Career Health,Seasonal Health,Percent of Reinjury, Fanspo Agent , Fanspo Agency, Spotrac Agent , Spotrac Agency
"Giannis
Antetokounmpo",MIL,34,F,6-11,243 lbs,10,,,,Alex Saratsis/Jeff Austin,Octagon,"Alex Saratsis, Jeff Austin",Octagon
"Thanasis
Antetokounmpo",MIL,43,F,6-7,219 lbs,5,,,,Alex Saratsis,Octagon,Alex Saratsis,Octagon
"Malik
Beasley",MIL,5,G,6-4,187 lbs,7,,,,Brian Jungreis,Par-Lay Sports & Entertainment,Brian Jungreis,Parlay Sports & Entertainment
"MarJon
Beauchamp",MIL,3,F,6-7,199 lbs,1,,,,-,-,Rich Paul,Klutch Sports Group
"Marques
Bolden",MIL,12,C,6-10,249 lbs,2,,,,Michael Johnson,-,Michael Johnson Jr.,All Day Group
"Pat
Connaughton",MIL,24,G,6-5,209 lbs,8,,,,Jordan Gertler,Excel Sports Management,"Jordan Gertler, Lance Young, Jeff Schwartz",Excel Sports Management
"Jae
Crowder",MIL,99,F,6-6,235 lbs,11,,,,Glenn Schwartzman,"Alliance Sports Management & WMJ Sports, Inc.",Glenn A. Schwartzman,-
"AJ
Green",MIL,20,G,6-4,190 lbs,1,,,,-,-,Matt Bollero,-
"Andre
Jackson Jr.",MIL,44,G,6-6,209 lbs,1,,,,-,-,Drew Gross,Roc Nation Sports
"Damian
Lillard",MIL,0,G,6-2,195 lbs,11,,,,Aaron Goodwin,Goodwin Sports Management,Aaron Goodwin,-
"Chris
Livingston",MIL,7,F,6-6,220 lbs,1,,,,-,-,Rich Paul,Klutch Sports Group
"Brook
Lopez",MIL,11,C,7-1,282 lbs,15,,,,Darren Matsubara,Wasserman,Darren Matsubara,Wasserman
"Robin
Lopez",MIL,42,C,7-1,281 lbs,15,,,,Darren Matsubara,Wasserman,Darren Matsubara,Wasserman
"Khris
Middleton",MIL,22,F,6-7,222 lbs,11,,,,Mike Lindeman,Excel Sports Management,"Michael Lindeman, Jeffrey A. Schwartz",-
"Cameron
Payne",MIL,15,G,6-3,183 lbs,8,,,,Jason Glushon,Glushon Sports Management,-,-
"Bobby
Portis",MIL,9,F,6-10,250 lbs,8,,,,Mark Bartelstein/Kieran Piller,Priority Sports & Entertainment,-,-
"TyTy
Washington Jr.",MIL,23,G,6-3,195 lbs,1,,,,-,-,Kevin Bradbury,-
"Lindell
Wigginton",MIL,28,G,6-1,189 lbs,2,,,,Gary Durrant,Durrant Sports Management,"Nate Daniels, Mike George",-
