PLAYER,TEAM,NUMBER,POSITION,HEIGHT,WEIGHT,Yeara of Experince,Career Health,Seasonal Health,Percent of Reinjury, Fanspo Agent , Fanspo Agency, Spotrac Agent , Spotrac Agency
"Nickeil
Alexander-Walker",MIN,9,G,6-5,205 lbs,4,,,,Joe Smith/Thaddeus Foucher,Wasserman,"Thad Foucher, Joe Smith",Wasserman
"Kyle
Anderson",MIN,1,F-G,6-9,230 lbs,9,,,,Thaddeus Foucher,Wasserman,Thad Foucher,Wasserman
"Troy
Brown Jr.",MIN,23,G-F,6-7,215 lbs,5,,,,Calvin Andrews/Rich Paul,Klutch Sports Group,Rich Paul,Klutch Sports Group
"Jaylen
Clark",MIN,0,G,6-4,205 lbs,1,,,,Greg Lawrence,Wasserman,Greg Lawrence,Wasserman
"Mike
Conley",MIN,10,G,6-0,175 lbs,16,,,,Steven Heumann/Jessica Holtz and Sr. Conley,CAA Sports and  MMG Sports and BDA Sports Management,"Steven Heumann, Jessica Holtz",CAA Sports
"Anthony
Edwards",MIN,5,G,6-4,225 lbs,3,,,,Bill Duffy/Marlon Harrison/Joe Branch,WME Sports,Bill Duffy,WME Sports
"Luka
Garza",MIN,55,C,6-10,243 lbs,2,,,,Mike Kneisley/Odell Witherspoon III,Imperative Sports Consultants,-,-
"Rudy
Gobert",MIN,27,C,7-1,258 lbs,10,,,,Bouna Ndiaye,Comsport,Bouna Ndiaye,-
"Jaden
McDaniels",MIN,3,F,6-9,185 lbs,3,,,,Bill Duffy and Nima Namakian,WME Sports and Innovate Sports Group,"Bill Duffy, Nima Namakian",BDA Sports Management
"Jordan
McLaughlin",MIN,6,G,6-0,185 lbs,4,,,,Greg Lawrence,Wasserman,-,-
"Leonard
Miller",MIN,33,F,6-10,210 lbs,1,,,,Diego Arguelles,WME Sports,Diego Arguelles,WME Sports
"Shake
Milton",MIN,18,G-F,6-5,205 lbs,5,,,,Drew Morrison,CAA Sports,Andrew Morrison,CAA Sports
"Josh
Minott",MIN,8,F,6-8,205 lbs,1,,,,"Stephen George Boykin and Aaron Turner and Nodirbek Talipov
",Verus Management Team,Aaron Turner,-
"Wendell
Moore Jr.",MIN,7,G,6-5,215 lbs,1,,,,Josh Hairston/Mike Miller,LIFT Sports Management,"Mike Miller, Josh Hairston",-
"Daishen
Nix",MIN,12,G,6-3,226 lbs,2,,,,Aaron Turner/Faraz Khan,Verus Management Team,-,-
"Naz
Reid",MIN,11,C-F,6-9,264 lbs,4,,,,Sean Kennedy,Excel Sports Management,Sean Kennedy,Excel Sports Management
"Karl-Anthony
Towns",MIN,32,C-F,7-0,248 lbs,8,,,,Jessica Holtz,CAA Sports,Jessica Holtz,CAA Sports
