PLAYER,TEAM,NUMBER,POSITION,HEIGHT,WEIGHT,Yeara of Experince,Career Health,Seasonal Health,Percent of Reinjury, Fanspo Agent , Fanspo Agency, Spotrac Agent , Spotrac Agency
"Jose
Alvarado",NOP,15,G,6-0,179 lbs,2,,,,Ron Shade/Josh Beauregard-Bell,Octagon,"Ron Shade, Josh Beauregard-Bell",-
"Dyson
Daniels",NOP,11,G,6-7,199 lbs,1,,,,Alex Saratsis/Daniel Moldovan,Octagon,"Daniel Moldovan, Alex Saratsis",-
"Jordan
Hawkins",NOP,24,G,6-5,190 lbs,1,,,,Ty Sullivan,CAA Sports,Ty Sullivan,CAA Sports
"Brandon
Ingram",NOP,14,F,6-8,190 lbs,7,,,,Jordan Gertler/Jeff Schwartz,Excel Sports Management,Jeff Schwartz,Excel Sports Management
"Herbert
Jones",NOP,5,F,6-7,206 lbs,-,,,,Mark Bartelstein/Kieran Piller,Priority Sports & Entertainment,-,-
"Kira
Lewis Jr.",NOP,13,G,6-1,170 lbs,3,,,,Richard Beda,CAA Sports,Aaron Turner,Verus Sports
"E.J.
Liddell",NOP,32,F,6-6,240 lbs,1,,,,Bill Duffy/Justin Haynes,WME Sports,-,-
"Naji
Marshall",NOP,8,F,6-6,220 lbs,3,,,,Derek Jackson/Jeff Schwartz,UNLTD Sports Group,-,-
"CJ
McCollum",NOP,3,G,6-3,190 lbs,10,,,,Sam Goldfeder/Jeff Schwartz,Excel Sports Management,Sam Goldfeder,-
"Trey
Murphy III",NOP,25,F,6-8,206 lbs,2,,,,Sean Kennedy,Excel Sports Management,-,-
"Larry
Nance Jr.",NOP,22,F-C,6-8,245 lbs,8,,,,Mark Bartelstein/Kieran Piller,Priority Sports & Entertainment,-,-
"Jeremiah
Robinson-Earl",NOP,50,F,6-8,240 lbs,2,,,,Ron Shade/Alex Saratsis,Octagon,-,-
"Matt
Ryan",NOP,37,F,6-6,215 lbs,2,,,,Eric Fleisher,"Assist Sports, LLC",Eric Fleisher,"Assist Sports, LLC"
"Dereon
Seabron",NOP,0,G,6-5,180 lbs,1,,,,Austin Walton,NEXT Sports,-,-
"Jonas
Valanciunas",NOP,17,C,6-11,265 lbs,11,,,,Drew Morrison/Mitch Nathan/Aaron Mintz,CAA Sports,"Aaron Mintz, Mitch Nathan, Andrew Morrison",CAA Sports
"Zion
Williamson",NOP,1,F,6-6,284 lbs,4,,,,Austin Brown,CAA Sports,Austin Brown,CAA Sports
"Cody
Zeller",NOP,40,F-C,6-11,240 lbs,10,,,,Mike Lindeman/Jeff Schwartz/Sam Goldfeder,Excel Sports Management,Sam Goldfeder,-
