PLAYER,TEAM,NUMBER,POSITION,HEIGHT,WEIGHT,Yeara of Experince,Career Health,Seasonal Health,Percent of Reinjury, Fanspo Agent , Fanspo Agency, Spotrac Agent , Spotrac Agency
"Ryan
Arcidiacono",NYK,51,G,6-3,195 lbs,6,,,,Mike Lindeman,Excel Sports Management,Joel Bell,BEST Basketball
"RJ
Barrett",NYK,9,F-G,6-6,214 lbs,4,,,,Bill Duffy,WME Sports,Bill Duffy,BDA Sports Management
"Charlie
Brown Jr.",NYK,16,G,6-6,199 lbs,3,,,,Andre Buck,Arete Sports Agency,-,-
"Jalen
Brunson",NYK,11,G,6-2,190 lbs,5,,,,Aaron Mintz and Sam Rose,CAA Sports,"Sam Rose, Aaron Mintz",CAA Sports
"Donte
DiVincenzo",NYK,0,G,6-4,203 lbs,5,,,,Jason Glushon,Glushon Sports Management,-,-
"Evan
Fournier",NYK,13,G-F,6-6,205 lbs,11,,,,Bouna Ndiaye,Comsport,Bouna Ndiaye,-
"Quentin
Grimes",NYK,6,G,6-5,210 lbs,2,,,,David Bauman,Relativity Sports,-,-
"Josh
Hart",NYK,3,G,6-4,215 lbs,6,,,,Steven Heumann/Aaron Mintz,CAA Sports,"Aaron Mintz, Steven Heumann, Dave Spahn",CAA Sports
"Isaiah
Hartenstein",NYK,55,C-F,7-0,250 lbs,5,,,,Drew Morrison/Aaron Mintz,CAA Sports,"Andrew Morrison, Aaron Mintz, Dave Spahn",CAA Sports
"DaQuan
Jeffries",NYK,8,G-F,6-5,222 lbs,4,,,,Bill Duffy/WME Sports,WME Sports,Erik Kabe,-
"Miles
McBride",NYK,2,G,6-1,195 lbs,2,,,,Andy Shiffman  ,Priority Sports & Entertainment,-,-
"Immanuel
Quickley",NYK,5,G,6-2,190 lbs,3,,,,Raymond Brothers,I AM Sports & Entertainment,"Sam Permut, Raymond Brothers",Roc Nation Sports
"Julius
Randle",NYK,30,F-C,6-8,250 lbs,9,,,,Bill Duffy,WME Sports,Aaron Mintz,CAA Sports
"Mitchell
Robinson",NYK,23,C-F,7-0,240 lbs,5,,,,Joe Smith/Thaddeus Foucher,Wasserman,"Thad Foucher, Joe Smith",Wasserman
"Jericho
Sims",NYK,45,C,6-10,250 lbs,2,,,,Jason Glushon,Glushon Sports Management,-,-
"Jacob
Toppin",NYK,0,F,6-8,200 lbs,1,,,,Austin Brown/Sam Rose/Mitch Nathan,CAA Sports,"Mitch Nathan, Austin Brown, Sam Rose",CAA Sports
"Duane
Washington Jr.",NYK,4,G,6-2,197 lbs,2,,,,Shayaun Saee/Mike George,One Legacy Sports Management,"Mike George, Shayaun Saee",-
"Dylan
Windler",NYK,20,G-F,6-7,196 lbs,4,,,,Mark Bartelstein/Andy Shiffman,Priority Sports & Entertainment,"Mark Bartelstein, Andy Shiffman",Priority Sports & Entertainment
