PLAYER,TEAM,NUMBER,POSITION,HEIGHT,WEIGHT,Yeara of Experince,Career Health,Seasonal Health,Percent of Reinjury, Fanspo Agent , Fanspo Agency, Spotrac Agent , Spotrac Agency
"Davis
Bertans",OKC,9,F,6-10,225 lbs,7,,,,Arturs Kalnitis,Baltic Sports Agency,Arturs Kalnitis,Baltic Sports Agency
"Ousmane
Dieng",OKC,13,F,6-9,185 lbs,1,,,,Michael Tellem,Excel Sports Management,Michael Tellem,-
"Luguentz
Dort",OKC,5,G,6-4,220 lbs,4,,,,Joe Smith/Thaddeus Foucher,Wasserman,"Thad Foucher, Joe Smith",Wasserman
"Josh
Giddey",OKC,3,G,6-8,216 lbs,2,,,,Alex Saratsis and Daniel Moldovan,Octagon and Lighthouse Sports Managemen,-,-
"Shai
Gilgeous-Alexander",OKC,2,G,6-6,195 lbs,5,,,,Joe Smith/Thaddeus Foucher,Wasserman,Joe Smith,Wasserman
"Chet
Holmgren",OKC,7,C-F,7-1,195 lbs,1,,,,Bill Duffy,WME Sports,Bill Duffy,-
"Isaiah
Joe",OKC,11,G,6-3,165 lbs,3,,,,Sr. Conley,MMG Sports and BDA Sports Management,"Michael Conley, Sr.",BDA Sports Management
"Keyontae
Johnson",OKC,18,F,6-4,230 lbs,1,,,,Austin Brown and Mark Bartelstein/Ross Aroyo,CAA Sports and Priority Sports & Entertainment,"Ross Aroyo, Mark Bartelstein",Priority Sports & Entertainment
"Tre
Mann",OKC,23,G,6-3,178 lbs,2,,,,Aaron Turner and Daniel Hazan,Verus Management Team and Hazan Sports Management,-,-
"Vasilije
Micic",OKC,29,G,6-3,188 lbs,1,,,,Misko Raznatovic  and Jason Ranne,Beo Basket Ltd. and Wasserman,-,-
"Aleksej
Pokusevski",OKC,17,F,7-0,210 lbs,3,,,,Jason Ranne/Alexander Raskovic,Wasserman,"Jason Ranne, Alexander Raskovic",Wasserman
"Olivier
Sarr",OKC,30,C,6-10,240 lbs,2,,,,-,-,Kevin Sergent,-
"Cason
Wallace",OKC,22,G,6-3,195 lbs,1,,,,Max Lipsett/Jeff Schwartz,Excel Sports Management,"Max Lipsett, Marcus Monk, Jeff Schwartz",Excel Sports Management
"Lindy
Waters III",OKC,12,F,6-6,210 lbs,2,,,,Aaron Turner,Verus Management Team,Herb Rudoy,-
"Aaron
Wiggins",OKC,21,G,6-5,190 lbs,2,,,,Austin Walton and Mike Whitaker,NEXT Sports and REID Entertainment,Austin Walton,NEXT Sports
"Jalen
Williams",OKC,8,G-F,6-5,211 lbs,1,,,,Justin Haynes/Bill Duffy,WME Sports,"Justin Haynes, Bill Duffy",-
"Jaylin
Williams",OKC,6,F,6-9,240 lbs,1,,,,Sean Kennedy/Marcus Monk,Excel Sports Management,Aaron Turner,-
"Kenrich
Williams",OKC,34,G-F,6-6,210 lbs,5,,,,Adam Pensack/Ben Pensack,Pensack Sports,"Adam Pensack, Ben Pensack",Pensack Sports
