PLAYER,TEAM,NUMBER,POSITION,HEIGHT,WEIGHT,Yeara of Experince,Career Health,Seasonal Health,Percent of Reinjury, Fanspo Agent , Fanspo Agency, Spotrac Agent , Spotrac Agency
"Cole
Anthony",ORL,50,G,6-2,185 lbs,3,,,,Javon Phillips,Excel Sports Management,"Jeff Schwartz, Javon Phillips",Excel Sports Management
"Paolo
Banchero",ORL,5,F,6-10,250 lbs,1,,,,Mike Miller,LIFT Sports Management,Mike Miller,-
"Goga
Bitadze",ORL,35,C-F,6-10,250 lbs,4,,,,Mike Lindeman/Jared Mucha,Excel Sports Management,"Mike Lindeman, Jeff Schwartz, Jared Mucha",Excel Sports Management
"Anthony
Black",ORL,0,G,6-7,200 lbs,1,,,,Bill Duffy/Justin Haynes,WME Sports,"Bill Duffy, Justin Haynes",WME Sports
"Wendell
Carter Jr.",ORL,34,C-F,6-10,270 lbs,5,,,,Mike Miller,LIFT Sports Management,"Joby Branion, Tony Dutt",Vanguard Sports Group
"Markelle
Fultz",ORL,20,G,6-4,209 lbs,6,,,,Raymond Brothers,I AM Sports & Entertainment,-,-
"Gary
Harris",ORL,14,G,6-4,210 lbs,9,,,,Austin Brown/Aaron Mintz,CAA Sports,"Aaron Mintz, Austin Brown",-
"Kevon
Harris",ORL,8,G,6-5,216 lbs,1,,,,Daniel Hazan,Hazan Sports Management,Evernard Billy Davis,Family of Athletes Agency
"Caleb
Houstan",ORL,2,G,6-8,205 lbs,1,,,,Jason Glushon,Glushon Sports Management,Jason Glushon,-
"Jett
Howard",ORL,13,G,6-6,215 lbs,1,,,,Dave Spahn,CAA Sports,Dave Spahn,CAA Sports
"Joe
Ingles",ORL,7,F-G,6-9,220 lbs,9,,,,Mark Bartelstein,Priority Sports & Entertainment,Bradley Ames,-
"Jonathan
Isaac",ORL,1,F,6-10,230 lbs,6,,,,Jeffrey Wechsler,24/7 Sports Management,-,-
"Chuma
Okeke",ORL,3,F,6-7,229 lbs,3,,,,Austin Brown/Steven Heumann,CAA Sports,Richard Beda,-
"Trevelin
Queen",ORL,12,G,6-5,190 lbs,2,,,,Daniel Hazan,Hazan Sports Management,-,-
"Admiral
Schofield",ORL,25,F,6-5,241 lbs,3,,,,Zach Kurtin,Priority Sports & Entertainmen,-,-
"Jalen
Suggs",ORL,4,G,6-5,205 lbs,2,,,,Jason Ranne/Darren Matsubara,Wasserman,-,-
"Franz
Wagner",ORL,22,F,6-10,220 lbs,2,,,,Jason Glushon,Glushon Sports Management,-,-
"Moritz
Wagner",ORL,21,F-C,6-11,245 lbs,5,,,,Jason Glushon,Glushon Sports Management,-,-
