PLAYER,TEAM,NUMBER,POSITION,HEIGHT,WEIGHT,Yeara of Experince,Career Health,Seasonal Health,Percent of Reinjury, Fanspo Agent , Fanspo Agency, Spotrac Agent , Spotrac Agency
"Mo
Bamba",PHI,7,C,7-0,231 lbs,5,,,,Mark Bartelstein and Jr. Love,Priority Sports & Entertainment and Lenox Partners,"Gary Love, Jr.",-
"Nicolas
Batum",PHI,40,G-F,6-8,230 lbs,15,,,,Bouna Ndiaye,Comsport,Bouna Ndiaye,Comsport
"Patrick
Beverley",PHI,22,G,6-2,180 lbs,11,,,,Kevin Bradbury,LIFT Sports Management,"Kevin Bradbury, Bill Duffy",BDA Sports Management
"Ricky
Council IV",PHI,16,G,6-6,207 lbs,1,,,,-,-,Adie von Gontard,-
"Robert
Covington",PHI,33,F,6-7,209 lbs,10,,,,Drew Morrison,CAA Sports,Andrew Morrison,CAA Sports
"Joel
Embiid",PHI,21,C-F,7-0,280 lbs,9,,,,-,-,Leon Rose,-
"Tobias
Harris",PHI,12,F,6-8,226 lbs,12,,,,Torrel Harris,Unique Sports Management,Henry Thomas,-
"Danuel
House Jr.",PHI,25,F-G,6-6,220 lbs,7,,,,Raymond Brothers,I AM Sports & Entertainment,Kevin Bradbury,-
"Furkan
Korkmaz",PHI,30,G-F,6-7,202 lbs,6,,,,Dan Tobin and Jason Glushon,The Capital Associates and Glushon Sports Management,"Jason Glushon, Dan Tobin",-
"KJ
Martin",PHI,1,F,6-6,215 lbs,-,,,,Austin Brown,CAA Sports,-,-
"Tyrese
Maxey",PHI,0,G,6-2,200 lbs,3,,,,-,-,Rich Paul,Klutch Sports Group
"De'Anthony
Melton",PHI,8,G,6-3,200 lbs,5,,,,Aaron Klevan/Joe Smith/Thaddeus Foucher,Wasserman,-,-
"Marcus
Morris Sr.",PHI,5,F,6-8,218 lbs,12,,,,Chafie Fields/Jason Ranne,Wasserman,Chafie Fields,Wasserman
"Kelly
Oubre Jr.",PHI,9,F-G,6-7,203 lbs,8,,,,Torrel Harris,Unique Sports Management,Bill Duffy,BDA Sports
"Paul
Reed",PHI,44,F,6-9,210 lbs,3,,,,Ron Shade,Octagon,-,-
"Javonte
Smart",PHI,39,G,6-4,205 lbs,1,,,,Dan Frank and Mike Miller,Relativity Sports and LIFT Sports Management,Dan Frank,-
"Terquavion
Smith",PHI,23,G,6-4,160 lbs,1,,,,-,-,-,-
"Jaden
Springer",PHI,11,G,6-4,202 lbs,2,,,,Austin Cox/Isaac Conner/Chad Speck,A3 Athletics,-,-
