PLAYER,TEAM,NUMBER,POSITION,HEIGHT,WEIGHT,Yeara of Experince,Career Health,Seasonal Health,Percent of Reinjury, Fanspo Agent , Fanspo Agency, Spotrac Agent , Spotrac Agency
"Grayson
Allen",PHX,8,G,6-4,198 lbs,5,,,,Steven Heumann/Mitch Nathan/Aaron Mintz,CAA Sports,"Mitch Nathan, Steven Heumann, Aaron Mintz",CAA Sports
"Udoka
Azubuike",PHX,27,C-F,6-11,270 lbs,3,,,,Zach Kurtin,Priority Sports & Entertainmen,Zach Kurtin,Priority Sports & Entertainment
"Keita
Bates-Diop",PHX,21,F,6-8,229 lbs,5,,,,Austin Brown/Aaron Mintz,CAA Sports,"Austin Brown, Aaron Mintz",CAA Sports
"Bradley
Beal",PHX,3,G,6-4,207 lbs,11,,,,Mark Bartelstein/Reggie Brown,Priority Sports & Entertainment,"Reggie Brown, Mark Bartelstein",Priority Sports & Entertainment
"Bol
Bol",PHX,11,C-F,7-3,220 lbs,4,,,,Thaddeus Foucher,Wasserman,Andrew Morrison,CAA Sports
"Devin
Booker",PHX,1,G,6-6,206 lbs,8,,,,Melvin Booker/Jessica Holtz,CAA Sports,Jessica Holtz,CAA Sports
"Kevin
Durant",PHX,35,F,6-11,240 lbs,16,,,,Rich Kleiman,KD Enterprises,-,Roc Nation Sports
"Drew
Eubanks",PHX,14,F-C,6-10,245 lbs,5,,,,James Dunleavy/Max Lipsett,Excel Sports Management,-,-
"Jordan
Goodwin",PHX,0,G,6-4,200 lbs,2,,,,Dan Frank,Relativity Sports,Kevin Martin,-
"Eric
Gordon",PHX,23,G,6-3,215 lbs,15,,,,Steven Heumann/Aaron Mintz,CAA Sports,"Steven Heumann, Aaron Mintz",CAA Sports
"Damion
Lee",PHX,10,G-F,6-6,210 lbs,6,,,,Austin Brown/Dave Spahn,CAA Sports,"Austin Brown, Dave Spahn",CAA Sports
"Saben
Lee",PHX,38,G,6-2,183 lbs,3,,,,Darren Matsubara,Wasserman,Darren Matsubara,Wasserman
"Nassir
Little",PHX,25,F-G,6-6,220 lbs,4,,,,Adam Pensack,Pensack Sports,Adam Pensack,Pensack Sports
"Chimezie
Metu",PHX,4,F-C,6-10,225 lbs,5,,,,Darren Matsubara,Wasserman,Darren Matsubara,Wasserman
"Jusuf
Nurkic",PHX,20,C,7-0,290 lbs,9,,,,Rich Paul,Klutch Sports Group,Rich Paul,Klutch Sports Group
"Josh
Okogie",PHX,2,G,6-4,213 lbs,5,,,,Calvin Andrews,Klutch Sports Group,Calvin Andrews,Klutch Sports Group
"Yuta
Watanabe",PHX,18,G-F,6-9,215 lbs,5,,,,Joe Smith/Thaddeus Foucher,Wasserman,"Joe Smith, Thad Foucher",Wasserman
