PLAYER,TEAM,NUMBER,POSITION,HEIGHT,WEIGHT,COUNTRY,Yrs of Exp
"Mo
Bamba",PHI,7,C,7-0,231 lbs,USA,5
"Nicolas
Batum",PHI,40,G-F,6-8,230 lbs,France,15
"Patrick
Beverley",PHI,22,G,6-2,180 lbs,USA,11
"Ricky
Council IV",PHI,16,G,6-6,207 lbs,USA,1
"Robert
Covington",PHI,33,F,6-7,209 lbs,USA,10
"Joel
Embiid",PHI,21,C-F,7-0,280 lbs,Cameroon,9
"Tobias
Harris",PHI,12,F,6-8,226 lbs,USA,12
"Danuel
House Jr.",PHI,25,F-G,6-6,220 lbs,USA,7
"Furkan
Korkmaz",PHI,30,G-F,6-7,202 lbs,Turkey,6
"KJ
Martin",PHI,1,F,6-6,215 lbs,USA,-
"Tyrese
Maxey",PHI,0,G,6-2,200 lbs,USA,3
"De'Anthony
Melton",PHI,8,G,6-3,200 lbs,USA,5
"Marcus
Morris Sr.",PHI,5,F,6-8,218 lbs,USA,12
"Kelly
Oubre Jr.",PHI,9,F-G,6-7,203 lbs,USA,8
"Paul
Reed",PHI,44,F,6-9,210 lbs,USA,3
"Javonte
Smart",PHI,39,G,6-4,205 lbs,USA,1
"Terquavion
Smith",PHI,23,G,6-4,160 lbs,USA,1
"Jaden
Springer",PHI,11,G,6-4,202 lbs,USA,2
PLAYER,TEAM,NUMBER,POSITION,HEIGHT,WEIGHT,COUNTRY,
"Giannis
Antetokounmpo",MIL,34,F,6-11,243 lbs,Greece,10
"Thanasis
Antetokounmpo",MIL,43,F,6-7,219 lbs,Greece,5
"Malik
Beasley",MIL,5,G,6-4,187 lbs,USA,7
"MarJon
Beauchamp",MIL,3,F,6-7,199 lbs,USA,1
"Marques
Bolden",MIL,12,C,6-10,249 lbs,USA,2
"Pat
Connaughton",MIL,24,G,6-5,209 lbs,USA,8
"Jae
Crowder",MIL,99,F,6-6,235 lbs,USA,11
"AJ
Green",MIL,20,G,6-4,190 lbs,USA,1
"Andre
Jackson Jr.",MIL,44,G,6-6,209 lbs,USA,1
"Damian
Lillard",MIL,0,G,6-2,195 lbs,USA,11
"Chris
Livingston",MIL,7,F,6-6,220 lbs,USA,1
"Brook
Lopez",MIL,11,C,7-1,282 lbs,USA,15
"Robin
Lopez",MIL,42,C,7-1,281 lbs,USA,15
"Khris
Middleton",MIL,22,F,6-7,222 lbs,USA,11
"Cameron
Payne",MIL,15,G,6-3,183 lbs,USA,8
"Bobby
Portis",MIL,9,F,6-10,250 lbs,USA,8
"TyTy
Washington Jr.",MIL,23,G,6-3,195 lbs,USA,1
"Lindell
Wigginton",MIL,28,G,6-1,189 lbs,Canada,2
PLAYER,TEAM,NUMBER,POSITION,HEIGHT,WEIGHT,COUNTRY,
Lonzo Ball,CHI,2,G,6-6,190 lbs,USA,6
"Onuralp
Bitim",CHI,17,F,6-6,215 lbs,Turkey,1
"Jevon
Carter",CHI,5,G,6-1,200 lbs,USA,5
"Alex
Caruso",CHI,6,G,6-5,186 lbs,USA,6
"Torrey
Craig",CHI,13,F,6-5,221 lbs,USA,6
"DeMar
DeRozan",CHI,11,G-F,6-6,220 lbs,USA,14
"Ayo
Dosunmu",CHI,12,G,6-5,200 lbs,USA,2
"Andre
Drummond",CHI,3,C,6-11,279 lbs,USA,11
"Zach
LaVine",CHI,8,G,6-5,200 lbs,USA,9
"Justin
Lewis",CHI,34,F,6-7,245 lbs,USA,1
"Julian
Phillips",CHI,15,F,6-8,198 lbs,USA,1
"Adama
Sanogo",CHI,21,F,6-9,245 lbs,Mali,1
