PLAYER,TEAM,NUMBER,POSITION,HEIGHT,WEIGHT,Yeara of Experince,Career Health,Seasonal Health,Percent of Reinjury, Fanspo Agent , Fanspo Agency, Spotrac Agent , Spotrac Agency
"Harrison
Barnes",SAC,40,F,6-8,225 lbs,11,,,,Sam Goldfeder,Excel Sports Management,Sam Goldfeder,Excel Sports Management
"Chris
Duarte",SAC,3,G,6-5,190 lbs,2,,,,Austin Brown/Mitch Nathan/Sam Rose,CAA Sports,"Austin Brown, Sam Rose, Max Saidman, Mitch Nathan",CAA Sports
"Kessler
Edwards",SAC,17,F,6-7,203 lbs,2,,,,Bill Duffy/David Mondress,WME Sports,-,-
"Keon
Ellis",SAC,23,G,6-3,175 lbs,1,,,,Corey Marcum,EZ Sports Group,Corey Marcum,-
"Jordan
Ford",SAC,31,G,6-1,175 lbs,1,,,,Calvin Andrews,Klutch Sports Group,Calvin Andrews,Klutch Sports Group
"De'Aaron
Fox",SAC,5,G,6-3,185 lbs,6,,,,Rich Paul,Klutch Sports Group,Rich Paul,Klutch Sports Group
"Kevin
Huerter",SAC,9,G-F,6-7,198 lbs,5,,,,Mark Bartelstein/Andy Shiffman,Priority Sports & Entertainment,-,-
"Colby
Jones",SAC,20,G,6-6,207 lbs,1,,,,Kieran Piller,Priority Sports & Entertainment,Sean Kennedy,Excel Sports Management
"Alex
Len",SAC,25,C,7-0,250 lbs,10,,,,Michael (Boris) Lelchitski,Sports International Group Inc.,Boris Lelchitski,-
"Trey
Lyles",SAC,41,F,6-9,234 lbs,8,,,,Rich Paul,Klutch Sports Group,Rich Paul,Klutch Sports Group
"JaVale
McGee",SAC,0,C-F,7-0,270 lbs,15,,,,B.J. Armstrong,Wasserman,B.J. Armstrong,Wasserman
"Davion
Mitchell",SAC,15,G,6-0,202 lbs,2,,,,Ty Sullivan,CAA Sports,Ty Sullivan,CAA Sports
"Malik
Monk",SAC,0,G,6-3,200 lbs,6,,,,Jeff Schwartz/Jeff Schwartz,Excel Sports Management,-,-
"Keegan
Murray",SAC,13,F,6-8,225 lbs,1,,,,"Mark Bartelstein, Kyle McAlarney",Priority Sports & Entertainment,"Mark Bartelstein, Kyle McAlarney",-
"Filip
Petrusev",SAC,33,C,6-11,225 lbs,1,,,,-,-,-,-
"Domantas
Sabonis",SAC,10,F-C,6-10,240 lbs,7,,,,Jason Ranne/Greg Lawrence,Wasserman,"Greg Lawrence, Jason Ranne",Wasserman
"Jalen
Slawson",SAC,18,F,6-7,215 lbs,1,,,,Aaron Turner,Verus Management Team,Aaron Turner,Verus Management Team
"Sasha
Vezenkov",SAC,7,F,6-8,225 lbs,1,,,,Mark Bartelstein/George Roussakis,Priority Sports & Entertainment,Nick Lotsos,LSM
