PLAYER,TEAM,NUMBER,POSITION,HEIGHT,WEIGHT,Yeara of Experince,Career Health,Seasonal Health,Percent of Reinjury, Fanspo Agent , Fanspo Agency, Spotrac Agent , Spotrac Agency
"Dominick
Barlow",SAS,26,F,6-9,215 lbs,1,,,,Todd Ramasar,Life Sports Agency,Todd Ramasar,Life Sports Agency
"Charles
Bassey",SAS,28,C-F,6-10,230 lbs,2,,,,Adie von Gontard/Daveed Cohen,Young Money APAA,-,-
"Charles
Bediako",SAS,27,C,7-0,225 lbs,1,,,,Daniel Green,Green Sports Management,-,-
"Malaki
Branham",SAS,22,F,6-4,180 lbs,1,,,,Nick Blatchford/Derek Jackson,UNLTD Sports Group,Nate Conley,-
"Julian
Champagnie",SAS,30,F,6-7,217 lbs,1,,,,Nick Blatchford and Kashif Pratt,UNLTD Sports Group and Marathon Sports Group,"Kashif Pratt, Nick Blatchford",-
"Sidy
Cissoko",SAS,25,G,6-6,200 lbs,1,,,,Jim Tanner/Maxwell Wiepking/Nicolas Dos Santos,Tandem Sports + Entertainment / YouFirst Sports,"Jim Tanner, Nicolas Dos Santos, Maxwell Wiepking",Tandem Sports + Entertainment / YouFirst Sports
"Zach
Collins",SAS,23,F-C,6-11,250 lbs,6,,,,Mark Bartelstein/Kieran Piller,Priority Sports & Entertainment,"Mark Bartelstein, Kieran Piller",Priority Sports & Entertainment
"Devonte'
Graham",SAS,4,G,6-1,195 lbs,5,,,,Ty Sullivan,CAA Sports,Ty Sullivan,CAA Sports
"Keldon
Johnson",SAS,3,F-G,6-5,220 lbs,4,,,,Lucas Newton,Klutch Sports Group,Lucas Newton,Klutch Sports Group
"Tre
Jones",SAS,33,G,6-1,185 lbs,3,,,,Kevin Bradbury and David Mondress,LIFT Sports Management and WME Sports,David Mondress,BDA Sports Management
"Sandro
Mamukelashvili",SAS,54,F-C,6-9,240 lbs,2,,,,George Roussakis,Priority Sports & Entertainment,-,-
"Doug
McDermott",SAS,17,F,6-6,225 lbs,9,,,,Mark Bartelstein,Priority Sports & Entertainment,Mark Bartelstein,-
"Cedi
Osman",SAS,16,F,6-7,230 lbs,6,,,,Jordan Gertler/Jeff Schwartz and Misko Raznatovic,Excel Sports Management and Beo Basket Ltd.,-,-
"Sir'Jabari
Rice",SAS,11,G,6-4,180 lbs,1,,,,Younis Hussein,One Legacy Sports Management,Younis Hussein,-
"Jeremy
Sochan",SAS,10,F,6-8,230 lbs,1,,,,Deirunas Visockas/Jim Tanner,Tandem Sports + Entertainment / YouFirst Sports,"Jim Tanner, Deirunas Visockas",-
"Devin
Vassell",SAS,24,G-F,6-5,200 lbs,3,,,,Drew Morrison/Mitch Nathan/Richard Beda,CAA Sports,"Drew Morrison, Mitch Nathan, Richard Beda",CAA Sports
"Victor
Wembanyama",SAS,1,F-C,7-4,210 lbs,1,,,,-,-,Bouna Ndiaye,Comsport
"Blake
Wesley",SAS,14,G,6-3,185 lbs,1,,,,Dave Spahn/Aaron Mintz,CAA Sports,"Aaron Mintz, Dave Spahn",-
