PLAYER,TEAM,NUMBER,POSITION,HEIGHT,WEIGHT,Yeara of Experince,Career Health,Seasonal Health,Percent of Reinjury, Fanspo Agent , Fanspo Agency, Spotrac Agent , Spotrac Agency
"Precious
Achiuwa",TOR,5,F,6-8,243 lbs,3,,,,Raymond Brothers,I AM Sports & Entertainment,Raymond Brothers,Roc Nation Sports
"OG
Anunoby",TOR,3,F,6-7,232 lbs,6,,,,Drew Morrison/Austin Brown/Sam Rose,CAA Sports,"Andrew Morrison, Austin Brown, Sam Rose",CAA Sports)
"Scottie
Barnes",TOR,4,F,6-7,237 lbs,2,,,,Bill Duffy/David Mondress and Sam Goldfeder,WME Sports and Excel Sports Management,-,-
"Chris
Boucher",TOR,25,F-C,6-9,200 lbs,6,,,,Sam Permut,Roc Nation Sports,"Sam Permut, Juan Perez",Roc Nation Sports
"Gradey
Dick",TOR,1,G,6-6,200 lbs,1,,,,Bill Duffy/David Mondress/Isiah Turner,WME Sports,"Bill Duffy, David Mondress, Isiah Turner",WME Sports
"Malachi
Flynn",TOR,22,G,6-1,185 lbs,3,,,,Aaron Reilly,AMR Agency LLC,"Dave Spahn, Aaron Mintz, Drew Morrison, Erika Ruiz",CAA Sports
"Javon
Freeman-Liberty",TOR,0,G,6-3,190 lbs,1,,,,Luke Glass and Keith Glass,Glass Global Sports Group and Off The Glass Entertainment,"Ron Shade, Alex Saratsis",-
"Ron
Harper Jr.",TOR,8,F,6-4,233 lbs,15,,,,Drew Gross,Roc Nation Sports,-,-
"Christian
Koloko",TOR,35,C,7-0,230 lbs,1,,,,Calvin Andrews,Klutch Sports Group,Calvin Andrews,-
"Jalen
McDaniels",TOR,2,F-C,6-9,190 lbs,4,,,,Bill Duffy and Nima Namakian,WME Sports and Innovate Sports Group,Nima Namakian,-
"Markquis
Nowell",TOR,24,G,5-7,160 lbs,1,,,,Alex Saratsis/Ron Shade,Octagon,Ron Shade,-
"Jakob
Poeltl",TOR,19,C,7-0,260 lbs,7,,,,Sam Goldfeder/Michael Tellem,Excel Sports Management,Michael Tellem,Wasserman
"Otto
Porter Jr.",TOR,32,F,6-8,230 lbs,10,,,,David Falk,F.A.M.E.,David Falk,-
"Dennis
Schroder",TOR,17,G,6-1,175 lbs,10,,,,Mark Bartelstein,Priority Sports & Entertainment,"Jeff Austin, Alex Saratsis",-
"Pascal
Siakam",TOR,43,F,6-8,245 lbs,7,,,,Todd Ramasar/Jaafar Choufani,Life Sports Agency,"Todd Ramasar, Jaafar Choufani",Life Sports Agency
"Garrett
Temple",TOR,14,G-F,6-5,195 lbs,13,,,,Mark Bartelstein,Priority Sports & Entertainment,John Hamilton,-
"Gary
Trent Jr.",TOR,33,G-F,6-5,204 lbs,5,,,,Lucas Newton/Rich Paul,Klutch Sports Group,Rich Paul ,Klutch Sports Group
"Thaddeus
Young",TOR,21,F,6-8,225 lbs,16,,,,Jim Tanner,Tandem Sports + Entertainment / YouFirst Sports,"James L. Tanner, Jr.",-
