PLAYER,TEAM,NUMBER,POSITION,HEIGHT,WEIGHT,Yeara of Experince,Career Health,Seasonal Health,Percent of Reinjury, Fanspo Agent , Fanspo Agency, Spotrac Agent , Spotrac Agency
"Ochai
Agbaji",UTA,30,G,6-5,215 lbs,1,,,,-,-,Alex Saratsis,-
"Josh
Christopher",UTA,13,G,6-4,215 lbs,2,,,,Bill Duffy/Isiah Turner,WME Sports,-,-
"Jordan
Clarkson",UTA,0,G,6-3,194 lbs,9,,,,-,-,Rich Paul,Klutch Sports Group
"John
Collins",UTA,20,F-C,6-9,226 lbs,6,,,,Sean Kennedy,Excel Sports Management,"Sean Kennedy, Jeff Schwartz",Excel Sports Management
"Kris
Dunn",UTA,11,G,6-3,205 lbs,7,,,,Bernie Lee,Thread Sports Management,Aaron Mintz,CAA Sports
"Simone
Fontecchio",UTA,16,F,6-7,209 lbs,1,,,,-,-,-,-
"Keyonte
George",UTA,3,G,6-4,185 lbs,1,,,,-,-,"Thad Foucher, Jason Ranne, Joe Smith",Wasserman
"Taylor
Hendricks",UTA,0,F,6-9,215 lbs,1,,,,-,-,Raymond Brothers,I AM Sports & Entertainment
"Talen
Horton-Tucker",UTA,5,G,6-4,234 lbs,4,,,,Lucas Newton,Klutch Sports Group,Rich Paul,Klutch Sports Group
"Johnny
Juzang",UTA,33,G,6-5,209 lbs,1,,,,-,-,-,-
"Walker
Kessler",UTA,24,C,7-0,245 lbs,1,,,,-,-,"Aaron Mintz, Dave Spahn",-
"Lauri
Markkanen",UTA,23,F-C,7-0,240 lbs,6,,,,Michael (Boris) Lelchitski,Sports International Group Inc.,-,-
"Kelly
Olynyk",UTA,41,F-C,6-11,240 lbs,10,,,,-,-,Greg Lawrence,Wasserman
"Micah
Potter",UTA,25,C,6-9,248 lbs,2,,,,Matt Slan/Keith Kreiter/Sam Cipriano,Edge Sports International,Mike Whitaker,-
"Luka
Samanic",UTA,19,F,6-10,227 lbs,4,,,,Mark Bartelstein/George Roussakis,Priority Sports & Entertainment,"Jason Ranne, Sead Galijasevic",Wasserman
"Brice
Sensabaugh",UTA,8,F,6-5,235 lbs,1,,,,-,-,"Jelani Floyd, Thaddeus Foucher, Joe Smith",Wasserman
"Collin
Sexton",UTA,2,G,6-3,190 lbs,5,,,,-,-,Rich Paul ,Klutch Sports Group
"Omer
Yurtseven",UTA,77,C,6-11,275 lbs,3,,,,Luke Glass and Keith Glass,Glass Global Sports Group and Off The Glass Entertainment,Keith Glass,-
