PLAYER,TEAM,NUMBER,POSITION,HEIGHT,WEIGHT,Yeara of Experince,Career Health,Seasonal Health,Percent of Reinjury, Fanspo Agent , Fanspo Agency, Spotrac Agent , Spotrac Agency
"Deni
Avdija",WAS,8,F,6-9,210 lbs,3,,,,Doug Neustadt and Maurizio Balducci,The Neustadt Group and ProTalent Agency,"Doug Neustadt, Maurizio Balducci",The Neustadt Group
"Patrick
Baldwin Jr.",WAS,7,F,6-9,220 lbs,1,,,,Andy Shiffman/Mark Bartelstein/Kieran Piller,Priority Sports & Entertainment,-,-
"Jared
Butler",WAS,4,G,6-3,193 lbs,2,,,,Kieran Piller/Mark Bartelstein,Priority Sports & Entertainment,-,-
"John
Butler Jr.",WAS,19,F,7-0,190 lbs,1,,,,Mike Naiditch,Naiditch Entertainment,Mike Naiditch,-
"Bilal
Coulibaly",WAS,0,G,6-8,195 lbs,1,,,,-,-,"Bouna Ndiaye, Jeremy Medjana",Comsport
"Johnny
Davis",WAS,1,G,6-4,195 lbs,1,,,,Anthony Coleman/Mike Lindeman,Excel Sports Management,"Mike Lindeman, Anthony Coleman",-
"Daniel
Gafford",WAS,21,F-C,6-10,234 lbs,4,,,,Shayaun Saee/Mike George,One Legacy Sports Management,-,-
"Danilo
Gallinari",WAS,88,F,6-10,236 lbs,15,,,,Michael Tellem,Excel Sports Management,Michael Tellem,CAA Sports
"Anthony
Gill",WAS,16,F,6-8,230 lbs,3,,,,Sean Kennedy/Jeff Schwartz,Excel Sports Management,-,-
"Tyus
Jones",WAS,5,G,6-1,196 lbs,8,,,,Kevin Bradbury,LIFT Sports Management,-,-
"Corey
Kispert",WAS,24,F,6-6,224 lbs,2,,,,Mark Bartelstein/Andy Shiffman,Priority Sports & Entertainment,-,-
"Kyle
Kuzma",WAS,33,F,6-9,221 lbs,6,,,,Austin Brown,CAA Sports,Austin Brown,CAA Sports
"Mike
Muscala",WAS,35,F-C,6-10,240 lbs,10,,,,Sean Kennedy,Excel Sports Management,"Michael Lindeman, Sean Kennedy",-
"Eugene
Omoruyi",WAS,97,F,6-6,235 lbs,2,,,,Shayaun Saee/Mike George,One Legacy Sports Management,"Todd Ramasar, Jaafar Choufani",-
"Jordan
Poole",WAS,13,G,6-4,194 lbs,4,,,,Drew Morrison/Austin Brown,CAA Sports,"Andrew Morrison, Austin Brown",CAA Sports
"Ryan
Rollins",WAS,9,G,6-3,180 lbs,1,,,,Brandon Grier/Mike Silverman,Equity Basketball,"Mike Silverman, Brandon Grier",-
"Landry
Shamet",WAS,20,G,6-4,190 lbs,5,,,,Jason Glushon and George Langberg,Glushon Sports Management and GSL Sports Group,"Happy David Walters, George Langberg",-
"Delon
Wright",WAS,55,G,6-5,185 lbs,8,,,,Greg Lawrence,Wasserman,Greg Lawrence,Wasserman
