Team Name,Player Number,Player Name,Position,Height,Weight,Age,Years of Experience, Fanspo Agent,Fanspo Agency, Spotrac Agent,Spotrac Agency
Arizona Cardinals,82,Andre Baccellia,WR,5-10,175,26,1,-,-,-,-
Arizona Cardinals,3,Budda Baker,DB,5-10,195,27,6,David Mulugheta,Athletes First,-,-
Arizona Cardinals,51,Krys Barnes,LB,6-2,229,25,3,-,-,-,-
Arizona Cardinals,68,Kelvin Beachum,OT,6-3,308,34,11,-,Relativity Sports,-,-
Arizona Cardinals,32,Joey Blount,DB,6-1,201,24,1,-,-,-,-
Arizona Cardinals,46,Aaron Brewer,LS,6-5,232,33,11,-,-,-,-
Arizona Cardinals,2,Marquise Brown,WR,5-9,170,26,4,-,-,Tory Dandy,CAA Sports
Arizona Cardinals,36,Andre Chachere,DB,6-0,200,27,2,-,Wasserman,-,-
Arizona Cardinals,13,Kei'Trel Clark,DB,5-10,179,--,1,-,-,-,-
Arizona Cardinals,23,Corey Clement,RB,5-10,220,29,6,David Moreno,Shah Sports Group,Sunny Shah,Shah Sports Group
Arizona Cardinals,25,Zaven Collins,LB,6-4,260,24,2,Joel Segal,WME Football,Joel Segal,SportFive
Arizona Cardinals,63,Trystan Colon-Castillo,C,6-3,313,25,3,Andrew Ross,Upper Edge Sports,Andy Ross,Upper Edge Sports
Arizona Cardinals,71,Dennis Daley,OT,6-6,325,27,4,Devin Brunson and Cody Recchion,1 of 1 Agency,"Cody Recchion, Andy Simms",1 of 1 Agency
Arizona Cardinals,31,Emari Demercado,RB,5-9,215,--,1,-,-,-,-
Arizona Cardinals,52,Victor Dimukeje,LB,6-2,265,23,2,Anthony Agnone,Eastern Athletic Services,-,Eastern Athletic Services
Arizona Cardinals,83,Greg Dortch,WR,5-7,175,25,2,Joby Branion,Vanguard Sports Group,Joby Branion,Vanguard Sports Group
Arizona Cardinals,19,Jeff Driskel,QB,6-4,231,30,7,Harold Lewis,National Sports Agency,Harold Lewis,National Sports Agency
Arizona Cardinals,95,Leki Fotu,DT,6-5,330,25,3,-,-,-,Reign Sports
Arizona Cardinals,72,Hjalte Froholdt,OG,6-5,310,27,4,Travis Allen,Athletes First,-,Athletes First
Arizona Cardinals,45,Dennis Gardeck,LB,6-0,232,29,5,Jonathan Feinsod,AMDG Sports,-,AMDG Sports
Arizona Cardinals,12,Blake Gillikin,P,6-2,196,25,3,-,-,-,-
Arizona Cardinals,33,Antonio Hamilton,DB,6-0,188,30,7,Drew Rosenhaus,Rosenhaus Sports Representation,Drew Rosenhaus,Rosenhaus Sports Representation
Arizona Cardinals,76,Will Hernandez,OG,6-2,335,28,5,Ryan Williams and Joe Panos and Blaine Roche,Athletes First,"Joe Panos, Blaine Roche, Ryan Williams",Athletes First
Arizona Cardinals,84,Elijah Higgins,TE,6-3,235,--,1,Christopher Cabott/ Sam Mirza and Derek Hawkridge,Equity Sports and Steinberg Sports & Entertainment,"Sam Mirza, Derek Hawkridge, Chris Cabott",Equity Sports
Arizona Cardinals,74,D.J. Humphries,OT,6-5,307,29,8,-,-,-,Self-Repped
Arizona Cardinals,30,Keaontay Ingram,RB,6-0,215,24,1,Shahin Aslani,Wasserman Media Group,-,Wasserman
Arizona Cardinals,60,Keith Ismael,C,6-3,309,25,3,Leigh Steinberg/ Matthew Steinberg,Leigh Steinberg Sports,"Chris Cabott, Leigh Steinberg, Matthew Steinberg",Equity Sports
Arizona Cardinals,70,Paris Johnson,OT,6-6,310,--,1,"Michael Simon/Adam Heller/Gregory Diulus
/Samuel Spina",Vantage Management Group,"Adam Heller, Gregory Diulus, Samuel Spina, Michael Simon",Vantage Management Group
Arizona Cardinals,37,Tony Jones,RB,5-11,224,25,2,-,-,-,-
Arizona Cardinals,28,Qwuantrezz Knight,DB,6-0,199,26,1,-,-,-,-
Arizona Cardinals,93,Jonathan Ledbetter,DE,6-4,280,26,2,-,-,-,Element Sports Group
Arizona Cardinals,98,Roy Lopez,DT,6-2,318,26,2,Ryan Beane,UA Sports,-,UA Sports
Arizona Cardinals,43,Jesse Luketa,LB,6-3,247,24,1,Damarius Bilbo,Klutch Sports Group,-,Klutch Sports Group
Arizona Cardinals,85,Trey McBride,TE,6-3,249,23,1,-,-,-,-
Arizona Cardinals,4,Rondale Moore,WR,5-7,180,23,2,Chafie Fields,Wasserman Media Group,Chafie Fields,Wasserman
Arizona Cardinals,61,Carter O'Donnell,OT,6-5,313,24,2,-,-,-,-
Arizona Cardinals,18,BJ Ojulari,LB,6-2,248,--,1,Martin Fischman,Ballengee Group,-,Ballengee Group
Arizona Cardinals,44,Owen Pappoe,LB,6-1,225,--,1,-,-,-,-
Arizona Cardinals,0,Zach Pascal,WR,6-2,219,28,5,David Moreno,Shah Sports Group,Sunny Shah,Shah Sports Group
Arizona Cardinals,5,Matt Prater,K,5-10,201,39,16,-,-,-,-
Arizona Cardinals,26,Bobby Price,DB,6-4,205,25,3,Justin Ross,Dynamic Sports Group,"Greg Brookey, Justin Ross",-
Arizona Cardinals,55,Dante Stills,DT,6-4,280,--,1,-,-,-,-
Arizona Cardinals,92,Kevin Strong,DE,6-4,285,27,4,-,-,-,-
Arizona Cardinals,87,Geoff Swaim,TE,6-4,260,30,8,Derrick Fox,-,Derrick Fox,Derrick Fox Inc
Arizona Cardinals,97,Cameron Thomas,LB,6-5,270,23,2,Christopher Cabott,Equity Sports,-,-
Arizona Cardinals,24,Starling Thomas,DB,5-10,194,--,1,-,-,-,-
Arizona Cardinals,34,Jalen Thompson,DB,5-11,190,25,4,-,-,-,-
Arizona Cardinals,15,Clayton Tune,QB,6-2,216,--,1,Travis Allen,Athletes First,-,Athletes First
Arizona Cardinals,47,Ezekiel Turner,LB,6-2,214,27,5,Ray Haija ,YOUNG MONEY APAA SPORTS,Ray Haija ,-
Arizona Cardinals,7,Kyzir White,LB,6-2,218,27,5,Todd France,Athletes First,"Tory Dandy, Todd France, Jimmy Sexton",CAA Sports
Arizona Cardinals,89,Blake Whiteheart,TE,6-4,249,--,1,-,-,-,-
Arizona Cardinals,21,Garrett Williams,DB,5-10,192,--,1,Charles Lilly,WME Sports,-,WME Sports
Arizona Cardinals,20,Marco Wilson,DB,5-11,187,24,2,Robert Bailey,Rosenhaus Sports Representation,Robert Bailey,Rosenhaus Sports
Arizona Cardinals,14,Michael Wilson,WR,6-2,209,--,1,Travis Allen,Athletes First,-,Athletes First
Arizona Cardinals,10,Josh Woods,LB,6-1,204,27,4,-,-,-,-
Arizona Cardinals,91,L.J. Collier,DE,6-3,291,28,4,Scott Casterline,Team Sports Agency,-,Team Sports Agency
Arizona Cardinals,6,James Conner,RB,6-1,233,28,6,Jeffrey Sperbeck,Rep 1 Sports Group,-,Rep 1 Sports Group
Arizona Cardinals,50,Pat Elflein,C,6-2,303,29,6,Daniel Connell,IHC Sports,-,IHC Sports
Arizona Cardinals,86,Zach Ertz,TE,6-5,250,32,10,Steve Caric,Wasserman Media Group,Steve Caric,Caric Sports Management
Arizona Cardinals,24,Rashad Fenton,DB,5-11,188,26,4,Donald Weatherell,Ballengee Group,"Bus Cook, Donald Weatherell",Bus Cook Sports
Arizona Cardinals,59,Jon Gaines,OG,6-4,300,--,1,Sam Mirza and Cameron Foster,Equity Sports and Steinberg Sports & Entertainment,Sam Mirza and Cameron Foster,Equity Sports
Arizona Cardinals,39,Matt Hembrough,LS,6-3,220,--,1,-,-,-,-
Arizona Cardinals,32,Marlon Mack,RB,5-11,210,27,6,-,-,-,Goal Line Sports
Arizona Cardinals,48,Kyler McMichael,DB,6-0,202,23,1,-,-,-,-
Arizona Cardinals,94,Carlos Watkins,DT,6-3,305,29,6,Joby Branion,Vanguard Sports Group,Joby Branion,Vanguard Sports Group
Arizona Cardinals,65,Elijah Wilkinson,OG,6-4,329,28,6,Chase Callahan,REP 1 Football,Chase Callahan,Rep 1 Sports
Arizona Cardinals,1,Kyler Murray,QB,5-10,207,26,4,Erik Burkhardt,Roc Nation Sports,Erik Burkhardt,Roc Nation Sports
Arizona Cardinals,87,Daniel Arias,WR,6-4,220,--,1,-,-,-,-
Arizona Cardinals,96,Eric Banks,DE,6-5,274,25,2,-,-,-,-
Arizona Cardinals,66,Jackson Barton,OT,6-7,302,28,4,Murphy McGuire/Jeremy Newberry/Casey Muir,Octagon,"Jeremy Newberry, Casey Muir, Murphy McGuire",Octagon
Arizona Cardinals,10,Davion Davis,WR,5-11,195,27,3,Joseph Frio,Enter-Sports Management,-,Enter-Sports Management
Arizona Cardinals,39,Kaden Davis,WR,6-1,190,25,1,-,-,-,-
Arizona Cardinals,73,Vitaliy Gurman,OG,6-4,310,25,1,-,-,-,-
Arizona Cardinals,22,Hassan Hall,RB,5-10,196,--,1,-,-,-,-
Arizona Cardinals,78,Marquis Hayes,OG,6-5,324,24,1,Joby Branion,Vanguard Sports Group,-,Vanguard Sports Group
Arizona Cardinals,79,Phil Hoskins,DT,6-5,280,26,1,Fred Howard,Authentic Athletix,-,Authentic Athletix
Arizona Cardinals,--,Tyreek Maddox-Williams,LB,6-0,228,26,1,-,-,-,-
Arizona Cardinals,80,Bernhard Seikovits,TE,6-5,262,--,1,-,-,-,-
Arizona Cardinals,90,Ben Stille,DT,6-4,296,25,1,-,-,-,-
Arizona Cardinals,--,Kendal Vickers,DT,6-3,295,28,3,-,-,-,-
Arizona Cardinals,27,Divaad Wilson,DB,6-0,195,--,1,-,-,-,-
Arizona Cardinals,75,Hayden Howerton,OG,6-3,300,24,1,-,-,-,-
Arizona Cardinals,29,Damien Williams,RB,5-11,221,31,8,-,-,-,Ultimate Sports Agency
