Team Name,Player Number,Player Name,Position,Height,Weight,Age,Years of Experience, Fanspo Agent,Fanspo Agency, Spotrac Agent,Spotrac Agency
Atlanta Falcons,29,Micah Abernathy,DB,6-0,196,26,1,Markeeth Taylor,Play 2 Win Sports,-,Play 2 Win Sports
Atlanta Falcons,20,DeAundre Alford,DB,5-11,175,26,1,-,-,-,-
Atlanta Falcons,25,Tyler Allgeier,RB,5-11,220,--,1,Travis Allen,Athletes First,-,Athletes First
Atlanta Falcons,3,Jessie Bates III,DB,6-1,200,26,5,David Mulugheta,Athletes First,David Mulugheta,Athletes First
Atlanta Falcons,74,Travis Bell,DT,6-0,310,--,1,-,-,-,-
Atlanta Falcons,65,Matthew Bergeron,OT,6-5,323,--,1,Jeffrey Sperbeck,Rep 1 Sports Group,-,Rep 1 Sports Group
Atlanta Falcons,93,Calais Campbell,DE,6-8,282,37,15,-,-,Tom Condon,CAA Sports
Atlanta Falcons,0,Lorenzo Carter,LB,6-5,252,27,5,Joel Segal,WME Football,"Joel Segal, Greg Barnett",Lagardere Sports
Atlanta Falcons,67,Drew Dalman,C,6-3,300,25,2,Steve Caric,Wasserman Media Group,Steve Caric,Caric Sports Management
Atlanta Falcons,50,Tae Davis,LB,6-0,222,27,5,David Canter,GSE Worldwide Football,David Canter,-
Atlanta Falcons,48,Alvin Dupree,LB,6-4,269,30,-,Todd France and Brian Ayrault,Athletes First and WME Football,-,-
Atlanta Falcons,17,Arnold Ebiketie,LB,6-3,256,--,1,Damarius Bilbo,Klutch Sports Group,-,Klutch Sports Group
Atlanta Falcons,55,Kaden Elliss,LB,6-2,238,28,4,Ethan Lock,First Round Management,Ethan Lock,First Round Management
Atlanta Falcons,87,John FitzPatrick,TE,6-7,250,23,1,Daniel Connell,IHC Sports,-,IHC Sports
Atlanta Falcons,33,Tre Flowers,DB,6-3,200,28,5,Jason Chayut,"SPORTSTARS, INC.",Jason Chayut,"SPORTSTARS, INC."
Atlanta Falcons,99,Joe Gaziano,DE,6-4,275,27,2,-,-,-,-
Atlanta Falcons,95,Ta'Quon Graham,DT,6-4,294,24,2,Rick Smith,Priority Sports & Entertainment,-,Priority Sports & Entertainment
Atlanta Falcons,27,Richie Grant,DB,6-0,200,25,2,Harold Bicknell,Gate City Athletics,-,Gate City Athletics
Atlanta Falcons,56,Jovaughn Gwyn,OG,6-2,301,--,1,-,-,-,-
Atlanta Falcons,96,Zach Harrison,DE,6-6,272,--,1,Travis Allen,Athletes First,-,Athletes First
Atlanta Falcons,4,Taylor Heinicke,QB,6-1,210,30,5,Christopher Cabott,Equity Sports,Chris Cabott,Equity Sports
Atlanta Falcons,37,DeMarcco Hellams,DB,6-1,213,--,1,-,-,-,-
Atlanta Falcons,68,Kyle Hinton,OG,6-2,295,25,1,William Heck,"SPORTSTARS, INC.",-,"SPORTSTARS, INC."
Atlanta Falcons,12,Khadarel Hodge,WR,5-11,183,28,5,-,-,-,-
Atlanta Falcons,18,Mack Hollins,WR,6-4,221,30,6,Jeffrey Sperbeck,Rep 1 Sports Group,-,Rep 1 Sports Group
Atlanta Falcons,94,Albert Huggins,DT,6-3,305,26,2,Casey Muir,Octagon,Casey Muir,Octagon
Atlanta Falcons,21,Mike Hughes,DB,5-10,189,27,5,-,-,Chris Ellison,First Picks Sports
Atlanta Falcons,15,Van Jefferson,WR,6-1,200,27,3,Everett Levy,Goal Line Football,-,Goal Line Football
Atlanta Falcons,6,Younghoe Koo,K,5-9,185,29,4,Brooks Henderson,International Sports Advisors,Brooks Henderson,International Sports Advisors
Atlanta Falcons,53,Nate Landman,LB,6-3,235,24,-,-,-,-,-
Atlanta Falcons,63,Chris Lindstrom,OG,6-3,307,26,4,Bradley Blank,Brad Blank & Associates,Bradley Blank,Brad Blank & Associates
Atlanta Falcons,5,Drake London,WR,6-4,213,22,1,Erik Burkhardt,Roc Nation Sports,Uche Anyanwu,Roc Nation Sports
Atlanta Falcons,51,DeAngelo Malone,LB,6-4,240,24,1,Anthony Bendana,Sports Law and Management (SLAM),-,SLAM
Atlanta Falcons,70,Jake Matthews,OT,6-5,309,31,9,Ryan Williams,Athletes First,Ryan Williams,Athletes First
Atlanta Falcons,49,Liam McCullough,LS,6-2,247,--,1,-,-,-,-
Atlanta Falcons,76,Kaleb McGary,OT,6-6,306,28,4,Cameron Foster,Steinberg Sports & Entertainment,Cameron Foster,Reign Sports
Atlanta Falcons,16,Scott Miller,WR,5-9,174,26,4,Drew Rosenhaus,-,Drew Rosenhaus,Rosenhaus Sports
Atlanta Falcons,64,Ryan Neuzil,OG,6-3,301,26,1,-,-,-,-
Atlanta Falcons,77,Storm Norton,OT,6-7,317,29,3,Jeremy Cohen,JL Sports,-,JL Sports
Atlanta Falcons,1,Jeffrey Okudah,DB,6-1,202,24,-,Kevin Conner,"Universal Sports & Entertainment Managment,LLC",-,-
Atlanta Falcons,90,David Onyemata,DT,6-3,300,30,7,-,-,-,-
Atlanta Falcons,84,Cordarrelle Patterson,RB,6-2,220,32,10,Sean Kiernan,Athletes First,Sean Kiernan,Select Sports Group
Atlanta Falcons,34,Clark Phillips,DB,5-10,183,--,1,David Canter,GSE Worldwide Football,-,GSE Worldwide Football
Atlanta Falcons,13,Bradley Pinion,P,6-5,229,29,8,Kyle Strongin,Range Sports,Kyle Strongin,-
Atlanta Falcons,8,Kyle Pitts,TE,6-6,246,23,2,David Mulugheta and Andre Odom,Athletes First,David Mulugheta and Andre Odom,Athletes First
Atlanta Falcons,85,MyCole Pruitt,TE,6-2,258,31,7,Harold Lewis,National Sports Agency,Harold Lewis,National Sports Agency
Atlanta Falcons,9,Desmond Ridder,QB,6-3,207,24,1,Kyle Dolan,VaynerSports,-,VaynerSports
Atlanta Falcons,7,Bijan Robinson,RB,5-11,215,--,1,Nicole Lynn,Klutch Sports Group,Nicole Lynn,Klutch Sports Group
Atlanta Falcons,81,Jonnu Smith,TE,6-3,248,28,6,Robert Bailey,Rosenhaus Sports Representation,-,Rosenhaus Sports Representation
Atlanta Falcons,40,Keith Smith,RB,6-0,240,31,-,-,-,-,-
Atlanta Falcons,75,Kentavius Street,DT,6-2,287,27,4,Murphy McGuire,Octagon,Murphy McGuire,Octagon
Atlanta Falcons,24,A.J. Terrell,DB,6-1,195,25,3,David Mulugheta,Athletes First,David Mulugheta,Athletes First
Atlanta Falcons,11,Logan Woodside,QB,6-2,201,28,3,Christopher Cabott,Equity Sports,Christopher Cabott,Equity Sports
Atlanta Falcons,80,Josh Ali,WR,6-0,193,24,1,-,-,-,-
Atlanta Falcons,44,Troy Andersen,LB,6-4,235,24,1,Jeffrey Sperbeck,Rep 1 Sports Group,-,Rep 1 Sports Group
Atlanta Falcons,79,Ikenna Enechukwu,LB,6-4,266,--,1,-,-,-,-
Atlanta Falcons,15,Feleipe Franks,TE,6-6,234,25,2,Matthew Lowe,OSMG Midwest LLC,-,OSMG
Atlanta Falcons,71,Ethan Greenidge,OT,6-4,335,26,3,Joseph Frio,Enter-Sports Management,-,Enter-Sports Management
Atlanta Falcons,61,Matt Hennessy,C,6-3,307,25,3,Jeffrey Sperbeck,Rep 1 Sports Group,-,Rep 1 Sports Group
Atlanta Falcons,97,Grady Jarrett,DT,6-0,305,30,8,Todd France,Athletes First,Todd France,CAA Sports
Atlanta Falcons,72,LaCale London,DL,6-5,280,26,1,-,-,-,-
Atlanta Falcons,92,Adetokunbo Ogundeji,LB,6-4,268,25,2,Shahin Aslani,Wasserman Media Group,"Doug Hendrickson, C.J. Laboy",Wasserman
Atlanta Falcons,35,Avery Williams,RB,5-9,195,25,1,David Canter,GSE Worldwide Football,David Canter,-
Atlanta Falcons,17,Chris Blair,WR,6-2,198,26,1,-,-,-,-
Atlanta Falcons,35,Natrone Brooks,DB,5-11,176,--,1,-,-,-,-
