Team Name,Player Number,Player Name,Position,Height,Weight,Age,Years of Experience, Fanspo Agent,Fanspo Agency, Spotrac Agent,Spotrac Agency
Baltimore Ravens,15,Nelson Agholor,WR,6-0,198,30,8,Eugene Parker Jr,Maximum Sports Marketing,Eugene Parker,Relativity Sports
Baltimore Ravens,89,Mark Andrews,TE,6-5,247,28,5,Justin Schulman,"Athletes First
",Justin Schulman,"Athletes First
"
Baltimore Ravens,5,Jalyn Armour-Davis,DB,6-1,195,24,1,Erik Burkhardt,Roc Nation Sports,-,Roc Nation Sports
Baltimore Ravens,71,Malaesala Aumavae-Laulu,OT,6-5,325,--,1,-,-,-,-
Baltimore Ravens,7,Rashod Bateman,WR,6-1,197,23,2,Luke Inveiss/Blake Baratz and Case Donahue,The Institute for Athletes and VaynerSports,"Blake Baratz, Luke Inveiss, Case Donahue",The Institute for Athletes
Baltimore Ravens,3,Odell Beckham Jr.,WR,5-11,198,31,8,Zeke Sandhu,Klutch Sports Group,Zeke Sandhu,Elite Athlete Management
Baltimore Ravens,66,Ben Cleveland,OG,6-6,370,25,2,-,-,-,Element Sports Group
Baltimore Ravens,24,Jadeveon Clowney,LB,6-5,266,30,8,Bus Cook,BC Sports,-,-
Baltimore Ravens,28,Ronald Darby,DB,5-11,193,29,8,-,-,Tory Dandy,Relativity Sports
Baltimore Ravens,13,Devin Duvernay,WR,5-11,202,26,3,William McElroy,Select Sports Group,-,Select Sports Group
Baltimore Ravens,35,Gus Edwards,RB,6-1,238,28,5,Drew Rosenhaus,Rosenhaus Sports Representation,Drew Rosenhaus,Rosenhaus Sports Representation
Baltimore Ravens,77,Daniel Faalele,OT,6-8,380,23,1,Travis Allen,Athletes First,-,Athletes First
Baltimore Ravens,4,Zay Flowers,WR,5-9,182,--,1,Zachary Hiller,LAA Sports,"Zachary Hiller, Matt Leist",LAA Sports
Baltimore Ravens,14,Kyle Hamilton,DB,6-4,221,22,1,Travis Allen,Athletes First,-,Athletes First
Baltimore Ravens,40,Malik Harrison,LB,6-3,259,25,3,Drew Rosenhaus,Rosenhaus Sports Representation,Drew Rosenhaus,Rosenhaus Sports Representation
Baltimore Ravens,43,Justice Hill,RB,5-10,200,25,4,Andrew Kessler,Athletes First,Andrew Kessler,Athletes First
Baltimore Ravens,44,Marlon Humphrey,DB,6-0,205,27,6,Shahin Aslani,Wasserman Media Group,-,Wasserman
Baltimore Ravens,2,Tyler Huntley,QB,6-1,204,25,3,-,-,-,-
Baltimore Ravens,8,Lamar Jackson,QB,6-2,230,26,5,-,-,Self-Repped,Self-Repped
Baltimore Ravens,17,Josh Johnson,QB,6-2,201,37,8,Shahin Aslani,Wasserman Media Group,Doug Hendrickson,Wasserman
Baltimore Ravens,98,Travis Jones,DT,6-4,334,24,1,William Heck,"SPORTSTARS, INC.",-,SportStars
Baltimore Ravens,88,Charlie Kolar,TE,6-6,250,24,1,-,-,-,Caric Sports Management
Baltimore Ravens,80,Isaiah Likely,TE,6-4,241,23,1,Damarius Bilbo,Klutch Sports Group,-,Klutch Sports Group
Baltimore Ravens,64,Tyler Linderbaum,C,6-2,305,23,1,Neil Cornrich,"NC Sports, LLC ",Neil Cornrich,"NC Sports, LLC "
Baltimore Ravens,92,Justin Madubuike,DT,6-3,293,25,3,Scott Casterline,"Team Sports Agency
",-,"Team Sports Agency
"
Baltimore Ravens,10,Arthur Maulet,DB,5-9,190,30,6,-,-,-,-
Baltimore Ravens,65,Patrick Mekari,OT,6-4,305,26,4,Noel LaMontagne,"Compass Sports Advisors, LLC
",-,"Compass Sports Advisors, LLC
"
Baltimore Ravens,34,Keaton Mitchell,RB,5-8,186,--,1,-,-,-,-
Baltimore Ravens,78,Morgan Moses,OT,6-6,320,32,1,Andrew Ross,Upper Edge Sports,Andy Ross,Upper Edge Sports
Baltimore Ravens,61,Sam Mustipher,C,6-3,306,27,3,-,-,-,-
Baltimore Ravens,69,Tyler Ott,LS,6-3,252,31,8,-,-,-,-
Baltimore Ravens,99,Jayson Oweh,LB,6-5,257,24,-,-,-,-,-
Baltimore Ravens,53,Del'Shawn Phillips,LB,6-2,230,27,3,-,-,-,-
Baltimore Ravens,58,Michael Pierce,DT,6-0,355,31,6,Damarius Bilbo,Klutch Sports Group,Damarius Bilbo,Klutch Sports Group
Baltimore Ravens,6,Patrick Queen,LB,6-0,237,24,3,Martin Fischman/Stanley Wiltz/Donald Weatherell,Ballengee Group,"Martin Fischman, Donald Weatherell, Stanley Wiltz",Fischman & Wiltz Sports
Baltimore Ravens,42,Patrick Ricard,RB,6-3,305,29,6,Andrew Baker,Exclusive Sports Group ,-,Exclusive Sports Group 
Baltimore Ravens,95,Tavius Robinson,LB,6-6,258,--,1,Murphy McGuire,Octagon,-,Octagon
