Team Name,Player Number,Player Name,Position,Height,Weight,Age,Years of Experience, Fanspo Agent,Fanspo Agency, Spotrac Agent,Spotrac Agency
Buffalo Bills,17,Josh Allen,QB,6-5,237,27,5,Patrick Collins and Todd France,CAA Football and Athletes First,"Tom Condon, Todd France, Patrick Collins, Jim Denton",CAA Sports
Buffalo Bills,9,Kyle Allen,QB,6-3,210,27,4,-,-,-,-
Buffalo Bills,70,Alec Anderson,OT,6-5,305,24,1,-,-,-,-
Buffalo Bills,2,Tyler Bass,K,5-10,183,26,3,William Heck,"SPORTSTARS, INC.",-,"SPORTSTARS, INC."
Buffalo Bills,71,Ryan Bates,OG,6-4,302,26,4,Noel LaMontagne,"Compass Sports Advisors, LLC",-,Compass Sports Advisors
Buffalo Bills,47,Christian Benford,DB,6-1,205,23,1,Joseph Frio,Enter-Sports Management,-,Enter-Sports Management
Buffalo Bills,43,Terrel Bernard,LB,6-1,224,24,1,William Heck,"SPORTSTARS, INC.",-,"SPORTSTARS, INC."
Buffalo Bills,79,Spencer Brown,OT,6-8,311,25,2,Jeffrey Sperbeck,"Rep 1 Sports Group
",-,"Rep 1 Sports Group
"
Buffalo Bills,4,James Cook,RB,5-11,190,24,1,Zachary Hiller,LAA Sports,-,LAA Sports
Buffalo Bills,13,Gabriel Davis,WR,6-2,210,24,3,Erik Burkhardt,Roc Nation Sports,-,Roc Nation Sports
Buffalo Bills,73,Dion Dawkins,OT,6-5,320,29,3,-,-,-,Lagardere Sports
Buffalo Bills,14,Stefon Diggs,WR,6-0,191,29,8,Adisa Bakari,The Sports & Entertainment Group,"Adisa Bakari, Jeffrey Whitney",Kelley Drye & Warren
Buffalo Bills,25,Tyrel Dodson,LB,6-0,237,25,3,Zeke Sandhu,Klutch Sports Group,Zeke Sandhu,Elite Athlete Management
Buffalo Bills,31,Rasul Douglas,DB,6-2,209,30,6,Damarius Bilbo,Klutch Sports Group,Damarius Bilbo,Klutch Sports Group
Buffalo Bills,76,David Edwards,OG,6-6,308,26,4,Joe Panos / Blaine Roche/Brian Murphy,Athletes First,"Joe Panos, Brian Murphy, Blaine Roche",Athletes First
Buffalo Bills,57,A.J. Epenesa,DE,6-6,260,25,3,-,-,-,CAA Sports
Buffalo Bills,69,Reid Ferguson,LS,6-2,235,29,6,-,-,-,-
Buffalo Bills,56,Leonard Floyd,DE,6-3,240,31,7,Todd France and Brian Ayrault,Athletes First and WME Football,"Todd France, Brian Ayrault",CAA Sports
Buffalo Bills,98,Poona Ford,DT,5-11,310,27,5,Murphy McGuire,Octagon,-,Octagon
Buffalo Bills,41,Reggie Gilliam,RB,6-0,244,26,3,-,-,-,-
Buffalo Bills,3,Damar Hamlin,DB,6-0,200,25,2,Alexander Broers,"Vantage Management Group
",-,"Vantage Management Group
"
Buffalo Bills,11,Deonte Harty,WR,5-6,170,25,4,Shane Costa,Generation Sports Group,Shane Costa,Generation Sports Group
Buffalo Bills,23,Micah Hyde,DB,6-0,197,32,10,Jack Bechta,JB Sports Inc.,Jack Bechta,JB Sports Inc.
Buffalo Bills,68,Germain Ifedi,OG,6-5,325,29,7,Spencer Cannold,JL Sports,Spencer Cannold,JL Sports
Buffalo Bills,30,Dane Jackson,DB,5-11,180,26,3,William Heck,"SPORTSTARS, INC.",-,"SPORTSTARS, INC."
Buffalo Bills,7,Taron Johnson,DB,5-11,192,27,5,Jason Chayut,"SPORTSTARS, INC.",Jason Chayut,"SPORTSTARS, INC."
Buffalo Bills,26,Ty Johnson,RB,5-10,210,26,4,Jason Bernstein,Clarity Football,Jason Bernstein,Clarity Football
Buffalo Bills,59,Kingsley Jonathan,DE,6-4,260,25,1,-,-,-,-
Buffalo Bills,93,Linval Joseph,DT,6-4,328,35,13,-,-,Bill Johnson,-
Buffalo Bills,86,Dalton Kincaid,TE,6-4,240,--,1,Ryan Tollner/ Chase Callahan,REP 1 Football,Ryan Tollner/ Chase Callahan,Rep 1 Sports
Buffalo Bills,52,A.J. Klein,LB,6-1,240,32,9,-,-,Scott Smith,XAM Sports
Buffalo Bills,90,Shaq Lawson,DE,6-3,265,29,7,-,-,Tory Dandy,Relativity Sports
Buffalo Bills,39,Cameron Lewis,DB,5-9,183,26,-,-,-,-,-
Buffalo Bills,8,Sam Martin,P,6-1,205,33,10,Erik Burkhardt,Roc Nation Sports,Erik Burkhardt,-
Buffalo Bills,44,Tyler Matakevich,LB,6-1,235,30,7,William Heck,"SPORTSTARS, INC.",-,"SPORTSTARS, INC."
Buffalo Bills,66,Connor McGovern,OG,6-5,316,26,4,"Joel Segal/Geoff Garmhausen
",WME Football,"Joel Segal, Greg Barnett, Chafie Fields, Geoff Garmhausen",Lagardere Sports
Buffalo Bills,40,Von Miller,LB,6-3,250,34,12,Joby Branion,Vanguard Sports Group,Joby Branion,Vanguard Sports Group
Buffalo Bills,85,Quintin Morris,TE,6-2,252,24,1,-,-,-,-
Buffalo Bills,60,Mitch Morse,C,6-6,305,31,8,Anthony Agnone,Eastern Athletic Services,-,Eastern Athletic Services
Buffalo Bills,28,Latavius Murray,RB,6-3,230,33,10,Jeffrey Sperbeck,Rep 1 Sports Group,-,Rep 1 Sports Group
Buffalo Bills,33,Siran Neal,DB,6-0,206,29,5,Melvin Bratton,MB5 Sports Group,Melvin Bratton,Paramount Sports
Buffalo Bills,91,Ed Oliver,DT,6-1,287,25,4,Joel Segal,WME Football,Joel Segal,Lagardere Sports
Buffalo Bills,97,Jordan Phillips,DT,6-6,341,31,8,Kelli Masters,KMM Sports,Kelli Masters,KMM Sports
Buffalo Bills,21,Jordan Poyer,DB,6-0,191,32,10,Drew Rosenhaus,Rosenhaus Sports Representation,Drew Rosenhaus,Rosenhaus Sports
Buffalo Bills,20,Taylor Rapp,DB,6-0,208,25,4,Shahin Aslani,Wasserman Media Group,"Doug Hendrickson, C.J. Laboy",Wasserman
Buffalo Bills,50,Gregory Rousseau,DE,6-6,266,23,-,David Canter,GSE Worldwide Football,-,-
Buffalo Bills,99,Tim Settle,DT,6-3,313,26,5,Andrew Ross,Upper Edge Sports,Andy Ross,Upper Edge Sports
Buffalo Bills,10,Khalil Shakir,WR,6-0,190,23,1,Derek Hawkridge and Sam Mirza/ Christopher Cabott,Steinberg Sports & Entertainment and Equity Sports,"Sam Mirza, Derek Hawkridge, Chris Cabott",Equity Sports
Buffalo Bills,16,Trent Sherfield,WR,6-1,205,27,5,-,-,-,-
Buffalo Bills,54,Baylon Spector,LB,6-0,233,25,1,-,-,-,MVA Sports
Buffalo Bills,64,O'Cyrus Torrence,OG,6-5,347,--,1,-,-,-,MVA Sports
Buffalo Bills,74,Ryan Van Demark,OT,6-6,307,25,1,-,-,-,-
Buffalo Bills,42,Dorian Williams,LB,6-2,230,--,1,William Heck,"SPORTSTARS, INC.",-,"SPORTSTARS, INC."
Buffalo Bills,40,Zach Davidson,TE,6-7,245,--,1,Stephen Dubin,"Yee & Dubin Sports, LLC
",-,Yee & Dubin Sports
Buffalo Bills,72,Tommy Doyle,OT,6-8,320,27,2,Jeremy Cohen,JL Sports,-,JL Sports
