Team Name,Player Number,Player Name,Position,Height,Weight,Age,Years of Experience, Fanspo Agent,Fanspo Agency, Spotrac Agent,Spotrac Agency
Carolina Panthers,90,Amaré Barno,LB,6-6,245,24,1,-,-,-,-
Carolina Panthers,24,Vonn Bell,DB,5-11,205,28,7,David Canter,GSE Worldwide Football,David Canter,DEC Management
Carolina Panthers,3,Raheem Blackshear,RB,5-9,190,24,1,-,-,-,-
Carolina Panthers,32,Dicaprio Bootle,DB,5-10,180,26,1,-,-,-,-
Carolina Panthers,56,Bradley Bozeman,C,6-5,325,28,5,Seth Katz,"AMG Pro Sports
","Joe Linta, Seth Katz",JL Sports
Carolina Panthers,95,Derrick Brown,DT,6-5,320,25,3,Drew Rosenhaus,Rosenhaus Sports Representation,Drew Rosenhaus,Rosenhaus Sports Representation
Carolina Panthers,0,Brian Burns,LB,6-5,250,25,4,Todd France,Athletes First,Todd France,CAA Sports
Carolina Panthers,17,D.J. Chark,WR,6-3,200,27,5,-,-,-,-
Carolina Panthers,27,Alex Cook,DB,6-1,196,--,1,-,-,-,-
Carolina Panthers,63,Austin Corbett,OG,6-4,305,28,5,Chase Callahan/Ryan Tollner,REP 1 Football,"Chase Callahan, Ryan Tollner",REP 1 Football
Carolina Panthers,14,Andy Dalton,QB,6-2,220,36,12,William McElroy,Select Sports Group,Jeff Nalley,Select Sports Group
Carolina Panthers,79,Ikem Ekwonu,OT,6-4,320,23,1,Jaymeson Moten,VaynerSports,"Mike McCartney, Jaymeson Moten",VaynerSports
Carolina Panthers,41,Matthias Farley,DB,5-11,210,31,7,Kyle McCarthy,Athletes First,Kyle McCarthy,Athletes First
Carolina Panthers,42,Sam Franklin,DB,6-3,210,27,3,Harold Lewis/ Chad Berger/Ezra Thompson,National Sports Agency,"Harold Lewis, Ezra Thompson, Jim Tarquin",National Sports Agency
Carolina Panthers,54,Kamu Grugier-Hill,LB,6-2,220,29,7,Steve Caric,Wasserman Media Group,Steve Caric,Caric Sports Management
Carolina Panthers,10,Johnny Hekker,P,6-5,225,33,11,Jon Baker,ProStar Sports Agency,-,ProStar Sports Agency
Carolina Panthers,23,C.J. Henderson,DB,6-1,205,25,3,Erik Burkhardt,Roc Nation Sports,Kim Miale,Roc Nation Sports
Carolina Panthers,13,Troy Hill,DB,5-10,182,32,7,Sean Kiernan,Athletes First,Sean Kiernan,Select Sports Group
Carolina Panthers,30,Chuba Hubbard,RB,6-1,210,24,2,Travis Allen,Athletes First,-,Athletes First
Carolina Panthers,81,Hayden Hurst,TE,6-4,245,30,5,William Heck,"SPORTSTARS, INC.",-,SportStars
Carolina Panthers,26,Donte Jackson,DB,5-10,180,27,4,Donald Weatherell,Ballengee Group,"Bus Cook, Donald Weatherell, Madison Howard",Bus Cook Sports
Carolina Panthers,29,D'Shawn Jamison,DB,5-9,186,--,1,-,-,-,-
Carolina Panthers,44,J.J. Jansen,LS,6-2,235,37,15,Jon Baker,ProStar Sports Agency,-,ProStar Sports Agency
Carolina Panthers,66,Nash Jensen,OG,6-4,328,--,1,-,-,-,-
Carolina Panthers,52,D.J. Johnson,LB,6-4,260,--,1,-,-,-,Vayner Sports
Carolina Panthers,40,Deion Jones,LB,6-1,222,28,7,Jason Rosenhaus,Rosenhaus Sports Representation,Jason Rosenhaus,Rosenhaus Sports Representation
Carolina Panthers,61,Ricky Lee,OT,6-5,289,--,1,-,-,-,-
Carolina Panthers,20,David Long,DB,5-11,196,25,4,Ryan Williams,Athletes First,Ryan Williams,Athletes First
Carolina Panthers,49,Frankie Luvu,LB,6-3,235,27,5,-,-,-,-
Carolina Panthers,88,Terrace Marshall,WR,6-2,200,23,2,Vincent Taylor,Elite Loyalty Sports,-,Elite Loyalty Sports
Carolina Panthers,68,Cade Mays,OG,6-6,325,24,1,Murphy McGuire,Octagon,-,Octagon
Carolina Panthers,15,Jonathan Mingo,WR,6-2,220,--,1,-,-,-,CAA Sports
Carolina Panthers,72,Taylor Moton,OT,6-5,325,29,6,-,-,-,Lagardere Sports
Carolina Panthers,4,Eddy Pineiro,K,5-11,190,28,4,-,-,-,-
