Team Name,Player Number,Player Name,Position,Height,Weight,Age,Years of Experience, Fanspo Agent,Fanspo Agency, Spotrac Agent,Spotrac Agency
Chicago Bears,17,Tyson Bagent,QB,6-3,213,--,1,-,-,-,-
Chicago Bears,97,Andrew Billings,DT,6-1,311,28,6,"Patrick Dye, Jr.",SportsTrust Advisors,"Pat Dye Jr., Bill Johnson",SportsTrust Advisors
Chicago Bears,35,Khari Blasingame,RB,6-0,233,27,4,Nate Litwin,"ProSet Athlete Advisors, LLC",-,ProSet Athlete Advisors
Chicago Bears,75,Larry Borom,OT,6-5,333,24,2,Travis Allen,Athletes First,-,Athletes First
Chicago Bears,9,Jaquan Brisker,DB,6-1,200,24,1,Travis Allen,Athletes First,-,Athletes First
Chicago Bears,69,Ja'Tyre Carter,OG,6-3,311,24,1,Jesse Foreman,Young Money APAA Sports,-,Young Money APAA Sports
Chicago Bears,55,Dylan Cole,LB,6-0,240,29,6,-,-,-,-
Chicago Bears,64,Nate Davis,OG,6-3,316,27,1,William Heck,"SPORTSTARS, INC.",-,-
Chicago Bears,99,Gervon Dexter,DT,6-6,312,--,1,Damarius Bilbo,Klutch Sports Group,-,Klutch Sports Group
Chicago Bears,49,Tremaine Edmunds,LB,6-5,250,25,5,Todd France and Brian Ayrault,Athletes First and WME Footbal,"Todd France, Brian Ayrault, Ben Renzin",CAA Sports
Chicago Bears,53,T.J. Edwards,LB,6-1,242,27,4,Steve Caric,Wasserman Media Group ,Steve Caric,Caric Sports Management
Chicago Bears,25,Darrynton Evans,RB,5-10,203,25,3,-,-,-,Element Sports Group
Chicago Bears,67,Dan Feeney,OG,6-4,310,29,6,William Heck,"SPORTSTARS, INC.",-,"SPORTSTARS, INC."
Chicago Bears,1,Justin Fields,QB,6-3,228,24,2,David Mulugheta,Athletes First,David Mulugheta,Athletes First
Chicago Bears,21,D'Onta Foreman,RB,6-0,235,27,5,Kennard McGuire,MS World LLC,Kennard McGuire,MS World
Chicago Bears,16,Trenton Gill,P,6-4,219,24,1,Christian Carter,Shark Sports Management,-,Shark Sports Management
Chicago Bears,6,Kyler Gordon,DB,6-0,200,23,1,George Elemont,Elite Athlete Management,-,Elite Athlete Management
Chicago Bears,94,Rasheem Green,DE,6-4,279,26,5,Drew Rosenhaus,Rosenhaus Sports Representation,Drew Rosenhaus,Rosenhaus Sports Representation
Chicago Bears,37,Duron Harmon,DB,6-0,205,32,10,Devin Brunson,1 of 1 Agency,Andy Simms,1 of 1 Agency
Chicago Bears,22,Elijah Hicks,DB,5-11,200,26,1,William Heck,"SPORTSTARS, INC.",-,SportStars
Chicago Bears,20,Travis Homer,RB,5-10,202,25,4,Spencer Cannold,JL Sports,Spencer Cannold,Athletes Capital Agency
Chicago Bears,4,Eddie Jackson,DB,6-0,206,30,6,"Patrick Dye, Jr.",SportsTrust Advisors,-,SportsTrust Advisors
Chicago Bears,76,Teven Jenkins,OG,6-6,321,25,2,Joel Segal,WME Football,Joel Segal,SportFive
Chicago Bears,33,Jaylon Johnson,DB,6-0,196,24,3,Shahin Aslani,Wasserman Media Group,-,Wasserman
Chicago Bears,26,Quindell Johnson,DB,6-2,208,--,1,-,-,-,-
Chicago Bears,23,Roschon Johnson,RB,6-0,225,--,1,Erik Burkhardt,Roc Nation Sports,-,Roc Nation Sports
Chicago Bears,70,Braxton Jones,OT,6-5,310,24,1,Murphy McGuire,Octagon,-,Octagon
Chicago Bears,31,Jaylon Jones,DB,5-11,190,24,1,-,-,-,-
Chicago Bears,93,Justin Jones,DT,6-3,309,27,5,Alan Herman/Jared Fox,"SPORTSTARS, INC","Jared Fox, Alan Herman",SportStars
Chicago Bears,12,Velus Jones,WR,6-0,200,26,1,Chad Berger,National Sports Agency,Chad Berger,National Sports Agency
Chicago Bears,85,Cole Kmet,TE,6-6,260,24,3,Travis Allen,Athletes First,-,Athletes First
