Team Name,Player Number,Player Name,Position,Height,Weight,Age,Years of Experience, Fanspo Agent,Fanspo Agency, Spotrac Agent,Spotrac Agency
Cincinnati Bengals,48,Cal Adomitis,LS,6-2,238,25,1,-,-,-,-
Cincinnati Bengals,22,Chidobe Awuzie,DB,6-0,202,28,6,Jeffrey Sperbeck,Rep 1 Sports Group,-,Rep 1 Sports Group
Cincinnati Bengals,49,Joe Bachie,LB,6-2,235,25,2,-,-,-,-
Cincinnati Bengals,51,Markus Bailey,LB,6-0,235,26,3,-,-,-,Caric Sports Management
Cincinnati Bengals,27,Jordan Battle,DB,6-1,206,--,1,-,-,-,CAA Sports
Cincinnati Bengals,83,Tyler Boyd,WR,6-2,203,30,7,Devin Brunson,1 of 1 Agency,Andy Simms,1 of 1 Agency
Cincinnati Bengals,75,Orlando Brown,OT,6-8,345,27,5,Michael Portner,Portner Sports and Entertainment,Michael Portner,Delta Sports Group
Cincinnati Bengals,6,Jake Browning,QB,6-2,209,27,1,-,-,-,Reign Sports
Cincinnati Bengals,9,Joe Burrow,QB,6-4,215,26,3,Brian Ayrault,WME Football,Brian Ayrault,WME Football
Cincinnati Bengals,65,Alex Cappa,OG,6-6,310,28,5,Jonathan Feinsod,AMDG Sports,Jonathan Feinsod,Schwartz & Feinsod
Cincinnati Bengals,79,Jackson Carman,OT,6-5,322,23,2,David Lee,1 of 1 Agency,"Andy Simms, David Lee",1 of 1 Agency
Cincinnati Bengals,95,Zachary Carter,DT,6-4,290,24,-,-,-,-,-
Cincinnati Bengals,1,Ja'Marr Chase,WR,6-0,201,23,2,Caitlin Aoki/Jason Lampert,Alliance Sports,"Rocky Lampert, Jason Lampert, Caitlin Aoki",Alliance Sports
Cincinnati Bengals,59,Akeem Davis,LB,6-2,228,26,3,-,-,-,Element Sports Group
Cincinnati Bengals,35,Jalen Davis,DB,5-10,190,27,3,-,-,-,-
Cincinnati Bengals,25,Chris Evans,RB,5-11,215,26,2,Justin Faires,"SPORTSTARS, INC",Justin Faires,"SPORTSTARS, INC"
Cincinnati Bengals,61,Cody Ford,OG,6-3,329,26,4,Alvin Keels,PSE Management,"Chris Coy, Alvin Keels",PSE Management
Cincinnati Bengals,56,Devin Harper,LB,6-0,238,25,1,Jack Scharf,The Familie,"Jack Scharf, Jeff Griffin",The Familie
Cincinnati Bengals,91,Trey Hendrickson,DE,6-4,270,28,6,Harold Lewis,National Sports Agency,Harold Lewis,National Sports Agency
Cincinnati Bengals,5,Tee Higgins,WR,6-4,219,24,3,David Mulugheta,Athletes First,David Mulugheta,Athletes First
Cincinnati Bengals,92,B.J. Hill,DT,6-3,311,28,5,-,-,"Tory Dandy, Jimmy Sexton",CAA Sports
Cincinnati Bengals,23,Daxton Hill,DB,6-0,191,23,1,Travis Allen,Athletes First,-,Athletes First
Cincinnati Bengals,63,Trey Hill,C,6-4,335,--,2,Jovan Barnes,Independent Sports & Entertainment ,-,Independent Sports & Entertainment 
Cincinnati Bengals,21,Mike Hilton,DB,5-9,184,29,6,Drew Rosenhaus,Rosenhaus Sports Representation,Drew Rosenhaus,Rosenhaus Sports Representation
Cincinnati Bengals,94,Sam Hubbard,DE,6-5,265,28,5,Joel Segal/Geoff Garmhausen,WME Football,"Joel Segal, Geoff Garmhausen",Lagardere Sports
Cincinnati Bengals,87,Tanner Hudson,TE,6-5,239,28,2,-,-,-,-
Cincinnati Bengals,80,Andrei Iosivas,WR,6-3,212,--,1,-,-,-,-
Cincinnati Bengals,16,Trenton Irwin,WR,6-2,200,27,2,-,-,-,-
Cincinnati Bengals,38,DJ Ivey,DB,6-1,195,--,1,-,-,-,-
Cincinnati Bengals,64,Ted Karras,C,6-4,310,30,7,Murphy McGuire,Octagon,-,Octagon
Cincinnati Bengals,2,Evan McPherson,K,5-11,185,--,2,Jonathan Perzley/Brian Mackler,"SPORTSTARS, INC.","Jonathan Perzley, Brian Mackler",SportStars
Cincinnati Bengals,28,Joe Mixon,RB,6-1,220,27,6,Fred Howard,Authentic Athletix,-,Authentic Athletix
Cincinnati Bengals,99,Myles Murphy,DE,6-5,275,--,1,Lukman Abdulai,CAA Football,"Tory Dandy, Lukman Abdulai",CAA Football
Cincinnati Bengals,58,Joseph Ossai,DE,6-4,263,23,2,David Mulugheta,Athletes First,David Mulugheta,Athletes First
Cincinnati Bengals,57,Germaine Pratt,LB,6-3,250,27,4,William McElroy and Erik Burkhard,Select Sports Group and Roc Nation Sports,"Erik Burkhardt, Evan Roseberg",(Select Sports Group
Cincinnati Bengals,98,D.J. Reader,DT,6-3,335,29,7,Joby Branion,Vanguard Sports Group ,Joby Branion,Vanguard Sports Group
Cincinnati Bengals,10,Brad Robbins,P,6-1,203,--,-,-,-,-,-
Cincinnati Bengals,96,Cameron Sample,DE,6-3,272,--,2,Casey Muir/Murphy McGuire,Octagon,"Murphy McGuire, Casey Muir",Octagon
Cincinnati Bengals,89,Drew Sample,TE,6-5,255,27,4,Clifford Brady,Capital Sports Advisors,Jim Grogan,Capital Sports Advisors
Cincinnati Bengals,74,Max Scharping,OG,6-6,325,27,4,Patrick Collins and ,CAA Football,"Ben Renzin, Patrick Collins, Todd France",CAA Football
Cincinnati Bengals,33,Nick Scott,DB,5-11,200,28,4,Gary Perkiss/Jeremy Appledorf,EMG Sports,"Ed Wasielewski, Matt Ritchie, Jeremy Appledorf, Matt Marino, Gary Perkiss, Michael De Sane",EMG Sports
Cincinnati Bengals,70,D'Ante Smith,OT,6-5,309,--,2,Mark Henness/Ross Jones/Spencer Armstrong,Leverage Football,"Mark Henness, Ross Jones, Spencer Armstrong",MGA Sports
Cincinnati Bengals,81,Irv Smith,TE,6-2,240,25,4,"Patrick Dye, Jr.",SportsTrust Advisors,"Pat Dye Jr., Ben Setas",SportsTrust Advisors
Cincinnati Bengals,29,Cam Taylor-Britt,DB,5-11,202,24,1,"Patrick Dye, Jr.",SportsTrust Advisors,-,SportsTrust Advisors
Cincinnati Bengals,97,Jay Tufele,DT,6-3,305,24,2,Travis Allen,Athletes First,-,Athletes First
Cincinnati Bengals,68,Josh Tupou,DT,6-3,340,29,5,Mark Henness/Ross Jones/Spencer Armstrong,Leverage Football,Collin Roberts,Reign Sports
Cincinnati Bengals,20,DJ Turner,DB,6-0,180,--,1,Travis Allen,Athletes First,-,Athletes First
Cincinnati Bengals,67,Cordell Volson,OG,6-6,315,25,1,Christopher Gittings,One West Sports Group,-,One West Sports Group
Cincinnati Bengals,84,Mitchell Wilcox,TE,6-4,250,27,2,-,-,-,-
Cincinnati Bengals,73,Jonah Williams,OT,6-5,312,25,4,Ryan Tollner,REP 1 Football,Ryan Tollner,REP 1 Football
Cincinnati Bengals,32,Trayveon Williams,RB,5-8,206,26,4,Rodney Williams and Shane Williams and Rodney Ardoin and Brian Overstreet,"United Sports Group and Overtime Sports Management Group, LLC and New Deal Sports Management and E. Overstreet Sports Management","Shane Williams, Rodney Ardoin, Rodney Williams, Brian Overstreet",United Sports Group
Cincinnati Bengals,55,Logan Wilson,LB,6-2,245,27,3,-,-,-,Caric Sports Management
