Team Name,Player Number,Player Name,Position,Height,Weight,Age,Years of Experience,Career Health,Seasonal Health,Percent of Reinjury, Fanspo Agent,Fanspo Agency, Spotrac Agent,Spotrac Agency
Cleveland Browns,40,Matthew Adams,LB,6-0,230,27,5,,,,William McElroy,Select Sports Group,Jeff Nalley,Select Sports Group
Cleveland Browns,84,Jordan Akins,TE,6-3,250,31,5,,,,David Canter,GSE Worldwide Football,-,GSE Worldwide
Cleveland Browns,37,D'Anthony Bell,DB,6-1,211,27,1,,,,-,-,-,-
Cleveland Browns,18,David Bell,WR,6-1,212,22,1,,,,Brandon Parker,VaynerSports,Brandon Parker,VaynerSports
Cleveland Browns,75,Joel Bitonio,OG,6-4,320,32,9,,,,Jeffrey Sperbeck,Rep 1 Sports Group,-,Rep 1 Sports Group
Cleveland Browns,13,Corey Bojorquez,P,6-0,208,27,5,,,,-,-,-,-
Cleveland Browns,88,Harrison Bryant,TE,6-5,230,25,3,,,,Travis Allen,Athletes First,-,Athletes First
Cleveland Browns,2,Amari Cooper,WR,6-1,210,29,8,,,,Chafie Fields,Wasserman Media Group,Chafie Fields,Wasserman
Cleveland Browns,22,Grant Delpit,DB,6-3,208,25,3,,,,-,-,-,Lagardere Sports
Cleveland Browns,43,Mohamoud Diabate,LB,6-4,225,--,1,,,,-,-,-,-
Cleveland Browns,96,Jordan Elliott,DT,6-4,303,25,3,,,,Peter Ariz,First Round Management,-,First Round Management
Cleveland Browns,23,Martin Emerson,DB,6-2,201,23,1,,,,-,-,-,CAA Sports
Cleveland Browns,42,Tony Fields,LB,6-0,222,24,2,,,,Mark Henness/Ross Jones/Spencer Armstrong,Leverage Football,"Mark Henness, Ross Jones, Spencer Armstrong",MGA Sports
Cleveland Browns,34,Jerome Ford,RB,5-10,210,24,1,,,,-,-,-,QC Sports
Cleveland Browns,28,Mike Ford,DB,6-0,194,28,3.058,,,,-,-,-,ZS Sports
Cleveland Browns,95,Myles Garrett,DE,6-4,272,27,6,,,,-,-,-,Bus Cook Sports
Cleveland Browns,3,Marquise Goodwin,WR,5-9,179,32,9,,,,David Mulugheta,Athletes First,David Mulugheta,Athletes First
Cleveland Browns,25,Kahlef Hailassie,DB,6-1,195,--,1,,,,-,-,-,-
Cleveland Browns,53,Nick Harris,C,6-1,293,24,3,,,,-,-,-,Reign Sports
Cleveland Browns,93,Shelby Harris,DT,6-2,288,32,8,,,,Ryan Williams,Athletes First,Ryan Williams,Athletes First
Cleveland Browns,33,Ronnie Hickman,DB,6-1,209,--,1,,,,-,-,-,-
Cleveland Browns,7,Dustin Hopkins,K,6-2,193,33,9,,,,Graylan Crain,CAA Football,Graylan Crain,Select Sports Group
Cleveland Browns,66,James Hudson,OT,6-5,313,24,2,,,,Kyle McCarthy,Athletes First,Kyle McCarthy,Athletes First
Cleveland Browns,47,Charley Hughlett,LS,6-4,248,33,8,,,,-,-,-,-
Cleveland Browns,27,Kareem Hunt,RB,5-11,216,28,6,,,,Dan Saffron/Samantha Sankovich,Steinberg Sports & Entertainment |,"Dan Saffron, Samantha Sankovich",Equity Sports
Cleveland Browns,90,Maurice Hurst,DT,6-1,291,28,5,,,,Patrick Collins and Brian Ayrault,CAA Football and WME Football,"Jimmy Sexton, Brian Ayrault, Patrick Collins, Jim Denton",CAA Sports
Cleveland Browns,62,Siaki Ika,DT,6-4,358,--,1,,,,Charles Lilly,WME Sports,-,WME Sports
Cleveland Browns,79,Dawand Jones,OT,6-8,375,--,1,,,,Damarius Bilbo,Klutch Sports Group,-,Klutch Sports Group
Cleveland Browns,57,Isaiah McGuire,DE,6-4,271,--,1,,,,Cameron Foster,Steinberg Sports & Entertainment,Chris Cabott,Steinberg Sports & Entertainment
Cleveland Browns,26,Rodney McLeod,DB,5-10,183,33,11,,,,Tony Paige,Perennial Sports and Entertainment,-,Perennial Sports
Cleveland Browns,29,Cameron Mitchell,DB,6-0,195,--,1,,,,Travis Allen,Athletes First,-,Athletes First
Cleveland Browns,8,Elijah Moore,WR,5-10,178,23,2,,,,-,-,"Tory Dandy, Jimmy Sexton",CAA Sports
Cleveland Browns,0,Greg Newsome,DB,6-0,192,23,2,,,,Patrick Collins and Tommy Condon,CAA Football,"Patrick Collins, Tommy Condon, Jimmy Sexton",CAA Football
Cleveland Browns,85,David Njoku,TE,6-4,246,27,6,,,,Malki Kawa,First Round Management,Malki Kawa,
Cleveland Browns,54,Ogbonnia Okoronkwo,DE,6-2,250,28,5,,,,Devin Brunson,1 of 1 Agency,Ken Sarnoff,1 of 1 Agency
Cleveland Browns,6,Jeremiah Owusu-Koramoah,LB,6-2,221,24,2,,,,Tommy Condon,CAA Football,"Tory Dandy, Tom Condon, Tommy Condon",CAA Football
Cleveland Browns,55,Ethan Pocic,C,6-6,309,28,6,,,,-,-,-,CAA Sports
Cleveland Browns,99,Za'Darius Smith,DE,6-4,275,31,8,,,,-,-,Bill Johnson,-
Cleveland Browns,20,Pierre Strong,RB,5-11,215,24,1,,,,Morris Overstreet,United Sports Group,-,United Sports Group
Cleveland Browns,44,Sione Takitaki,LB,6-1,238,28,4,,,,Rick Smith,Priority Sports & Entertainment,Kenny Zuckerman,Priority Sports & Entertainment
