Team Name,Player Number,Player Name,Pos,Ht,Wt,Age,Yrs of EXP,Career Health,Seasonal Health,Percent of Reinjury, Fanspo Agent,Fanspo Agency, Spotrac Agent,Spotrac Agency
Dallas Cowboys,5,Bryan Anger,P,6-3,202,35,11,,,,Frank Bauer,Sun West Sports,Frank Bauer,Sun West Sports
Dallas Cowboys,92,Dorance Armstrong,DE,6-4,255,26,5,,,,Kennard McGuire,MS World LLC,Kennard McGuire,MS World LLC
Dallas Cowboys,17,Brandon Aubrey,K,6-3,200,--,1,,,,-,-,-,-
Dallas Cowboys,66,T.J. Bass,OG,6-4,325,--,1,,,,-,-,-,-
Dallas Cowboys,14,Markquese Bell,DB,6-3,205,24,1,,,,-,-,-,-
Dallas Cowboys,63,Tyler Biadasz,C,6-3,316,25,3,,,,Travis Allen,Athletes First,-,Athletes First
Dallas Cowboys,26,DaRon Bland,DB,6-0,197,24,1,,,,Josh Arnold,"Synergy Sports International, LLC",-,Synergy Sports International
Dallas Cowboys,83,Jalen Brooks,WR,6-2,205,--,1,,,,-,-,-,-
Dallas Cowboys,33,Damone Clark,LB,6-3,240,23,1,,,,Travis Allen,Athletes First,-,Athletes First
Dallas Cowboys,3,Brandin Cooks,WR,5-10,189,30,9,,,,Ryan Tollner,REP 1 Football,Ryan Tollner,REP 1 Football
Dallas Cowboys,23,Rico Dowdle,RB,6-0,215,25,3,,,,-,-,-,-
Dallas Cowboys,71,Chuma Edoga,OG,6-3,308,26,4,,,,Jake Smith,Revolution Sports,-,Revolution Sports
Dallas Cowboys,93,Junior Fehoko,DE,6-4,267,--,1,,,,-,-,-,-
Dallas Cowboys,87,Jake Ferguson,TE,6-5,244,24,1,,,,Jack Bechta,JB Sports Inc.,-,JB Sports
Dallas Cowboys,56,Dante Fowler Jr.,DE,6-3,261,29,8,,,,Jovan Barnes,Independent Sports & Entertainment ,Jovan Barnes,-
Dallas Cowboys,96,Neville Gallimore,DT,6-2,302,26,3,,,,Martin Fischman,Ballengee Group,-,Ballengee Group
Dallas Cowboys,13,Michael Gallup,WR,6-1,198,27,5,,,,Kevin Robinson,Capital Sports Advisors,Kevin Robinson,Capital Sports Advisors
Dallas Cowboys,21,Stephon Gilmore,DB,6-0,190,33,11,,,,Jason Chayut,"SPORTSTARS, INC.",Jason Chayut,SportStars
Dallas Cowboys,99,Chauncey Golston,DE,6-5,268,25,3,,,,Cedric Saunders / Brian Levy,Goal Line Football,"Cedric Saunders, Brian Levy",Goal Line Football
Dallas Cowboys,95,Johnathan Hankins,DT,6-2,320,31,10,,,,Shahin Aslani,Wasserman Media Group,Doug Hendrickson,Wasserman
Dallas Cowboys,67,Brock Hoffman,C,6-4,302,24,1,,,,Andrew Ross,Upper Edge Sports,Andy Ross,Upper Edge Sports
Dallas Cowboys,28,Malik Hooker,DB,6-2,212,27,6,,,,David Mulugheta,Athletes First,David Mulugheta,Athletes First
Dallas Cowboys,19,Noah Igbinoghene,DB,5-11,197,23,3,,,,Malki Kawa/Ethan Lock,First Round Management,"Malki Kawa, Ethan Lock",First Round Management
Dallas Cowboys,1,Jayron Kearse,DB,6-4,215,29,7,,,,-,-,-,-
Dallas Cowboys,88,CeeDee Lamb,WR,6-2,200,24,3,,,,-,-,"Tory Dandy, Jimmy Sexton",CAA Sports
