Team Name,Player Number,Player Name,Position,Height,Weight,Age,Years of Experience,Career Health,Seasonal Health,Percent of Reinjury, Fanspo Agent,Fanspo Agency, Spotrac Agent,Spotrac Agency
Denver Broncos,45,Nate Adkins,TE,6-3,252,--,1,,,,-,-,-,-
Denver Broncos,99,Zach Allen,DE,6-5,285,26,4,,,,-,-,"Tom Condon, Ben Renzin, Tom Condon",CAA Sports
Denver Broncos,75,Quinn Bailey,OT,6-6,323,28,1,,,,William Heck,"SPORTSTARS, INC.",-,SportStars
Denver Broncos,72,Garett Bolles,OT,6-5,300,31,6,,,,Jeffrey Sperbeck,Rep 1 Sports Group,-,Rep 1 Sports
Denver Broncos,42,Nik Bonitto,LB,6-3,240,24,1,,,,-,-,-,CAA Sports
Denver Broncos,56,Baron Browning,LB,6-3,240,24,2,,,,Eugene Lee,3 Strand Sports & Entertainment,Eugene Lee,Vanguard Sports Group
Denver Broncos,20,Michael Burton,RB,6-0,247,31,8,,,,-,-,-,Lunar Sports
Denver Broncos,94,Keondre Coburn,DT,6-2,332,--,1,,,,-,-,-,-
Denver Broncos,0,Jonathon Cooper,LB,6-4,257,--,2,,,,Christian Carter,Shark Sports Management,-,Shark Sports Management
Denver Broncos,79,Lloyd Cushenberry,C,6-4,315,25,3,,,,-,-,-,CAA Sports
Denver Broncos,9,Riley Dixon,P,6-4,221,30,7,,,,William Heck,"SPORTSTARS, INC.",-,SportStars
Denver Broncos,73,Cameron Fleming,OT,6-5,320,31,9,,,,Kyle Strongin,Range Sports,Kyle Strongin,-
Denver Broncos,76,Alex Forsyth,C,6-4,312,--,1,,,,-,-,-,-
Denver Broncos,48,MItchell Fraboni,LS,6-2,223,--,1,,,,-,-,-,-
Denver Broncos,95,Elijah Garcia,DT,6-5,302,25,1,,,,-,-,-,-
Denver Broncos,92,Jonathan Harris,DL,6-5,295,27,2,,,,Alan Bullington,MGC Sports,-,MGC Sports
Denver Broncos,91,Matt Henningsen,DE,6-3,291,24,2,,,,Alan Bullington,MGC Sports,-,MGC Sports
Denver Broncos,17,Lil'Jordan Humphrey,WR,6-4,225,25,3,,,,James Gould,Management One,-,Management One
Denver Broncos,59,Thomas Incoom,LB,6-2,265,--,1,,,,-,-,-,-
Denver Broncos,10,Jerry Jeudy,WR,6-1,193,24,3,,,,Christopher Cabott,Equity Sports,Chris Cabott,Equity Sports
Denver Broncos,47,Josey Jewell,LB,6-2,236,28,5,,,,Jack Bechta,JB Sports Inc.,Jack Bechta,JB Sports Inc.
Denver Broncos,93,D.J. Jones,DT,6-0,305,29,6,,,,Brian Ayrault,WME Football,Brian Ayrault ,CAA Sports
Denver Broncos,6,P.J. Locke,DB,5-10,202,26,3,,,,Corey Williams,"Overtime Sports Management Group, LLC",Corey Williams,Overtime Sports Management Group
Denver Broncos,16,Wil Lutz,K,5-11,184,29,7,,,,-,-,-,-
Denver Broncos,84,Chris Manhertz,TE,6-6,235,31,7,,,,Sean Stellato,"SES, LLC",Sean Stellato,SES LLC
Denver Broncos,27,Damarri Mathis,DB,5-11,195,24,1,,,,William Heck,"SPORTSTARS, INC.",-,SportStars
Denver Broncos,69,Mike McGlinchey,OT,6-8,315,29,5,,,,Tommy Condon,CAA Football,"Tom Condon, Tommy Condon, Jimmy Sexton",CAA Football
Denver Broncos,38,Jaleel McLaughlin,RB,5-7,187,--,1,,,,-,-,-,-
Denver Broncos,29,Ja'Quan McMillian,DB,5-10,183,--,1,,,,-,-,-,-
Denver Broncos,77,Quinn Meinerz,OG,6-3,320,24,2,,,,William Heck,"SPORTSTARS, INC.",Ron Slavin,"SPORTSTARS, INC."
Denver Broncos,19,Marvin Mims,WR,5-11,182,--,1,,,,Martin Fischman,Ballengee Group,-,Ballengee Group
Denver Broncos,23,Fabian Moreau,DB,6-0,198,29,6,,,,William Heck,"SPORTSTARS, INC.",-,"SPORTSTARS, INC."
Denver Broncos,37,Riley Moss,DB,6-0,193,--,1,,,,Kyle Strongin,Range Sports,yle Strongin,-
Denver Broncos,57,Ben Niemann,LB,6-2,235,28,5,,,,-,-,-,-
Denver Broncos,25,Samaje Perine,RB,5-10,236,28,6,,,,Travis Allen,Athletes First,-,Athletes First
