Team Name,Player Number,Player Name,Position,Height,Weight,Age,Years of Experience,Career Health,Seasonal Health,Percent of Reinjury, Fanspo Agent,Fanspo Agency, Spotrac Agent,Spotrac Agency
Detroit Lions,34,Alex Anzalone,LB,6-3,237,29,6,,,,William Heck,"SPORTSTARS, INC.",-,SportStars
Detroit Lions,74,Kayode Awosika,OG,6-3,312,25,1,,,,William Heck,"SPORTSTARS, INC.",-,"SPORTSTARS, INC."
Detroit Lions,55,Derrick Barnes,LB,6-0,238,24,2,,,,Steve Caric,Wasserman Media Group ,Steve Caric,Caric Sports Management
Detroit Lions,32,Brian Branch,DB,6-0,203,--,1,,,,Damarius Bilbo,Klutch Sports Group,-,Klutch Sports Group
Detroit Lions,10,Teddy Bridgewater,QB,6-2,210,30,9,,,,Kennard McGuire,MS World LLC,Kennard McGuire,MS World
Detroit Lions,96,Isaiah Buggs,DT,6-3,295,26,4,,,,Neil Robinson,AthElite Agency,Neil Robinson,MVA Sports
Detroit Lions,46,Jack Campbell,LB,6-5,249,--,1,,,,Chase Callahan/Ryan Tollner,REP 1 Football,"Chase Callahan, Ryan Tollner",REP 1 Football
Detroit Lions,79,John Cominsky,DE,6-5,285,27,4,,,,Rilio Mastrantonio,Shark Sports Management,"Cliff Brady, Rilio Mastrantonio",Capital Sports Advisors
Detroit Lions,68,Taylor Decker,OT,6-7,320,29,7,,,,Jonathan Feinsod,AMDG Sports,Taylor Decker,Schwartz & Feinsod
Detroit Lions,30,Khalil Dorsey,DB,5-9,181,25,3,,,,-,-,-,-
Detroit Lions,3,Jack Fox,P,6-2,215,27,3,,,,Robert Fry,Gil Scott Sports Management,-,Gil Scott Sports Management
Detroit Lions,26,Jahmyr Gibbs,RB,5-9,200,--,1,,,,Ryan Williams/ Todd France,Athletes First,"Todd France, Ryan Williams",Athletes First
Detroit Lions,24,Steven Gilmore,DB,5-8,174,--,1,,,,-,-,-,-
Detroit Lions,60,Graham Glasgow,OG,6-6,308,31,7,,,,William Heck,"SPORTSTARS, INC.",-,SportStars
Detroit Lions,16,Jared Goff,QB,6-4,217,29,7,,,,Chase Callahan/Ryan Tollner and Bruce Tollner,REP 1 Football and REP 1 Football and OG1 Athletes,"Ryan Tollner, Bruce Tollner, Chase Callahan",REP 1 Football 
Detroit Lions,80,Antoine Green,WR,6-2,199,--,1,,,,-,-,-,-
Detroit Lions,53,Charles Harris,LB,6-3,250,28,6,,,,Travis Allen,Athletes First,-,Athletes First
Detroit Lions,25,William Harris,DB,6-1,206,27,-,,,,Jared Fox,"SPORTSTARS, INC.",-,-
Detroit Lions,97,Aidan Hutchinson,DE,6-7,264,23,1,,,,-,-,"Mike McCartney, Jayme Motem",Vayner Sports
Detroit Lions,73,Jonah Jackson,OG,6-4,311,26,3,,,,Anthony Agnone,Eastern Athletic Services ,-,Eastern Athletic Services
Detroit Lions,23,Jerry Jacobs,DB,5-11,203,26,2,,,,-,-,-,-
Detroit Lions,94,Benito Jones,DT,6-1,318,25,2,,,,-,-,-,-
Detroit Lions,31,Kerby Joseph,DB,6-1,203,22,1,,,,Louis Bing,Exclusive Athletes Agency,Louis Bing,AXS Sports
Detroit Lions,87,Sam LaPorta,TE,6-3,245,--,1,,,,Jack Bechta,JB Sports Inc.,-,JB Sports
