Team Name,Player Number,Player Name,Position,Height,Weight,Age,Years of Experience,Career Health,Seasonal Health,Percent of Reinjury, Fanspo Agent,Fanspo Agency, Spotrac Agent,Spotrac Agency
Green Bay Packers,23,Jaire Alexander,DB,5-10,196,26,5,,,,Charles Fisher/John Thornton,Roc Nation Sports,"John Thornton, Charles Fisher",Roc Nation Sports
Green Bay Packers,39,Zayne Anderson,DB,6-2,206,--,1,,,,-,-,-,-
Green Bay Packers,35,Corey Ballentine,DB,5-11,196,27,4,,,,William Heck,"SPORTSTARS, INC.",Dave Butz,"SPORTSTARS, INC."
Green Bay Packers,94,Karl Brooks,DE,6-3,296,--,1,,,,-,-,-,-
Green Bay Packers,59,De'Vondre Campbell,LB,6-3,232,30,7,,,,Drew Rosenhaus,Rosenhaus Sports Representation,Drew Rosenhaus,Rosenhaus Sports Representation
Green Bay Packers,17,Anders Carlson,K,6-5,219,--,1,,,,-,-,-,-
Green Bay Packers,97,Kenny Clark,DT,6-3,314,28,7,,,,Shahin Aslani,Wasserman Media Group,Doug Hendrickson,Wasserman
Green Bay Packers,8,Sean Clifford,QB,6-2,218,--,1,,,,-,-,-,-
Green Bay Packers,57,Brenton Cox,LB,6-4,250,--,1,,,,-,-,-,-
Green Bay Packers,81,Josiah Deguara,TE,6-2,238,26,3,,,,Shahin Aslani,Wasserman Media Group,-,Wasserman
Green Bay Packers,28,AJ Dillon,RB,6-0,247,25,3,,,,Travis Allen,Athletes First,-,Athletes First
Green Bay Packers,87,Romeo Doubs,WR,6-2,204,23,1,,,,Jovan Barnes,Independent Sports & Entertainment ,-,Independent Sports & Entertainment
Green Bay Packers,55,Kingsley Enagbare,LB,6-4,258,23,1,,,,Travis Allen,Athletes First,-,Athletes First
Green Bay Packers,20,Johnathan Ford,DB,6-0,210,29,6,,,,-,-,Brian Levy,Goal Line Football
Green Bay Packers,52,Rashan Gary,LB,6-5,277,25,4,,,,Ian Clarke,-,Ian Clarke,Rashan Gary Sports
Green Bay Packers,18,Malik Heath,WR,6-2,213,--,1,,,,-,-,-,-
Green Bay Packers,74,Elgton Jenkins,OG,6-5,311,27,4,,,,Ryan Rubin,Gate City Athletics,Ryan Rubin,ESA Sports
Green Bay Packers,36,Anthony Johnson,DB,6-0,205,--,1,,,,-,-,-,-
Green Bay Packers,33,Aaron Jones,RB,5-9,208,28,6,,,,Drew Rosenhaus,Rosenhaus Sports Representation,Drew Rosenhaus,Rosenhaus Sports Representation
Green Bay Packers,72,Caleb Jones,OT,6-9,370,24,1,,,,-,-,-,-
Green Bay Packers,85,Tucker Kraft,TE,6-5,259,--,1,,,,Jack Bechta,JB Sports Inc.,-,JB Sports Inc.
Green Bay Packers,6,Dallin Leavitt,DB,5-10,195,29,4,,,,Steve Baker,Baker Sports Management,Steve Baker,Baker Sports Management
Green Bay Packers,10,Jordan Love,QB,6-4,219,25,3,,,,David Mulugheta,Athletes First,David Mulugheta,Athletes First
Green Bay Packers,58,Isaiah McDuffie,LB,6-1,227,24,2,,,,Jeremy Cohen,JL Sports,-,JL Sports
Green Bay Packers,88,Luke Musgrave,TE,6-6,253,--,1,,,,Jeffrey Sperbeck,Rep 1 Sports Group,-,Rep 1 Sports Group
Green Bay Packers,71,Josh Myers,C,6-5,310,25,2,,,,Daniel Connell,IHC Sports,-,IHC Sports
Green Bay Packers,70,Royce Newman,OG,6-5,310,26,2,,,,Brandon Smart,Smart Sports,-,Smart Sports
Green Bay Packers,73,Yosuah Nijman,OT,6-7,314,27,-,,,,-,-,-,-
Green Bay Packers,25,Keisean Nixon,DB,5-10,200,26,4,,,,-,-,Tory Dandy,CAA Sports
