Team Name,Player Number,Player Name,Position,Height,Weight,Age,Years of Experience, Fanspo Agent,Fanspo Agency, Spotrac Agent,Spotrac Agency
Houston Texans,51,Will Anderson,DE,6-4,243,--,1,Nicole Lynn/Kelton Crenshaw,Klutch Sports Group,"Nicole Lynn, Kelton Crenshaw",Klutch Sports Group
Houston Texans,47,Andrew Beck,RB,6-3,255,27,4,Ray Haija ,YOUNG MONEY APAA SPORTS,Ray Haija,Elite Athlete Management
Houston Texans,22,Mike Boone,RB,5-10,206,28,5,-,-,-,-
Houston Texans,64,Nick Broeker,OG,6-4,305,--,1,-,-,-,-
Houston Texans,85,Noah Brown,WR,6-2,225,26,6,-,-,-,Lagardere Sports
Houston Texans,53,Blake Cashman,LB,6-1,237,27,4,Blake Baratz,The Institute for Athletes ,Blake Baratz,The Institute for Athletes 
Houston Texans,96,Maliek Collins,DT,6-2,310,28,7,-,-,-,-
Houston Texans,12,Nico Collins,WR,6-4,215,24,2,Drew Rosenhaus/Ryan Matha,Rosenhaus Sports Representation,"Drew Rosenhaus, Ryan Matha",Rosenhaus Sports Representation
Houston Texans,94,Khalil Davis,DT,6-1,308,27,3,-,-,-,MB5 Sports Management
Houston Texans,76,Austin Deculus,OT,6-5,321,24,1,Martin Fischman,Ballengee Group,-,Ballengee Group
Houston Texans,63,Michael Deiter,C,6-6,315,27,4,Joe Panos and Blaine Roche,Athletes First,"Joe Panos, Blaine Roche",Athletes First
Houston Texans,3,Nathaniel Dell,WR,5-10,165,--,-,-,-,-,-
Houston Texans,15,Ka'imi Fairbairn,K,6-0,183,29,7,Travis Allen,Athletes First,-,-
Houston Texans,77,George Fant,OT,6-5,322,31,7,-,-,-,-
Houston Texans,52,Jonathan Greenard,DE,6-3,263,26,3,Drew Rosenhaus,Rosenhaus Sports Representation,Drew Rosenhaus,Rosenhaus Sports Representation
Houston Texans,0,Shaquill Griffin,DB,6-0,198,28,6,Andrew Baker,Exclusive Sports Group ,-,Exclusive Sports Group
Houston Texans,35,Jake Hansen,LB,6-1,235,25,1,-,-,-,-
Houston Texans,48,Christian Harris,LB,6-1,226,22,1,Martin Fischman,Ballengee Group,-,-
Houston Texans,43,Neville Hewitt,LB,6-2,235,30,8,Drew Rosenhaus,Rosenhaus Sports Representation,-,-
Houston Texans,93,Kurt Hinish,DT,6-2,300,24,1,-,-,-,-
Houston Texans,20,Ka'dar Hollman,DB,6-0,196,29,3,Dan Saffron,Steinberg Sports & Entertainment |,Dan Saffron,PFS Agency
Houston Texans,92,Dylan Horton,DE,6-4,275,--,1,William Heck,"SPORTSTARS, INC.",-,SportStars
Houston Texans,30,DeAndre Houston-Carson,DB,6-1,203,30,7,-,-,-,-
Houston Texans,71,Tytus Howard,OT,6-5,322,27,4,Malki Kawa,First Round Management,Malki Kawa,First Round Management
Houston Texans,55,Jerry Hughes,DE,6-2,254,35,13,-,-,-,Relativity Sports
Houston Texans,19,Xavier Hutchinson,WR,6-2,207,--,1,-,-,-,-
Houston Texans,11,Cameron Johnston,P,5-11,194,31,5,Joseph Frio,Enter-Sports Management,-,Enter-Sports Management
Houston Texans,74,Josh Jones,OT,6-5,319,26,3,Joel Segal,WME Football,Joel Segal,Lagardere Unlimited
Houston Texans,9,Brevin Jordan,TE,6-3,245,--,2,Chafie Fields,Wasserman Media Group,Chafie Fields,Wasserman Media Group
Houston Texans,18,Case Keenum,QB,6-1,206,35,10,-,-,-,-
Houston Texans,69,Shaquille Mason,OG,6-1,310,30,-,-,-,-,-
Houston Texans,8,John Metchie,WR,5-11,187,23,1,Charles Lilly,WME Sports,-,WME Sports
Houston Texans,10,Davis Mills,QB,6-4,225,25,2,Joel Segal,WME Football,Joel Segal,SportFive
