Team Name,Player Number,Player Name,Position,Height,Weight,Age,Years of Experience,Career Health,Seasonal Health,Percent of Reinjury, Fanspo Agent,Fanspo Agency, Spotrac Agent,Spotrac Agency
Indianapolis Colts,95,Adetomiwa Adebawore,DT,6-2,282,--,1,,,,Rick Smith,Priority Sports & Entertainment,-,Priority Sports & Entertainment
Indianapolis Colts,81,Mo Alie-Cox,TE,6-5,267,30,5,,,,Joseph Flanagan,BTI Sports Advisors,-,BTI Sports Advisors
Indianapolis Colts,67,Jack Anderson,C,6-4,314,25,2,,,,Devin Brunson,1 of 1 Agency,Ken Sarnoff,1 of 1 Agency
Indianapolis Colts,39,Darrell Baker,DB,6-1,190,25,1,,,,-,-,-,-
Indianapolis Colts,32,Julian Blackmon,DB,6-0,187,25,3,,,,-,-,-,Alliance Sports Management
Indianapolis Colts,29,Julius Brents,DB,6-3,198,--,1,,,,William Heck,"SPORTSTARS, INC.",-,"SPORTSTARS, INC."
Indianapolis Colts,38,Tony Brown,DB,6-0,198,28,4,,,,-,-,-,-
Indianapolis Colts,96,Taven Bryan,DT,6-4,291,27,5,,,,Jonathan Perzley/Brian Mackler,"SPORTSTARS, INC.","Brian Mackler, Jonathan Perzley","SPORTSTARS, INC."
Indianapolis Colts,99,DeForest Buckner,DT,6-7,295,29,7,,,,Joel Segal,WME Football,Joel Segal,Lagardere Unlimited
Indianapolis Colts,20,Nick Cross,DB,6-0,212,22,1,,,,Dan Saffron/Samantha Sankovich,Steinberg Sports & Entertainment |,"Dan Saffron, Samantha Sankovich",Equity Sports
Indianapolis Colts,43,Trevor Denbow,DB,5-10,208,25,1,,,,-,-,-,-
Indianapolis Colts,1,Josh Downs,WR,5-10,175,--,1,,,,Travis Allen,Athletes First,-,Athletes First
Indianapolis Colts,52,Samson Ebukam,DE,6-3,240,28,6,,,,Cameron Foster,Steinberg Sports & Entertainment,Cameron Foster,Equity Sports
Indianapolis Colts,4,Sam Ehlinger,QB,6-1,222,25,2,,,,William McElroy,Select Sports Group,-,Select Sports Group
Indianapolis Colts,44,Zaire Franklin,LB,6-0,235,27,5,,,,Cleodis Floyd/Erik Schmella,The Familie,"Erik Schmella, Cleodis Floyd",Summit Sports Group
Indianapolis Colts,73,Blake Freeland,OT,6-7,302,--,1,,,,Jeffrey Sperbeck,Rep 1 Sports Group,-,Rep 1 Sports Group
Indianapolis Colts,62,Wesley French,C,6-4,307,--,1,,,,-,-,-,-
Indianapolis Colts,75,Will Fries,OG,6-6,309,25,2,,,,Jeremy Cohen,JL Sports,-,JL Sports
Indianapolis Colts,7,Matt Gay,K,6-0,232,29,4,,,,David Canter,GSE Worldwide Football,David Canter,DEC Management
Indianapolis Colts,83,Kylen Granson,TE,6-2,242,25,2,,,,"Patrick Dye, Jr.",SportsTrust Advisors,-,SportsTrust Advisors
Indianapolis Colts,64,Arlington Hambright,OG,6-5,315,27,2,,,,"Patrick Dye, Jr.",SportsTrust Advisors,-,SportsTrust Advisors
Indianapolis Colts,93,Eric Johnson,DT,6-4,299,25,1,,,,Harold Lewis/Ezra Thompson,National Sports Agency,"Harold Lewis, Ezra Thompson",National Sports Agency
Indianapolis Colts,40,Jaylon Jones,DB,6-2,205,--,1,,,,-,-,-,-
Indianapolis Colts,78,Ryan Kelly,C,6-4,307,30,7,,,,-,-,-,CAA Sports
Indianapolis Colts,55,Isaiah Land,DE,6-4,225,--,1,,,,-,-,-,-
Indianapolis Colts,53,Shaquille Leonard,LB,6-2,230,28,5,,,,Malki Kawa/Ethan Lock,First Round Management,"Malki Kawa, Ethan Lock",First Round Management
Indianapolis Colts,94,Tyquan Lewis,DE,6-3,277,28,5,,,,Bryan Creekmore,ProSource Sports Management,"Jeff Guerriero, Bryan Creekmore",ProSource Sports Management
Indianapolis Colts,86,Will Mallory,TE,6-4,239,--,1,,,,-,-,-,-
Indianapolis Colts,92,Jacob Martin,DE,6-2,242,27,1,,,,Kevin Robinson,Capital Sports Advisors,-,-
Indianapolis Colts,59,Cameron McGrone,LB,6-1,236,23,1,,,,Travis Allen,Athletes First,-,Athletes First
Indianapolis Colts,6,Isaiah McKenzie,WR,5-8,173,28,6,,,,"Patrick Dye, Jr.",SportsTrust Advisors,-,SportsTrust Advisors
Indianapolis Colts,10,Gardner Minshew,QB,6-1,225,27,4,,,,William Heck,"SPORTSTARS, INC.",Dave Butz,"SPORTSTARS, INC."
Indianapolis Colts,23,Kenny Moore,DB,5-9,190,28,6,,,,-,-,-,-
Indianapolis Colts,21,Zack Moss,RB,5-9,205,25,3,,,,-,-,-,Dream Point Sports
Indianapolis Colts,56,Quenton Nelson,OG,6-5,330,27,5,,,,Patrick Collins,CAA Football,"Tom Condon, Patrick Collins, RJ Gonser",CAA Football
Indianapolis Colts,54,Dayo Odeyingbo,DE,6-6,276,24,2,,,,Kyle McCarthy,Athletes First,Kyle McCarthy,Athletes First
Indianapolis Colts,85,Andrew Ogletree,TE,6-5,260,25,1,,,,Brian Hamilton,Plan B Sports Management LLC,-,Plan B Sports Management
Indianapolis Colts,50,Segun Olubi,LB,6-2,220,24,1,,,,-,-,-,-
